"setting","method","dataset","attempt","seed","pass","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
4,2,7,0,2407,TRUE,2.232595,6.40345216802421,2.46520398584141,10.4597289639804,1.70535007396317,1.61093411335772,1.05860944890456,1.440798748553,0.587263373024441,-0.393270077932758,0.582657289208596,-0.227028263188344,6.52357758413438,6.52357758413438,14.6637647635694,14.6176945136545,TRUE,TRUE,TRUE,TRUE
4,1,8,0,1408,TRUE,2.3718,6.69238820196083,2.70737703182631,10.3799127502307,1.53836047895164,1.60590569405535,0.957939488381082,1.21244525034118,NA,NA,NA,NA,5.01951430868025,5.52455830463123,14.5448345776137,14.5627536289983,TRUE,TRUE,TRUE,TRUE
4,2,8,0,2408,TRUE,2.39145,6.74043696953643,2.97890936217102,10.3292302836074,1.41906340225108,1.60323992524041,0.885122295116424,1.11109748248599,0.606426913116181,-0.279009453151368,0.660452397408032,-0.302662304304388,3.76744448056103,5.42918874822561,14.5564915380874,14.5627536289983,TRUE,TRUE,TRUE,TRUE
4,1,9,0,1409,TRUE,3.47697,8.00636278617211,2.22987034863827,10.6440907542356,1.36833342693276,1.34449531713208,1.0177301545769,1.02892286389516,NA,NA,NA,NA,3.2265695634204,3.31243777611231,13.6952968900036,13.524579849751,TRUE,TRUE,TRUE,TRUE
4,2,9,0,2409,TRUE,3.483685,7.98505788891458,2.32881822144843,10.5381147646204,1.36549743663485,1.34034174145418,1.01876812039994,1.00211044704835,0.488379181607106,-0.170990250876636,0.594250103850268,-0.28037861907662,3.46515395528623,3.46515395528623,13.7181100763968,13.524579849751,TRUE,TRUE,TRUE,TRUE
4,1,10,1,9329,TRUE,2.369775,6.56307809702838,2.98767870009062,10.2715955576122,1.44600088006482,1.59127740688085,0.908704462095771,0.869745220077289,NA,NA,NA,NA,5.34866173461047,5.34866173461047,14.5917815872942,14.6197949376979,TRUE,TRUE,TRUE,TRUE
4,2,10,0,2410,TRUE,2.38987,6.59898965702421,3.65557757525368,9.83631299021519,1.3120983773749,1.58664036218344,0.826966468676787,0.735149316415352,0.739617185086712,-0.40964066714352,0.750232737737795,-0.435401106582529,4.10024587035249,6.33866621871491,14.6327903950736,14.6197949376979,TRUE,TRUE,TRUE,TRUE
5,1,1,0,1501,TRUE,4.52561,7.0672256036508,2.92651860330889,11.2386532706985,1.06723252481101,1.05490739108785,1.01168361680587,1.01521924467544,NA,NA,NA,NA,3.02121187130221,3.10134497025354,14.3619291086142,14.3524478864646,TRUE,TRUE,TRUE,TRUE
5,2,1,0,2501,TRUE,4.562975,7.19656446413572,3.22694261928531,11.0421063364225,1.0835112386561,1.05479608967099,1.02722341243611,0.969334869802863,0.235192612562329,0.634899873690537,0.231565565628143,0.716638206128279,1.51348665384958,2.40862034293443,14.5385349309165,14.3524478864646,TRUE,TRUE,TRUE,TRUE
5,1,2,3,25259,FALSE,3.78581,15.6940143364957,0.237126835528191,10.148645657784,1.81367672580419,1.76580339979028,1.027111356802,0.572418871586622,NA,NA,NA,NA,2.43097113289661,2.45444306691597,10.5787170804451,10.6395981146666,TRUE,TRUE,FALSE,TRUE
5,2,2,3,26259,FALSE,3.912075,15.8731787426222,0.564775921506354,9.79191483542703,1.49457702461884,1.73621151704263,0.860826581293863,0.793077170426181,-0.024417552879651,0.629415413459477,0.0257032957846845,0.801380672391308,1.73041868565554,2.22446342097164,10.6360159517684,10.6395981146666,TRUE,TRUE,FALSE,TRUE
5,1,3,0,1503,TRUE,4.195125,7.75370549580082,3.96542873559254,13.3045462814003,1.33150336564015,1.16894292353973,1.13906619290543,1.26248629153799,NA,NA,NA,NA,4.31906548266293,4.43286849373486,18.584527989048,18.3790845663353,TRUE,TRUE,TRUE,TRUE
5,2,3,3,26260,TRUE,4.24941,8.13199545708908,3.34086721446448,11.3629135486501,2.15562680337051,1.18702159090357,1.81599628843282,1.50638240636631,0.0957305943073506,0.850610162317452,0.149859879269965,0.753711800549035,2.31983097563791,3.30141345062843,18.5645764626514,18.3790845663353,FALSE,TRUE,TRUE,TRUE
5,1,4,0,1504,TRUE,4.65838,5.0139954059556,1.40031996841817,10.1894559120053,0.909841512841888,0.867482005618076,1.04883041601956,1.10473540755209,NA,NA,NA,NA,1.56653603352743,1.60480717586422,11.4635251505336,11.5324202278353,TRUE,TRUE,TRUE,TRUE
5,2,4,0,2504,TRUE,4.69015,5.06062550498782,1.80101978812542,10.0358730664592,0.816680392139713,0.863913782247616,0.945326268571596,0.903507597580611,0.149156116811167,0.717632991299747,0.060060266939595,0.842187937092179,1.49994802067868,2.48257582109164,11.5067306132768,11.5324202278353,TRUE,TRUE,TRUE,TRUE
5,1,5,1,9424,TRUE,1.92868,11.0896648164439,2.59580769827451,11.7727706752618,2.52332875223194,2.32856086603188,1.08364302992516,0.99143959934419,NA,NA,NA,NA,7.48617185151457,8.1330442230686,18.3228468755829,18.1759293104056,TRUE,TRUE,TRUE,TRUE
5,2,5,0,2505,TRUE,1.941565,11.1937553213006,4.36038417381228,10.5098454015473,2.19828019919029,2.32594542819525,0.945112543287819,0.752547209068848,0.0387227628874704,0.798367779683233,0.0710713832802773,0.873498084285767,4.05248341325741,6.97398859815436,20.0951915917016,18.1759293104056,TRUE,TRUE,TRUE,TRUE
5,1,6,0,1506,TRUE,4.110385,8.71626159759066,2.50211146926112,10.2891052534664,1.32954428826508,1.26149192019998,1.05394594049743,1.08090721793697,NA,NA,NA,NA,3.30496970036905,3.30496970036905,13.6157732660251,13.6055956981759,TRUE,TRUE,TRUE,TRUE
5,2,6,1,10425,TRUE,4.20206,8.9275417824407,3.94773085016238,10.2392185978756,0.905699293489574,1.25804335139497,0.719926934541085,0.734084551535587,0.193957880523046,0.697118150825589,0.306946420475297,0.605778905467209,3.43353411169032,4.70008412564004,13.8146756397547,13.6055956981759,TRUE,TRUE,TRUE,TRUE
5,1,7,1,9426,TRUE,4.5864,7.59821578024723,2.4713953332035,12.1414922944699,1.23165834005526,1.07807243119325,1.14246344161869,1.0514317321668,NA,NA,NA,NA,2.76104413970667,2.80618749528652,15.1854069681837,15.2441576933529,TRUE,TRUE,TRUE,TRUE
5,2,7,0,2507,TRUE,4.62585,7.79931770943659,2.35019575386843,10.9318905538404,1.86116554048982,1.08303905250059,1.71846577110276,1.13691741694728,0.100913082690171,0.77570913302985,0.0979432676652847,0.725824786188114,2.35963749721341,2.96658382449089,15.3059939043459,15.2441576933529,FALSE,TRUE,TRUE,TRUE
