"setting","method","dataset","attempt","seed","pass","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,2,3,1,10622,TRUE,2.856195,14.8436457432847,4.01140225964552,9.01378182034452,3.05097114544231,2.0453816622062,1.49163904312677,0.877052394341938,0.505013154246034,0.393636479280101,0.564565822699236,0.103024890540186,4.21130588134943,7.72876768153679,21.2524543672851,21.1545219699921,FALSE,TRUE,TRUE,TRUE
7,1,4,0,1704,TRUE,4.549515,7.73141423874751,1.37826186017654,10.2092897122112,1.06898551954974,1.09654205125351,0.974869607898509,1.08316669677369,NA,NA,NA,NA,2.00676142573265,2.00676142573265,11.6826316828876,11.8062612400128,TRUE,TRUE,TRUE,TRUE
7,2,4,3,26461,FALSE,4.587535,8.02793413027758,-2.50599109369907,15.3757774034158,1.51357195084518,1.10722815373024,1.36699193002451,0.581084037518046,0.493562109720871,0.310924892890135,0.581022498894484,0.124612632130941,2.35537197991158,2.97583074977133,11.5827795749251,11.8062612400128,TRUE,TRUE,FALSE,TRUE
7,1,5,0,1705,TRUE,4.47482,7.77207048806561,2.69788923700203,14.3081875687282,1.18385711379254,1.11560100163223,1.06118326539725,0.969421251918156,NA,NA,NA,NA,3.01461333669767,3.06654690933993,17.5021029341773,17.4613741667084,TRUE,TRUE,TRUE,TRUE
7,2,5,0,2705,TRUE,4.49677,7.86202183150169,3.36782399149391,13.8863864622895,1.08202002689407,1.11615234875711,0.969419656822789,0.783452404634764,0.509930699719874,0.309317512900598,0.640873129603115,0.0649292354889959,2.6667026589443,3.82641380371379,17.5304394681402,17.4613741667084,TRUE,TRUE,TRUE,TRUE
7,1,6,0,1706,TRUE,4.260225,12.3158386581283,3.76214646290322,12.0289471572669,1.74528530691205,1.45378822430999,1.20050862823601,0.86643782612679,NA,NA,NA,NA,5.1455437711487,5.29817451020206,18.594966101423,18.3053309339927,TRUE,TRUE,TRUE,TRUE
7,2,6,1,10625,TRUE,4.28171,12.6162095631196,3.83385032683917,9.93921694561804,2.32315724938783,1.46494459282035,1.58583284362668,0.877689764724639,0.553979255639123,0.297806523410407,0.614788286472354,0.0432650579210582,3.66014283206295,5.34658302104955,18.8458541254824,18.3053309339927,FALSE,TRUE,TRUE,TRUE
7,1,7,0,1707,TRUE,3.112955,12.4189911421683,3.20154630761362,11.5613586657174,1.94026888888042,1.7830328890539,1.08818457628673,0.902542410900827,NA,NA,NA,NA,5.85666046723315,6.00131409503878,17.7732193626901,17.5653103701161,TRUE,TRUE,TRUE,TRUE
7,2,7,1,10626,TRUE,3.12947,12.6255303584849,3.36757788977324,10.9720628589987,2.11962151813428,1.78985891376012,1.18423944023688,0.899422140290621,0.466482133993953,0.20273968813511,0.299865538507611,0.361471092388175,5.55400061068431,6.50980266783075,18.1100534181553,17.5653103701161,TRUE,TRUE,TRUE,TRUE
7,1,8,1,9627,FALSE,4.509445,12.558019400768,1.0554485608054,10.617143817178,1.52450502205817,1.40275949947763,1.08679001826462,0.90653170960786,NA,NA,NA,NA,2.31389432688309,2.32835249298843,12.2261804486498,12.4651404500697,TRUE,TRUE,FALSE,TRUE
7,2,8,0,2708,TRUE,4.56632,12.6951736254795,1.24705471622191,10.3556814717749,1.5220182457424,1.39387710761251,1.09193144605795,0.816085823971938,0.415362113305859,0.131312982720559,0.660584096427838,0.186441963515815,1.91746939806856,2.42856757763594,12.2537215033037,12.4651404500697,TRUE,TRUE,TRUE,TRUE
7,1,9,1,9628,FALSE,4.358095,9.77370872069999,0.850305767310407,10.4842203844958,1.22328797561173,1.2760288639667,0.958667950354177,0.952706990645168,NA,NA,NA,NA,1.97427407402004,1.97427407402004,11.5243892052399,11.6485907025735,TRUE,TRUE,FALSE,TRUE
7,2,9,3,26466,FALSE,4.376445,10.0174731018196,-1.23906278397094,13.4680186559207,1.65276394872403,1.28578130013838,1.28541607234929,0.649423125650163,0.148474836839531,0.521285025118103,0.51708807274898,0.207675792829354,2.4917791296848,2.4917791296848,11.4201403563678,11.6485907025735,TRUE,TRUE,FALSE,TRUE
7,1,10,0,1710,TRUE,2.66161,11.0641166207002,2.93739867223679,12.0455686464629,1.98729112560098,1.87919683508952,1.05752153712323,0.781090915673555,NA,NA,NA,NA,5.78314495122585,6.25221323647777,17.8830349601512,17.8696967772061,TRUE,TRUE,TRUE,TRUE
7,2,10,1,10629,TRUE,2.69525,11.3648695729547,2.78779802173665,11.3051876718253,2.40685060624201,1.88879474974481,1.27427853479961,0.83603699930248,0.466412959567411,0.236264107107605,0.76048244178968,-0.0510307920993642,4.90599191285927,6.60732329305358,18.0150010305224,17.8696967772061,TRUE,TRUE,TRUE,TRUE
