"setting","dataset","method_id","family","method_label","mrts_k","quantile","baseline_brier","mrts_brier","delta_brier","baseline_quant","mrts_quant","delta_quant"
4,8,1,"gaussian","Gaussian",10,0.96,0.00962928774545455,0.00961365724545454,-1.56305000000006e-05,1.32098584429831,1.32102172436726,3.58800689574945e-05
4,8,1,"gaussian","Gaussian",10,0.97,0.00525575816818182,0.00526277807727273,7.01990909090892e-06,1.12443568217257,1.1244223900061,-1.32921664675045e-05
4,8,1,"gaussian","Gaussian",10,0.98,0.00085997725,0.000849511368181818,-1.04658818181819e-05,0.895730085451048,0.895730085451048,0
4,8,1,"gaussian","Gaussian",10,0.99,0.00403832725,0.00400790557727273,-3.04216727272733e-05,0.499584671752987,0.499583693512225,-9.78240762561366e-07
4,8,1,"gaussian","Gaussian",10,0.995,0.00369239142727273,0.00367991220454545,-1.2479222727273e-05,0.268339257382329,0.26835625497081,1.69975884801166e-05
4,9,1,"gaussian","Gaussian",10,0.9,0.0322854625409091,0.0323678812409091,8.24187000000032e-05,1.34420218950072,1.34481991387316,0.000617724372441009
4,9,1,"gaussian","Gaussian",10,0.91,0.0304129639090909,0.0304852856727273,7.23217636363661e-05,1.2493489778172,1.24978722254416,0.000438244726961523
4,9,1,"gaussian","Gaussian",10,0.92,0.0287727552409091,0.0288271630136364,5.44077727272704e-05,1.14846465189828,1.14880319910435,0.000338547206071516
4,9,1,"gaussian","Gaussian",10,0.93,0.0288985483636364,0.0289396695045455,4.11211409090916e-05,1.04144306268603,1.04165905336967,0.000215990683638312
4,9,1,"gaussian","Gaussian",10,0.94,0.0252524169545455,0.0252995407818182,4.71238272727291e-05,0.926726714183046,0.926986736023958,0.000260021840911784
4,9,1,"gaussian","Gaussian",10,0.95,0.0239201087409091,0.0239451952636364,2.50865227272752e-05,0.804193796190833,0.804231615631953,3.78194411200239e-05
4,9,1,"gaussian","Gaussian",10,0.96,0.0210554570454545,0.0210383598954545,-1.70971499999992e-05,0.672401823759439,0.672262725160255,-0.000139098599184151
4,9,1,"gaussian","Gaussian",10,0.97,0.0161838075681818,0.0161735841318182,-1.02234363636364e-05,0.529383609623824,0.5292284295241,-0.000155180099724261
4,9,1,"gaussian","Gaussian",10,0.98,0.0128219271636364,0.0128452042318182,2.32770681818182e-05,0.374926813439209,0.375019417088105,9.26036488960169e-05
4,9,1,"gaussian","Gaussian",10,0.99,0.00926772742272727,0.00930433660909091,3.66091863636363e-05,0.205794609363955,0.205958856800343,0.000164247436387849
4,9,1,"gaussian","Gaussian",10,0.995,0.00442867194545455,0.00445312532272727,2.44533772727267e-05,0.113612677934661,0.113692722585507,8.00446508459896e-05
4,10,1,"gaussian","Gaussian",10,0.9,0.0334450124818182,0.0333994766772727,-4.55358045454504e-05,1.80192301368946,1.80195157683814,2.85631486822702e-05
4,10,1,"gaussian","Gaussian",10,0.91,0.0318995703181818,0.0318797696909091,-1.98006272727272e-05,1.68580219236569,1.68589641951776,9.42271520674165e-05
4,10,1,"gaussian","Gaussian",10,0.92,0.0303109160772727,0.0303477649909091,3.68489136363635e-05,1.56292861496059,1.56295668295616,2.80679955739771e-05
4,10,1,"gaussian","Gaussian",10,0.93,0.0241650434590909,0.0241785904590909,1.35469999999992e-05,1.43282746871077,1.43293145901689,0.000103990306128177
4,10,1,"gaussian","Gaussian",10,0.94,0.0245004175136364,0.0245053640136364,4.94650000000194e-06,1.29350543040648,1.29369955800885,0.000194127602368033
4,10,1,"gaussian","Gaussian",10,0.95,0.0200401721090909,0.0200683077227273,2.8135613636366e-05,1.14393339999415,1.14409635384866,0.000162953854506265
