"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
7,"per-block",0.9,"dataset","2",0.111783641169444,0.116111317801852,0.113795891651852,0.00432767663240741,0.0020122504824074,-0.00231542615000001
7,"per-block",0.9,"dataset","3",0.128679931741667,0.143230300093519,0.117441128008333,0.0145503683518519,-0.0112388037333333,-0.0257891720851852
7,"per-block",0.9,"dataset","4",0.102273605874074,0.104385857942593,0.103514158911111,0.00211225206851852,0.00124055303703703,-0.000871699031481488
7,"per-block",0.9,"dataset","5",0.0992651948972222,0.111639447375,0.102065296762037,0.0123742524777778,0.0028001018648148,-0.00957415061296298
7,"per-block",0.9,"dataset","6",0.101861017266667,0.0985036580824074,0.0909100402935185,-0.00335735918425926,-0.0109509769731482,-0.0075936177888889
7,"per-block",0.9,"dataset","7",0.0905378056277778,0.0920755162157407,0.100586888659259,0.00153771058796297,0.0100490830314815,0.00851137244351852
7,"per-block",0.9,"dataset","8",0.0928807692916667,0.0926154103962963,0.0921230252305556,-0.000265358895370368,-0.000757744061111107,-0.000492385165740739
7,"per-block",0.9,"dataset","9",0.0928925931324074,0.0929980379990741,0.0927460103990741,0.000105444866666665,-0.000146582733333345,-0.00025202760000001
7,"per-block",0.9,"dataset","10",0.0925057806509259,0.0952101303388889,0.115870939272222,0.00270434968796297,0.0233651586212963,0.0206608089333333
7,"per-block",0.95,"dataset","1",0.0490182501509259,0.0485868224055556,0.0484247742222222,-0.000431427745370368,-0.0005934759287037,-0.000162048183333333
7,"per-block",0.95,"dataset","2",0.0637453314027778,0.0671819772027778,0.0657005390555556,0.0034366458,0.00195520765277779,-0.00148143814722221
7,"per-block",0.95,"dataset","3",0.0836100390342593,0.101662650226852,0.0745110296907407,0.0180526111925926,-0.00909900934351852,-0.0271516205361111
7,"per-block",0.95,"dataset","4",0.0563555278407407,0.0580969238731481,0.0571719035203704,0.0017413960324074,0.000816375679629625,-0.000925020352777778
7,"per-block",0.95,"dataset","5",0.0542228483231482,0.0658366505416667,0.0587851506018519,0.0116138022185185,0.0045623022787037,-0.00705149993981481
7,"per-block",0.95,"dataset","6",0.0520319043675926,0.054078474187963,0.0481825878685185,0.00204656982037037,-0.00384931649907407,-0.00589588631944444
7,"per-block",0.95,"dataset","7",0.0481766049083333,0.0499823193083333,0.0589272322194444,0.00180571440000001,0.0107506273111111,0.00894491291111111
7,"per-block",0.95,"dataset","8",0.0483556505111111,0.0482550638611111,0.048134295325,-0.000100586649999998,-0.000221355186111112,-0.000120768536111114
7,"per-block",0.95,"dataset","9",0.0490675910564815,0.0494895335731481,0.0492811876796296,0.000421942516666669,0.000213596623148148,-0.000208345893518522
7,"per-block",0.95,"dataset","10",0.0507935791648148,0.0523743827287037,0.0713332834462963,0.00158080356388889,0.0205397042814815,0.0189589007175926
