"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean"
4,"6","4","1",3.24168920793516,9.47575310589565,1.67661783207528,1.68063239281548,0.997611279684152,0.926214793372906,0.64523701643532,NA,0.576657364333397,NA,6.40986973104252,10.6362811128924,14.9108270379657,14.7828848863509
4,"7","4","1",2.5858787697924,10.4331096722975,1.64740902410768,1.61075241244613,1.02275744638239,1.38377144229845,0.399478113208482,NA,0.494056584559762,NA,5.40585567644888,5.50667935869246,14.6931096929019,14.6176945136545
4,"8","4","1",3.54197619272931,10.3549018544596,1.22541701400045,1.59898264999138,0.766372927190332,0.968322365362538,0.512293618036904,NA,0.506562396673194,NA,4.33616428771249,8.96742609599417,14.6952997442147,14.5627536289983
4,"9","4","1",2.39948585967837,10.5802362207009,1.31515694320323,1.33890053178537,0.982266353609947,0.97607310802821,0.420819510828813,NA,0.474599933700761,NA,3.37492045384375,3.55097844826221,13.7359367091749,13.524579849751
4,"10","4","1",3.51783760224002,10.1354629586726,1.29364995456438,1.58630113130354,0.815513479147127,0.759372653901146,0.509600293384798,NA,0.522168603651223,NA,4.0986189822552,6.38965336356088,14.6863134129752,14.6197949376979
4,"1","1","2",2.70486879503451,10.5285952336155,1.51571934066998,1.56752083541925,0.966953233680357,1.00219238244217,NA,NA,NA,NA,4.70878062371052,4.89003881254618,14.628417180224,14.5926359976645
4,"2","1","2",2.61176693507346,10.2451207571378,1.58981851038595,1.54236311000976,1.03076798198051,0.904840165399227,NA,NA,NA,NA,4.38070210534407,4.41297021295942,14.3973561753316,14.406510648529
4,"3","1","2",2.85832386103485,10.3476166226998,1.40795053644374,1.45593511783344,0.967042088069759,1.25267377047303,NA,NA,NA,NA,4.11291763080077,4.36648185696669,14.3719952361738,14.434405395198
4,"4","1","2",2.20518255279501,10.0302891847613,1.34723195838035,1.37381773132727,0.980648253155654,1.00518671117982,NA,NA,NA,NA,3.23616831524801,3.24459012165949,13.0011815939495,12.9817280894322
4,"5","1","2",3.74460151135364,9.78461702035056,1.48099461343459,1.46892415811815,1.00821720798159,1.05268648731623,NA,NA,NA,NA,5.21356414777011,5.45990901862415,15.3303516881243,15.3579471312086
4,"6","1","2",2.9011016282983,9.9899733096143,1.69645571325558,1.67512816607811,1.01273188977975,1.09622212318655,NA,NA,NA,NA,6.21739703839244,6.72900920240672,14.911563741676,14.8685164263308
4,"7","1","2",2.3198362600308,10.2240407722004,1.51605762018599,1.54306745631665,0.982496010773805,1.38126831454048,NA,NA,NA,NA,3.96061193697774,4.02145024357713,13.7410462118038,13.7184925436612
4,"8","1","2",2.69229408093539,10.2056050223846,1.60698055890506,1.58996879504126,1.01069943254035,1.11703574159446,NA,NA,NA,NA,4.53682657688107,4.65722184642317,14.5320692693029,14.5978648602289
4,"9","1","2",2.2081249426562,10.3649242442968,1.63905089174533,1.55860290089358,1.05161545048173,1.05299442015681,NA,NA,NA,NA,3.96443977188864,4.04913579791275,13.9841534006425,13.8137939638863
4,"10","1","2",3.09957768588288,9.74064075311701,1.58001427469877,1.57620020153082,1.00241978979843,1.56018187228076,NA,NA,NA,NA,5.03817822658432,5.28859672920039,14.6380177423497,14.645862131992
4,"1","2","2",3.51350999318904,10.4063968060247,1.22738349770599,1.56101010744164,0.786275176473755,0.795890951865588,0.626053326682194,0.0269779523412282,0.981533591724224,-0.431352815534556,4.51774611315779,7.13141196307542,14.71882099069,14.5926359976645
