"setting","rule","prob","iid","AR1","AR2","contrast","gap","t_p","w_p","datasets_won","blocks_won"
5,"per-block",0.92,0.116396135326296,0.119207692750648,0.0973197801922222,"AR(2)-i--iAR(1)",-0.0218879125584259,0.0431338615384441,0.041565571350402,8,5
5,"per-block",0.93,0.106930747898426,0.1098663691375,0.0880115422525926,"AR(2)-i--iAR(1)",-0.0218548268849074,0.0415844531021639,0.041565571350402,8,5
5,"per-block",0.94,0.0969187770855556,0.100090403924444,0.0783255483871296,"AR(2)-i--iAR(1)",-0.0217648555373148,0.0403009451919264,0.041565571350402,8,5
5,"per-block",0.95,0.0863342863490741,0.0897844490959259,0.0682586498393519,"AR(2)-i--iAR(1)",-0.0215257992565741,0.0390211249640165,0.041565571350402,8,5
5,"per-block",0.96,0.0751357646562037,0.0787772949116667,0.0577605591763889,"AR(2)-i--iAR(1)",-0.0210167357352778,0.0379806184973052,0.041565571350402,8,5
5,"per-block",0.97,0.0631198463109259,0.0668370297386111,0.0463482703876852,"AR(2)-i--iAR(1)",-0.0204887593509259,0.0348321483587795,0.0332728606718581,8,5
5,"per-block",0.98,0.0506088045522222,0.0544135552001852,0.0349182085607407,"AR(2)-i--iAR(1)",-0.0194953466394444,0.0334773034534248,0.0332728606718581,8,5
5,"per-block",0.99,0.0357857941133333,0.0394222660309259,0.022006331337963,"AR(2)-i--iAR(1)",-0.017415934692963,0.0328050061512546,0.0332728606718581,8,5
5,"per-block",0.995,0.0264321244075926,0.0300870977360185,0.0147757235678704,"AR(2)-i--iAR(1)",-0.0153113741681481,0.0329020544955199,0.0332728606718581,8,5
7,"per-block",0.9,0.100845194188889,0.1041397298125,0.10231961486,"AR(2)-i--iAR(1)",-0.0018201149525,0.32090527217466,0.131096301203387,8,3
7,"per-block",0.91,0.0924044598137037,0.0958720813706481,0.0940394411326852,"AR(2)-i--iAR(1)",-0.00183264023796296,0.318416991168901,0.131096301203387,8,3
7,"per-block",0.92,0.0833686213028704,0.087062256205,0.0852868614536111,"AR(2)-i--iAR(1)",-0.00177539475138889,0.32382451375398,0.131096301203387,8,3
7,"per-block",0.93,0.0746337703019444,0.0784567249334259,0.0767519509358333,"AR(2)-i--iAR(1)",-0.00170477399759259,0.330670601040913,0.154031614953599,8,3
7,"per-block",0.94,0.0652257068153704,0.0691687308350926,0.0675795368059259,"AR(2)-i--iAR(1)",-0.00158919402916667,0.340509859958244,0.154031614953599,8,3
7,"per-block",0.95,0.0555377326760185,0.0595544797909259,0.058045198362963,"AR(2)-i--iAR(1)",-0.00150928142796296,0.346983188256944,0.154031614953599,8,3
7,"per-block",0.96,0.0461134295730556,0.050127562147037,0.048723531740463,"AR(2)-i--iAR(1)",-0.00140403040657407,0.355293503020443,0.154031614953599,8,3
7,"per-block",0.97,0.0359760295182407,0.0400201881922222,0.0386248864146296,"AR(2)-i--iAR(1)",-0.00139530177759259,0.350921241931793,0.154031614953599,8,3
7,"per-block",0.98,0.0258308912589815,0.0297153453128704,0.0283431971982407,"AR(2)-i--iAR(1)",-0.00137214811462963,0.344799331723246,0.179475717926313,7,3
7,"per-block",0.99,0.0145090550781481,0.0180341961546296,0.0167615594063889,"AR(2)-i--iAR(1)",-0.00127263674824074,0.337610194329507,0.179475717926313,7,3
7,"per-block",0.995,0.00868552435481481,0.0118557364612963,0.0106111366937963,"AR(2)-i--iAR(1)",-0.0012445997675,0.323872187164685,0.237766329798451,6,3
