"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
7,2,5,"rho",10,1.02402574158448,1.03225620204713,0.0853315721405618,0.0655118820033148
7,4,1,"rho",10,1.06956469228309,1.08537464754076,0.125841353365373,0.115410325506278
7,4,2,"rho",10,1.02933836178828,1.02111532589431,0.0706788172850777,0.0951128288332308
7,4,3,"rho",10,1.02036346892084,1.02113795336841,0.0928778107543049,0.0728382143959843
7,4,4,"rho",10,1.03952045510955,1.05636183981674,0.0847276177484577,0.0708802445766275
7,4,5,"rho",10,1.0302462124878,1.04100934295491,0.0787327950161822,0.0617949732218904
7,1,1,"nu",10,0.462764333173309,0.440713693789738,0.0706254405694515,0.0684463128374928
7,1,2,"nu",10,0.471796286845165,0.472567952218889,0.0557260074574221,0.053602318634477
7,1,3,"nu",10,0.471952832825548,0.46203353277429,0.0733511090791359,0.0479868461763066
7,1,4,"nu",10,0.464355299224961,0.465319682191687,0.0638222589858535,0.0398150465054975
7,1,5,"nu",10,0.468862014532049,0.465426994385492,0.0666440620597046,0.0412979401329172
7,2,1,"nu",10,0.47090940989554,0.455592169876881,0.0675166523554706,0.0726178793789577
7,2,2,"nu",10,0.484726964876808,0.477376291892564,0.0632305633224927,0.0603434803309455
7,2,3,"nu",10,0.489764208407036,0.480762920903267,0.0743588751502044,0.0532437809187932
7,2,4,"nu",10,0.476359538692132,0.478168241209445,0.0677570191925825,0.0430856367311205
7,2,5,"nu",10,0.48044135449602,0.464415859468436,0.0659385786236157,0.0431242634702163
7,4,1,"nu",10,0.469927129820581,0.463199154559521,0.0679071428273292,0.0655799181617671
7,4,2,"nu",10,0.485798252688652,0.484420757276228,0.0579734056204576,0.0618314873378731
7,4,3,"nu",10,0.488879710580554,0.471355175740524,0.0764460449063098,0.0498061712374404
7,4,4,"nu",10,0.475485413222521,0.467837288490107,0.0661449555853973,0.0444570353557465
7,4,5,"nu",10,0.477556500095074,0.467048482211421,0.0596216505840022,0.039320204756691
7,1,1,"gamma",10,0.922932117205108,0.934973474656307,0.0299882680081109,0.0341588980191462
7,1,2,"gamma",10,0.919749416085177,0.916373659602147,0.0299541841480976,0.0263227871124911
7,1,3,"gamma",10,0.924175302042646,0.926676060640419,0.0372382098384073,0.0236634812509298
7,1,4,"gamma",10,0.925569390829381,0.928068697772007,0.0352714564085356,0.0203367880791092
7,1,5,"gamma",10,0.924033424280478,0.923268315619354,0.035246211923187,0.0211031638053079
7,2,1,"gamma",10,0.920161661165934,0.924973077662969,0.0281236861584822,0.0347782603916495
7,2,2,"gamma",10,0.91551190110213,0.914656107442891,0.0308686157153034,0.0286722949931011
7,2,3,"gamma",10,0.916771728090735,0.916505562894157,0.0367270628937451,0.0247715994062118
7,2,4,"gamma",10,0.92158101440806,0.920348404525322,0.0356709447722354,0.0209185955079154
7,2,5,"gamma",10,0.918816019755739,0.921084137563627,0.0335576114078825,0.0211400756019262
