"setting","rule","prob","margin","level","iid","AR1","AR2","AR1-iid","AR2-iid","AR2-AR1"
7,"full-series",0.9,"dataset","2",0.0744743405592593,0.0763527062796296,0.0746309714037037,0.00187836572037037,0.000156630844444436,-0.00172173487592593
7,"full-series",0.9,"dataset","3",0.0630109243666667,0.0835339620009259,0.062583369087963,0.0205230376342593,-0.000427555278703695,-0.020950592912963
7,"full-series",0.9,"dataset","4",0.0909277196222222,0.0915104548212963,0.0912282839842593,0.000582735199074078,0.000300564362037042,-0.000282170837037035
7,"full-series",0.9,"dataset","5",0.125205608037037,0.133067078153704,0.118687690675,0.00786147011666666,-0.00651791736203704,-0.0143793874787037
7,"full-series",0.9,"dataset","6",0.136435029094444,0.125899748387963,0.129903111686111,-0.0105352807064815,-0.00653191740833334,0.00400336329814813
7,"full-series",0.9,"dataset","7",0.10617578822963,0.106819090269444,0.112314687275,0.000643302039814816,0.00613889904537038,0.00549559700555556
7,"full-series",0.9,"dataset","8",0.114219666362037,0.113569379569444,0.111177343043519,-0.000650286792592589,-0.00304232331851852,-0.00239203652592593
7,"full-series",0.9,"dataset","9",0.0855270160222222,0.0852170116759259,0.0843119596398148,-0.0003100043462963,-0.0012150563824074,-0.000905052036111104
7,"full-series",0.9,"dataset","10",0.0712477551,0.0755068517759259,0.08703131025,0.00425909667592592,0.01578355515,0.0115244584740741
7,"full-series",0.95,"dataset","1",0.0900045611203704,0.0879447391398148,0.0876480738601852,-0.00205982198055556,-0.0023564872601852,-0.00029666527962964
7,"full-series",0.95,"dataset","2",0.0375394659287037,0.0384306803462963,0.037657837012963,0.000891214417592594,0.000118371084259258,-0.000772843333333335
7,"full-series",0.95,"dataset","3",0.0290842713962963,0.0459062157907407,0.0299595070425926,0.0168219443944444,0.000875235646296296,-0.0159467087481482
7,"full-series",0.95,"dataset","4",0.0515592149814815,0.0519851401925926,0.0519907699731481,0.000425925211111115,0.000431554991666666,5.6297805555508e-06
7,"full-series",0.95,"dataset","5",0.0704374696527778,0.0778975064944444,0.0706192677314815,0.00746003684166667,0.000181798078703707,-0.00727823876296296
7,"full-series",0.95,"dataset","6",0.0751961060314815,0.0743434277398148,0.0734092016935185,-0.000852678291666673,-0.00178690433796297,-0.000934226046296296
7,"full-series",0.95,"dataset","7",0.0541463925555556,0.0556110058490741,0.0624513294833333,0.00146461329351852,0.00830493692777778,0.00684032363425926
7,"full-series",0.95,"dataset","8",0.0644795647074074,0.0641172400277778,0.0631658384787037,-0.000362324679629641,-0.00131372622870371,-0.000951401549074068
7,"full-series",0.95,"dataset","9",0.0435239230046296,0.043574915212037,0.0432100082657407,5.09922074074104e-05,-0.000313914738888886,-0.000364906946296296
7,"full-series",0.95,"dataset","10",0.0405196523916667,0.0427982588824074,0.0493327979935185,0.00227860649074074,0.00881314560185185,0.00653453911111111
