"setting","method","dataset","block","param","mean","sd","q025","q50","q975","truth","truth_is_generating","covered"
7,1,10,1,"tau.beta",11.0873461180885,2.27915072287456,7.14587173752034,10.9060084660745,15.9695011748024,8,TRUE,TRUE
7,1,10,1,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,1,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,1,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,1,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,1,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,1,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,2,"beta0",12.0270120979848,0.239240149631954,11.5324126746668,12.0358577774646,12.4727318331254,10,TRUE,FALSE
7,1,10,2,"beta1",-0.0249418150928333,0.0130080611023367,-0.0501361649227023,-0.0248568536859622,0.000757374299198978,0,TRUE,TRUE
7,1,10,2,"beta2",0.0175601996612991,0.0129655843752345,-0.00832154750442581,0.0176995520154429,0.0423504316733572,0,TRUE,TRUE
7,1,10,2,"lambda",2.91986704645689,0.241710535425748,2.46586887983552,2.92062958750939,3.39131788604989,3,TRUE,TRUE
7,1,10,2,"rho",0.93081653072571,0.0912248138398223,0.780590725348487,0.924035458503627,1.13597361569027,1,TRUE,TRUE
7,1,10,2,"nu",0.536661996126184,0.0711730767030441,0.403048763293783,0.534355341844051,0.677017694239403,0.5,TRUE,TRUE
7,1,10,2,"gamma",0.887859656390485,0.0289723730884478,0.838368638952156,0.885778322404632,0.954878695104256,0.9,TRUE,TRUE
7,1,10,2,"tau.alpha",3.40948,0.508937649769729,2.5,3.4,4.5,3,TRUE,TRUE
7,1,10,2,"tau.beta",13.3750809449146,2.15375641165677,9.48138118468642,13.2538688961566,17.8675390874775,8,TRUE,FALSE
7,1,10,2,"phi.z1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,2,"phi.z2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,2,"phi.tau1",NA,NA,NA,NA,NA,0.580645161290323,FALSE,NA
7,1,10,2,"phi.tau2",NA,NA,NA,NA,NA,0.290322580645161,FALSE,NA
7,1,10,2,"phi.w1",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,2,"phi.w2",NA,NA,NA,NA,NA,NA,FALSE,NA
7,1,10,3,"beta0",12.2376217378763,0.215337196781855,11.7969767834988,12.2442949936029,12.6354151582681,10,TRUE,FALSE
7,1,10,3,"beta1",-0.015344039046147,0.0113768670623275,-0.0374745768382143,-0.0153232955999821,0.00666803003297428,0,TRUE,TRUE
7,1,10,3,"beta2",0.00821569885625934,0.0112511041556876,-0.0138475292296832,0.00813172910202516,0.0307745990009348,0,TRUE,TRUE
7,1,10,3,"lambda",2.7898040265693,0.194684959904856,2.43186664575978,2.78326420809136,3.18664334675137,3,TRUE,TRUE
7,1,10,3,"rho",0.957836800481623,0.0891113798970547,0.789653643002042,0.954677621727344,1.14385153943019,1,TRUE,TRUE
