"setting","method","block","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
5,2,3,"phi.z2",10,0.749053340781572,0.758547571070359,0.0816732830993042,0.0540488098507352
5,2,4,"phi.z2",10,0.756900942377515,0.772504356216173,0.0831807744881387,0.0580643918701406
5,2,5,"phi.z2",10,0.768321923765681,0.764453585492492,0.078347667451885,0.047175155934966
5,2,1,"phi.tau1",10,0.110636550311317,0.122980283234121,0.120551083999613,0.114511939223754
5,2,2,"phi.tau1",10,0.146399376062171,0.131640711035561,0.101120586384823,0.071604870033034
5,2,3,"phi.tau1",10,0.132260949137388,0.140090965059408,0.0601611578256193,0.0638486986708366
5,2,4,"phi.tau1",10,0.13715405062215,0.135502870868121,0.0401212435777371,0.0543853699283705
5,2,5,"phi.tau1",10,0.145298659248343,0.13732154324355,0.0393790676063606,0.0484443569414882
5,4,1,"phi.tau1",10,0.425078116937452,0.637353212078499,0.492535488265562,0.175907187202232
5,4,2,"phi.tau1",10,0.649864547497917,0.725873597641089,0.269013649883667,0.0828248988367191
5,4,3,"phi.tau1",10,0.701822459829267,0.762044999162279,0.207630432629037,0.0621140602581284
5,4,4,"phi.tau1",10,0.723053760347208,0.744208514974349,0.104084144024489,0.051644629814884
5,4,5,"phi.tau1",10,0.734675156373067,0.765639158423827,0.110877359729518,0.044498322505559
5,2,1,"phi.tau2",10,0.757600847460643,0.762115828989335,0.0716731475593642,0.0922799081167884
5,2,2,"phi.tau2",10,0.776386614820596,0.801601543218299,0.0886198731399845,0.0646948663731248
5,2,3,"phi.tau2",10,0.799116080187063,0.806125632644756,0.0455078136145237,0.0587670508294376
5,2,4,"phi.tau2",10,0.795386075490278,0.799319029256717,0.0401820481946676,0.0517044663776281
5,2,5,"phi.tau2",10,0.790542588976895,0.799885400321471,0.031833343219219,0.0474062196039169
5,2,1,"phi.w1",10,0,0,0,0
5,2,2,"phi.w1",10,0,0,0,0
5,2,3,"phi.w1",10,0,0,0,0
5,2,4,"phi.w1",10,0,0,0,0
5,2,5,"phi.w1",10,0,0,0,0
5,4,1,"phi.w1",10,0,0,0,0
5,4,2,"phi.w1",10,0,0,0,0
5,4,3,"phi.w1",10,0,0,0,0
5,4,4,"phi.w1",10,0,0,0,0
5,4,5,"phi.w1",10,0,0,0,0
5,2,1,"phi.w2",10,0,0,0,0
5,2,2,"phi.w2",10,0,0,0,0
5,2,3,"phi.w2",10,0,0,0,0
5,2,4,"phi.w2",10,0,0,0,0
5,2,5,"phi.w2",10,0,0,0,0
