"setting","dataset","method","block","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,"3","2","2",7.9920633874318,7.92890612732317,1.58848346561024,1.89761494624487,0.837094727122404,0.483897068137134,0.516336502895276,0.444605221268389,0.452387312653499,0.237489368573857,4.97990650015804,9.5771379076281,20.6241666743675,19.4517511657762,1,0,0,1
7,"4","2","2",1.3466110346243,10.1861255918527,1.11269236614281,1.157293778882,0.96146059578556,1.08284086240806,0.298017368884206,0.0558310580746677,0.559119400253438,0.203336821137524,1.83903943731637,2.08170714091702,11.6844894102428,11.7203555751525,1,1,1,1
7,"5","2","2",6.07433942189418,13.5529429477427,0.915715342786465,1.09838685052681,0.83369110104265,0.650390543013345,0.530652965110316,0.391536630971828,0.571098945437747,0.199288578389707,3.63154665025295,5.78728714576301,19.1153087536639,19.0555409104497,1,1,0,1
7,"6","2","2",6.45340870471331,8.7826134505477,1.48369329313113,1.47338004368302,1.00699972114617,0.4968015215159,0.520240413298553,0.423487732220126,0.592895807068003,0.10013670613208,3.7353925818781,6.77025075633608,18.3574926635649,17.9181724247229,1,0,0,1
7,"7","2","2",4.08257026667405,10.6241667823601,2.05237809789563,1.82651592749592,1.12365737796185,0.703051229709689,0.58750687902163,0.248269566873249,0.400143594490051,0.195564558441157,5.62578176884913,7.29977899574236,19.0031445808018,18.7821194477044,1,1,1,1
7,"8","2","2",1.24731392409659,10.1475018744051,1.59121028149484,1.50754176394268,1.05549996660347,0.901156266317257,0.43504858073787,0.15425584372747,0.566081378710274,0.27874639705433,2.96417950562779,2.96417950562779,12.1322406146793,12.27473294046,1,1,1,1
7,"9","2","2",1.45233532760655,10.4848753188217,1.16492664505391,1.27381132422468,0.914520559599321,1.060901572289,0.272154310252311,0.361453113409116,0.563955384187334,0.0535371359956384,2.09206932898357,2.40747346544459,12.1767394395037,12.2309012567358,1,1,1,1
7,"10","2","2",6.42180830257537,10.670527963276,1.13324268281587,1.76018186455216,0.643821360529814,0.375262678605669,0.669819537683695,0.232659120408099,0.59833537827762,0.113033101921759,4.90689208228458,9.76280593735867,17.9479952326157,17.562097096976,1,0,0,1
7,"1","4","2",1.22583490812857,9.84545502649881,1.40247632999176,1.40261410200751,0.999901774824917,0.992329897258226,0.564016498306651,NA,0.608982927618159,NA,2.27731149598178,2.4292925961826,11.5646594696268,11.6939338506542,1,1,1,1
7,"2","4","2",1.20194099405282,9.98662915304031,1.54325486774651,1.71369602141406,0.900541781309091,0.942119410481392,0.373544086526787,NA,0.600658319644861,NA,2.94418524007255,2.9980829258676,11.8415304428564,11.7628139565778,1,1,1,1
7,"3","4","2",8.76709015644187,8.25107452421448,1.46265768400566,1.89694982501668,0.771057655145306,0.488195398705548,0.916523423537168,NA,0.588465416394005,NA,4.66648450304955,12.5487154142856,21.0743263079046,19.4517511657762,1,0,0,1
7,"4","4","2",1.3902329855405,10.2090006788475,1.06304777984649,1.1559187320248,0.919656157820345,1.0534791250956,0.334370733412895,NA,0.697233290474055,NA,1.90657674462271,2.1252766669235,11.6868847675956,11.7203555751525,1,1,1,1
7,"5","4","2",6.62434294793925,13.5446378460243,0.844261752398818,1.09736020003276,0.769357000895071,0.59888111254066,0.883203047364975,NA,0.726893966861338,NA,4.08863750372826,6.60475784775136,19.1373172317422,19.0555409104497,1,1,0,1
7,"6","4","2",7.4232290982144,9.55391608351768,1.1982925850017,1.47131721590543,0.814435236703385,0.444340219329849,0.897991967717946,NA,0.679620891423542,NA,4.30572240277709,8.99571105463313,18.4491164686769,17.9181724247229,1,0,0,1
7,"7","4","2",3.57472546177876,10.9174820479438,2.23289954345856,1.82847391271496,1.22118206222756,0.791619086825596,0.73073467525141,NA,0.497226513315375,NA,5.78462288847933,6.57826449121996,18.8994848995393,18.7821194477044,1,1,1,1
7,"8","4","2",1.22518389800304,10.1825358205811,1.58408446459706,1.50761269790378,1.05072374808172,0.914906592839037,0.523941531767467,NA,0.794120071359196,NA,2.6889094134595,2.73390001368469,12.1233305996822,12.27473294046,1,1,1,1
7,"9","4","2",1.53074262479528,10.4754215479443,1.09939921904625,1.27253455252287,0.863944493190086,0.999085107021114,0.48610109624208,NA,0.615409206816008,NA,2.30634466522051,2.43376189211847,12.158318794205,12.2309012567358,1,1,1,1
7,"10","4","2",2.75587589371992,11.3383506753656,2.32160933482694,1.77699965070505,1.30647709126212,0.825259544310786,0.701826217919241,NA,0.687350596739581,NA,4.65541701552764,5.40400731179448,17.7364178758503,17.562097096976,1,1,1,1
7,"1","1","3",1.27065584599061,10.0295260071907,1.5256266658868,1.42739397748384,1.06881960408444,1.09929478647091,NA,NA,NA,NA,2.45600478826596,2.47300798891938,11.968072448999,12.0520319921844,1,1,1,1
7,"2","1","3",1.09195770694009,9.87235894463654,1.6208632009271,1.68798222286533,0.960237127483311,1.04193225622361,NA,NA,NA,NA,2.72946146147087,2.75083572690623,11.6422730087845,11.5255132477851,1,1,0,1
7,"3","1","3",3.2506803490157,11.3407953441092,2.21223121507203,1.91227203303984,1.15686009984436,0.982185656331794,NA,NA,NA,NA,5.95851282843437,6.01392436149857,18.532051882423,18.6632140610427,1,1,1,1
7,"4","1","3",1.21179173085077,10.0881132405529,1.10221585068809,1.10692723721594,0.995743725179535,1.17209798271668,NA,NA,NA,NA,1.8797891325654,1.90766987840241,11.4237692940294,11.4664432354342,1,1,1,1
7,"5","1","3",3.80062702790609,14.1053271137155,1.46668264412223,1.24794579594065,1.17527752318497,0.897758140910709,NA,NA,NA,NA,4.30309463937926,4.37711909516587,19.6796408123273,19.6822499526964,1,1,1,1
7,"6","1","3",3.45381923995737,11.8241615004673,1.89069143229485,1.60490490840015,1.17807068967069,0.933582908407541,NA,NA,NA,NA,5.16037367046054,5.28063850063983,18.3542679461498,18.1802486969202,1,1,1,1
7,"7","1","3",3.158539097081,11.901402433686,2.31772269525793,1.9788029546626,1.17127513368461,0.795817086503012,NA,NA,NA,NA,6.12348165248293,6.30893243295579,19.2220201828501,19.1803861742849,1,1,1,1
7,"8","1","3",1.3058112678992,10.3890588256952,1.63389828990694,1.55821904026695,1.04856778648208,0.954161903582254,NA,NA,NA,NA,2.6977317921563,2.72131669864554,12.522621623257,12.654037374242,1,1,1,1
7,"9","1","3",1.51387616669434,10.4896677786867,1.28554825000293,1.31083472136215,0.980709641767087,1.06590597720509,NA,NA,NA,NA,2.4522208571787,2.47852784353159,12.4358286355017,12.5434577554605,1,1,1,1
7,"10","1","3",2.7898040265693,12.2376217378763,1.98153582764195,1.76932731104007,1.11993739952905,0.814709928913342,NA,NA,NA,NA,4.9099422829306,4.9224311009135,17.7657183686231,17.7118627088766,1,1,1,1
7,"1","2","3",1.40719047954161,9.97859079048638,1.43081880449758,1.4179000549468,1.0091111848862,1.03107448056612,0.414070816998621,0.259584795917074,0.563446826459516,0.0514125982792971,2.13502851566725,2.57523595304082,11.9920253901245,12.0520319921844,1,1,1,1
7,"2","2","3",1.17438408405011,9.90048412883889,1.49492489732785,1.68515765584397,0.887112782678575,0.984105695954174,0.335725678447024,0.199391158130418,0.553822741523746,-0.00480954916567889,2.26409181379566,2.83196300040144,11.656100135111,11.5255132477851,1,1,0,1
7,"3","2","3",9.68430517114302,8.85280576912171,1.02060280894357,1.89669723578627,0.538094741578765,0.340393829072488,0.532217034703958,0.434314890982026,0.449220852197809,0.276853804515687,3.8759392567487,8.27512050149047,18.736634829457,18.6632140610427,0,0,0,1
7,"4","2","3",1.33908384548938,10.0893340909014,1.0158494344122,1.10260248301094,0.921319741307098,1.08002835711034,0.384865127989705,0.160171337099198,0.648559779636471,0.154604362189637,1.57319760812725,1.96308528028425,11.4496416579723,11.4664432354342,1,1,1,1
7,"5","2","3",3.64959153607054,11.9613378050328,2.14052053384089,1.24994005176616,1.71249855608382,0.959413258007693,0.489487395849808,0.406548721594853,0.596657644632214,0.231462673134548,3.46571737003562,4.66193560097881,19.7733634281237,19.6822499526964,0,1,1,1
7,"6","2","3",3.96990384791113,9.27463525676424,2.33659151272418,1.60524330345031,1.45559960144479,0.837204708134293,0.599813593133025,0.29425462724508,0.541916736262071,0.213836684421771,3.32778782876824,5.57641716441321,18.5506788941245,18.1802486969202,0,1,1,1
7,"7","2","3",9.88747451816084,9.28609785352921,1.04952690432065,1.95794469305604,0.536035010612327,0.272234091387625,0.685494228924751,0.270501643854151,0.444876150187427,0.212125748293509,6.28756445066684,12.2667719958987,19.6632683761238,19.1803861742849,0,0,0,1
7,"8","2","3",1.49390733252538,10.2553619340213,1.552084490246,1.55174499172578,1.00021878499498,0.869960845206329,0.490740251808946,0.129538591631171,0.483787700574427,0.338923698018219,3.10451840286006,3.2148314113617,12.5740323346988,12.654037374242,1,1,1,1
7,"9","2","3",1.82905800372389,10.524328957425,1.06708010278271,1.3051979986527,0.817561859491217,0.90789320484527,0.239494279058571,0.451747028177741,0.616789347271655,0.035500674238615,2.90015634121025,3.08298871420011,12.4760803600342,12.5434577554605,1,1,1,1
