"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",2,50,0.95,0.394490113220587,0.400707547860657
"brier",2,50,0.96,0.408366844700834,0.424530224694739
"brier",2,50,0.97,0.431108515093846,0.445793728806598
"brier",2,50,0.98,0.46253149512463,0.501515360816915
"brier",2,50,0.99,0.642932487049338,0.622953584603862
"brier",2,50,0.995,0.773000970718965,0.707806777951475
"brier",3,50,0.9,0.634588829872679,0.635659726915677
"brier",3,50,0.91,0.643680764334637,0.646202033376339
"brier",3,50,0.92,0.6504169772397,0.65615176773814
"brier",3,50,0.93,0.659379658367074,0.661860990700478
"brier",3,50,0.94,0.667994286659184,0.666929104723891
"brier",3,50,0.95,0.674234462606732,0.668461072846306
"brier",3,50,0.96,0.684574764014277,0.674130783992146
"brier",3,50,0.97,0.698765747351486,0.696588972444199
"brier",3,50,0.98,0.718331163018514,0.695448577264697
"brier",3,50,0.99,0.816361746992025,0.783860342501715
"brier",3,50,0.995,0.930874501554102,0.861263854921479
"brier",4,50,0.9,0.376181333040063,0.355353718822767
"brier",4,50,0.91,0.382611477915925,0.358559180865116
"brier",4,50,0.92,0.390456016339466,0.352526363325434
"brier",4,50,0.93,0.402050882277109,0.35725495416598
"brier",4,50,0.94,0.413279723151768,0.378494311681188
"brier",4,50,0.95,0.420748542336288,0.373937295997377
"brier",4,50,0.96,0.434432021760715,0.35760969379602
"brier",4,50,0.97,0.463307523146515,0.379998243872449
"brier",4,50,0.98,0.504918177249008,0.476944557854053
"brier",4,50,0.99,0.759316673967951,0.638508094488269
"brier",4,50,0.995,0.983322921056628,0.718629196280809
"brier",5,50,0.9,0.645294394569149,0.640008700206744
"brier",5,50,0.91,0.653690829900805,0.643797491989396
"brier",5,50,0.92,0.660020831107147,0.654261626664477
"brier",5,50,0.93,0.667691979723497,0.658797219459275
"brier",5,50,0.94,0.674786866105134,0.666153263712335
"brier",5,50,0.95,0.67934820936742,0.674834676118974
"brier",5,50,0.96,0.687225375177723,0.670868413730447
"brier",5,50,0.97,0.699580317375339,0.695106930868949
"brier",5,50,0.98,0.720379348312461,0.692082182756566
"brier",5,50,0.99,0.818509161353098,0.787227918644429
"brier",5,50,0.995,0.920418522737288,0.807528077180193
"brier",1,60,0.9,1,1
"brier",1,60,0.91,1,1
"brier",1,60,0.92,1,1
"brier",1,60,0.93,1,1
"brier",1,60,0.94,1,1
"brier",1,60,0.95,1,1
"brier",1,60,0.96,1,1
"brier",1,60,0.97,1,1
"brier",1,60,0.98,1,1
"brier",1,60,0.99,1,1
"brier",1,60,0.995,1,1
