"method","quantile","brier_original","brier_mrts20","brier_prop20","quant_original","quant_mrts20","quant_prop20"
3,0.98,0.00766271132281818,0.00766799557072727,0.0138310943913636,0.577204882603205,0.577247256292935,0.646527998781842
3,0.99,0.00564070828281818,0.00564738600809091,0.00764321185818182,0.315560731089707,0.315644505507727,0.36068500792464
3,0.995,0.00350985296890909,0.00351402150981818,0.00417433012309091,0.168071603165032,0.168105113774038,0.187541320557159
4,0.9,0.0278678799840909,0.0278229521580909,0.0312238751893636,1.79894994248738,1.79881664503721,1.80494278607801
4,0.91,0.0257225318220909,0.0256842013343636,0.0287892094557273,1.68460831797185,1.68454799504644,1.69099888759943
4,0.92,0.0237287861949091,0.023691696941,0.0263811873282727,1.56294510649952,1.56283081842188,1.56947957942567
4,0.93,0.0215655020347273,0.0215244193207273,0.0239986293065455,1.43246332253595,1.43235965850922,1.43920492968043
4,0.94,0.0191765706327273,0.0191624359243636,0.0213107903722727,1.2916388009362,1.29156964566976,1.29856501456336
4,0.95,0.0164279796371818,0.0164756839272727,0.0183324140901818,1.1386927497851,1.1386581331886,1.14565767178516
4,0.96,0.0134721910514545,0.0135243840378182,0.0151900437201818,0.971491902683431,0.971540449091203,0.977903223871779
4,0.97,0.0105905366504545,0.0106650533476364,0.0120152790032727,0.785868466052104,0.786006843768736,0.791558900116603
4,0.98,0.00771454494181818,0.00776321896845455,0.00874232953672727,0.57717638083274,0.577382299909327,0.580997503685123
4,0.99,0.00569249848809091,0.00569646381809091,0.00620756038863636,0.315775712943703,0.316236603642086,0.319201262404066
4,0.995,0.003551886511,0.00355345083409091,0.00380192276272727,0.168242520877015,0.168581045601007,0.170534206912154
5,0.9,0.0290481199383636,0.0298322180368182,0.0544333629674545,1.79995155495358,1.80278560071826,1.91464261696254
5,0.91,0.0268078251987273,0.0275980012692727,0.050285332987,1.68570060530081,1.6887927081073,1.80550672219931
5,0.92,0.0247540156683636,0.025418254313,0.0458838270177273,1.56416013404109,1.56731463613678,1.68628413385411
5,0.93,0.0226213943658182,0.0232478944189091,0.0413109144467273,1.43362404786427,1.43662140890289,1.55558879167682
5,0.94,0.0202903450886364,0.0207256183496364,0.0363080865865455,1.29284817915873,1.29574979335678,1.41191120626064
5,0.95,0.0175033428224545,0.0179639384176364,0.0311330065259091,1.14036776772104,1.14350266619647,1.25300759764246
5,0.96,0.0145342868347273,0.0150306383140909,0.0254293746653636,0.974119424940033,0.978085682527558,1.07607271354531
5,0.97,0.0115836711073636,0.0121478177806364,0.0195522222596364,0.788797172921466,0.797111498357953,0.87524094749454
5,0.98,0.00860063839409091,0.00906021326427273,0.0137075779697273,0.581188166236535,0.583284312906434,0.640770522524592
5,0.99,0.00651126806390909,0.00665015118709091,0.00757840915954545,0.319558028298438,0.340596996660406,0.356514393960952
5,0.995,0.004156081847,0.00406913770172727,0.00413770925809091,0.174009588918771,0.221002111455878,0.184710440534168
