"setting","method_id","method_key","family","baseline_label","proposal_label","prop_k","band","datasets_compared","baseline_brier","prop_brier","delta_brier","improve_brier_pct","baseline_quant","prop_quant","delta_quant","improve_quant_pct"
5,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,"tail",9,0.00529982392020202,0.00854792622615039,0.00324810230594837,-53.2454152203928,0.337606330500431,0.356780784732224,0.0191744542317929,-5.64201932514174
5,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,"bulk",12,0.0285375850416667,0.0414996293434343,0.0129620443017677,-45.9736973060512,1.40412631633308,1.41601895171418,0.0118926353810994,-0.846316461007875
5,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,"tail",6,0.00483750479545455,0.00699123925925926,0.00215373446380471,-39.5018346203261,0.347832957587082,0.368711115042913,0.0208781574558305,-6.84196046560247
5,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,"bulk",18,0.0247828934159091,0.0424415937450898,0.0176587003291807,-71.4117139980163,1.41886106330239,1.43279042371028,0.0139293604078965,-0.994386927388133
5,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,"tail",9,0.00528180901767677,0.00763548584034792,0.00235367682267116,-37.2764719088891,0.338513579029602,0.343825727595727,0.00531214856612491,-1.98000860044421
5,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,"bulk",12,0.0268171360863636,0.038957000993266,0.0121398649069024,-45.532271072833,1.40254059886956,1.41275379641544,0.010213197545879,-0.732391616277835
5,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,"tail",6,0.00489521509090909,0.00639614508417508,0.00150092999326599,-26.1533531683246,0.349572870346368,0.358750641529064,0.00917777118269671,-3.18472330534873
5,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"bulk",18,0.0235335395275253,0.0287515070931538,0.00521796756562851,-21.387358003518,1.41723017877677,1.42274224118374,0.00551206240697588,-0.395843001988645
5,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,"tail",9,0.00446874405505051,0.00513810547699214,0.000669361421941639,-16.0493254407877,0.330158438372487,0.332137913564249,0.00197947519176123,-0.987926753599647
5,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,"bulk",12,0.0250266840670455,0.0307359371759259,0.00570925310888047,-23.3754402924537,1.40138764433343,1.40688341296106,0.00549576862762631,-0.440371716985561
5,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,"tail",6,0.00384150253106061,0.00497238670875421,0.0011308841776936,-31.0351755955747,0.338589709787301,0.345776032795418,0.00718632300811678,-2.48019473924124
5,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"bulk",18,0.0234949253131313,0.0356075795454545,0.0121126542323232,-53.297496599244,1.41783454629223,1.43569408957402,0.0178595432817934,-1.31346841764122
5,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,"tail",9,0.00472085808484848,0.00916324206649832,0.00444238398164983,-92.652418420219,0.333094104923831,0.373696631727664,0.0406025268038333,-13.3860171597848
5,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,"bulk",12,0.0251172532030303,0.0411353523526936,0.0160180991496633,-65.349066049105,1.40200378291367,1.4239648568519,0.0219610739382358,-1.61900929175615
5,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=8)",8,"tail",6,0.00415564867727273,0.00826252313131313,0.0041068744540404,-101.53811499516,0.342313299089181,0.398953779389837,0.0566404803006569,-20.8820421724687
