"setting","dataset","method_id","method_key","family","baseline_label","proposal_label","prop_k","quantile","band","baseline_brier","prop_brier","delta_brier","improve_brier_pct","baseline_quant","prop_quant","delta_quant","improve_quant_pct"
5,2,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,0.97,"other",0.0123868152818182,0.0209849788888889,0.00859816360707071,-69.4138356910142,0.683454888657333,0.70681714579831,0.0233622571409772,-3.41825883883471
5,2,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,0.98,"tail",0.00668440693181818,0.0109472508585859,0.00426284392676768,-63.7729565277703,0.505955109958604,0.531740466874172,0.0257853569155675,-5.09637246626033
5,2,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,0.99,"tail",0.00534898921818182,0.0069071094949495,0.00155812027676768,-29.1292469140048,0.296171968552461,0.327422235124399,0.0312502665719389,-10.5513923970166
5,2,1,"1","gaussian","Gaussian","Gaussian + prop(k=8)",8,0.995,"tail",0.00231204016818182,0.00357396717171717,0.00126192700353535,-54.5806695273694,0.175901457743982,0.203972125739088,0.0280706679951054,-15.9581781499282
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.9,"bulk",0.0407006435954545,0.0661840534848485,0.0254834098893939,-62.6118106207046,1.53475740292136,1.53871669778714,0.00395929486577828,-0.257975290312456
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.91,"bulk",0.0361316838954545,0.0610729584343434,0.0249412745388889,-69.0288186154163,1.43985152237956,1.44508984977438,0.00523832739482089,-0.363810248029173
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.92,"bulk",0.0317916228590909,0.0537458917171717,0.0219542688580808,-69.0567730857531,1.33840852700413,1.34474661223074,0.00633808522661239,-0.473553858835573
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.93,"bulk",0.0300603211318182,0.0494946814646465,0.0194343603328283,-64.6512066441547,1.23059035045644,1.23777554998788,0.00718519953143693,-0.583882323534542
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.94,"bulk",0.0251741179227273,0.0422289478787879,0.0170548299560606,-67.7474778199218,1.11481411995215,1.1227943507751,0.00798023082294486,-0.715835104715696
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.95,"bulk",0.0212688552818182,0.0355888450505051,0.0143199897686869,-67.3284461196574,0.985168866870145,0.99686647884479,0.011697611974645,-1.1873712586765
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.96,"other",0.0177831416727273,0.0301800283333333,0.0123968866606061,-69.7114541893251,0.843730214906969,0.859424552443337,0.0156943375363686,-1.86011325173404
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.97,"other",0.0122163545590909,0.021957881969697,0.00974152741060606,-79.7416885985584,0.682686728236895,0.705516514376508,0.0228297861396128,-3.34410868050313
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.98,"tail",0.00657722472272727,0.0111201594949495,0.00454293477222222,-69.0706941565238,0.504168179614288,0.52827474397923,0.024106564364942,-4.78145296345053
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.99,"tail",0.00484691461818182,0.00647741368686869,0.00163049906868687,-33.6399379219621,0.29420682116057,0.314888794701851,0.0206819735412817,-7.02973964359379
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=4)",4,0.995,"tail",0.00228507789545455,0.00316732196969697,0.000882244074242424,-38.6089277742949,0.17034181343986,0.182995924376509,0.0126541109366493,-7.42865810872499
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.9,"bulk",0.0407006435954545,0.0549986082828283,0.0142979646873737,-35.1295788574963,1.53475740292136,1.54108447924357,0.00632707632221208,-0.4122525364705
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.91,"bulk",0.0361316838954545,0.0498621778787879,0.0137304939833333,-38.0012568001589,1.43985152237956,1.44747377604801,0.00762225366845226,-0.52937775527406
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.92,"bulk",0.0317916228590909,0.045347911010101,0.0135562881510101,-42.641069979646,1.33840852700413,1.34689688586465,0.00848835886052313,-0.634212849758462
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.93,"bulk",0.0300603211318182,0.0425286623737374,0.0124683412419192,-41.4777380030107,1.23059035045644,1.24007181873212,0.00948146827568142,-0.770481279344067
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.94,"bulk",0.0251741179227273,0.0356968134848485,0.0105226955621212,-41.7996594534949,1.11481411995215,1.12427704218335,0.00946292223119838,-0.848834084699656
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.95,"bulk",0.0212688552818182,0.0305607393434343,0.00929188406161616,-43.6877487692503,0.985168866870145,0.996823324181693,0.0116544573115485,-1.18299082558043
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.96,"other",0.0177831416727273,0.0257508369191919,0.00796769524646465,-44.8047673077032,0.843730214906969,0.857930035692841,0.0141998207858723,-1.68298118699448
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.97,"other",0.0122163545590909,0.0185649332828283,0.00634857872373737,-51.9678656429714,0.682686728236895,0.700244995693467,0.0175582674565725,-2.57193625279906
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.98,"tail",0.00657722472272727,0.00874271388888889,0.00216548916616162,-32.9240562311772,0.504168179614288,0.515802120948443,0.0116339413341551,-2.30755168702943
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.99,"tail",0.00484691461818182,0.00492884,8.19253818181822e-05,-1.69025840708773,0.29420682116057,0.300800082217265,0.006593261056695,-2.24102929724277
5,2,2,"2","skew_t_k1_thresh0","Skew-t, K=1","Skew-t, K=1 + prop(k=8)",8,0.995,"tail",0.00228507789545455,0.00315671813131313,0.000871640235858586,-38.1448806446574,0.17034181343986,0.179523693495808,0.00918188005594797,-5.39026787993524
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.9,"bulk",0.0382787059636364,0.0609363476262626,0.0226576416626263,-59.1912424734273,1.53110356680743,1.53600368901447,0.00490012220703528,-0.320038586106408
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.91,"bulk",0.0336143650818182,0.0558669081313131,0.0222525430494949,-66.1995042754243,1.43681518249726,1.44224148575768,0.00542630326042337,-0.377661882093435
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.92,"bulk",0.0297432912818182,0.0490434965151515,0.0193002052333333,-64.8892721738948,1.33573024439144,1.34240157550228,0.00667133111083751,-0.499451976838105
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.93,"bulk",0.0279930653545455,0.0458134984848485,0.017820433130303,-63.660170490794,1.22872646671032,1.23484036338192,0.00611389667160123,-0.497579960816668
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.94,"bulk",0.0235777558772727,0.0389499815656566,0.0153722256883838,-65.1980017453721,1.11288921631675,1.11832275163159,0.00543353531483759,-0.488236855490484
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.95,"bulk",0.0198708342954545,0.0331459421717172,0.0132751078762626,-66.8069980297672,0.98472749298154,0.993202057243634,0.00847456426209392,-0.860599944908087
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.96,"other",0.0165637202136364,0.0278506835353535,0.0112869633217172,-68.1426827798322,0.843242653433579,0.853869707110213,0.0106270536766341,-1.2602604521204
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.97,"other",0.0114595193681818,0.0198748286363636,0.00841530926818182,-73.4350979112399,0.682662504690639,0.695216682825634,0.0125541781349955,-1.83900214948595
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.98,"tail",0.00661879675909091,0.00953978585858586,0.00292098909949495,-44.1317237227896,0.501519972170719,0.514173952427457,0.0126539802567377,-2.5231258890783
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.99,"tail",0.00472603804545455,0.00518605414141414,0.000460016095959596,-9.7336519836533,0.292097939720239,0.303349370896058,0.0112514311758183,-3.85193787624606
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.995,"tail",0.00237330091363636,0.00282913808080808,0.000455837167171717,-19.2068845780405,0.171493295990888,0.183416178444582,0.0119228824536944,-6.9523898207239
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.9,"bulk",0.0382787059636364,0.052377372979798,0.0140986670161616,-36.8316186799913,1.53110356680743,1.54132447270902,0.0102209059015932,-0.667551570198823
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.91,"bulk",0.0336143650818182,0.0473229523737374,0.0137085872919192,-40.7819313515283,1.43681518249726,1.44716571001441,0.0103505275171496,-0.720379882063876
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.92,"bulk",0.0297432912818182,0.0424665502525253,0.0127232589707071,-42.7769033700877,1.33573024439144,1.34594289084084,0.0102126464493959,-0.764574021759069
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.93,"bulk",0.0279930653545455,0.0396723197474747,0.0116792543929293,-41.7219559380368,1.22872646671032,1.23938627350614,0.010659806795823,-0.867549213321874
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.94,"bulk",0.0235777558772727,0.0335254248484848,0.00994766897121212,-42.190906645195,1.11288921631675,1.12317505149022,0.0102858351734723,-0.924246099491786
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.95,"bulk",0.0198708342954545,0.0288584102020202,0.00898757590656566,-45.2299876941834,0.98472749298154,0.994959394310127,0.0102319013285871,-1.03905917134568
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.96,"other",0.0165637202136364,0.0244190174242424,0.00785529721060606,-47.4247156392986,0.843242653433579,0.851238550399477,0.00799589696589853,-0.948232034200386
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.97,"other",0.0114595193681818,0.0177169563131313,0.00625743694494949,-54.6047067412244,0.682662504690639,0.68836964021916,0.0057071355285212,-0.836011277799342
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.98,"tail",0.00661879675909091,0.00864022262626263,0.00202142586717172,-30.5406849726167,0.501519972170719,0.508540296001792,0.00702032383107254,-1.39980942347851
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.99,"tail",0.00472603804545455,0.00487067691919192,0.000144638873737373,-3.060467824132,0.292097939720239,0.301396526090208,0.00929858636996844,-3.18337964960461
5,2,3,"3","t_k1_thresh_q80","t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=8)",8,0.995,"tail",0.00237330091363636,0.00294668914141414,0.000573388227777778,-24.1599463634485,0.171493295990888,0.179589879793638,0.00809658380275066,-4.72122467293466
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.9,"bulk",0.0376443495227273,0.0460579005555556,0.00841355103282829,-22.3501033740767,1.53192298822338,1.53634607778556,0.0044230895621824,-0.288727931898979
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.91,"bulk",0.0328157065409091,0.0405560797979798,0.00774037325707071,-23.5874039384808,1.43605676756938,1.44163180109073,0.00557503352135291,-0.388218185189783
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.92,"bulk",0.0288439188090909,0.0357082609090909,0.0068643421,-23.7982298640937,1.33525478408167,1.34083335710489,0.0055785730232194,-0.417790903258671
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.93,"bulk",0.0266417660727273,0.0330314688888889,0.00638970281616161,-23.9837809502526,1.22792399934591,1.23399432241398,0.00607032306806876,-0.494356578363343
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.94,"bulk",0.0226629737272727,0.028177148030303,0.0055141743030303,-24.3312037042805,1.11141191956711,1.11878518633214,0.00737326676503725,-0.663414404256986
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.95,"bulk",0.0185541156272727,0.0234539479292929,0.0048998323020202,-26.408331178113,0.984554961111179,0.991642556826221,0.00708759571504258,-0.719878117016794
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.96,"other",0.0155845829090909,0.0191664951010101,0.00358191219191919,-22.9836897965987,0.844083632158952,0.850964550655348,0.00688091849639549,-0.815193925606145
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.97,"other",0.0108420264,0.0142654616161616,0.00342343521616162,-31.5756030271391,0.684612515029158,0.689523364668207,0.00491084963904964,-0.717318122476988
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.98,"tail",0.00603440195454545,0.00669353575757576,0.000659133803030304,-10.9229349982861,0.501535046592273,0.502826433376003,0.0012913867837302,-0.25748684812849
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.99,"tail",0.0036415165,0.00388212601010101,0.00024060951010101,-6.60739859618953,0.281094054363055,0.288753430614365,0.0076593762513103,-2.72484463204534
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.995,"tail",0.00148907159090909,0.00207235707070707,0.00058328547979798,-39.1710837382828,0.157127252428809,0.159149882741957,0.00202263031314831,-1.2872562091447
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.9,"bulk",0.0376443495227273,0.045586246969697,0.0079418974469697,-21.0971833692461,1.53192298822338,1.53590743845103,0.00398445022764737,-0.260094682192103
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.91,"bulk",0.0328157065409091,0.0399419374747475,0.00712623093383839,-21.7159149840477,1.43605676756938,1.44193961285273,0.00588284528335348,-0.409652697317152
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.92,"bulk",0.0288439188090909,0.0349327186868687,0.00608879987777778,-21.1094751655546,1.33525478408167,1.34194636671463,0.00669158263296832,-0.50114650123276
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.93,"bulk",0.0266417660727273,0.0327789615151515,0.00613719544242424,-23.0359932808913,1.22792399934591,1.2360097586524,0.00808575930648647,-0.658490208742039
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.94,"bulk",0.0226629737272727,0.0283125199494949,0.00564954622222222,-24.9285300782198,1.11141191956711,1.12117750842699,0.00976558885988643,-0.878665118481915
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.95,"bulk",0.0185541156272727,0.0243518066666667,0.00579769103939394,-31.2474663619747,0.984554961111179,0.995773655512542,0.0112186944013634,-1.13946857661474
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.96,"other",0.0155845829090909,0.0208464766161616,0.00526189370707071,-33.7634554467371,0.844083632158952,0.858174113341992,0.0140904811830398,-1.66932287823185
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.97,"other",0.0108420264,0.0152598364141414,0.00441781001414141,-40.7470877781797,0.684612515029158,0.701399530323319,0.0167870152941618,-2.45204621967024
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.98,"tail",0.00603440195454545,0.00808553141414141,0.00205112945959596,-33.9906004778308,0.501535046592273,0.516117209823208,0.0145821632309343,-2.9075063308166
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.99,"tail",0.0036415165,0.00403782398989899,0.000396307489898991,-10.883034304499,0.281094054363055,0.288438665574796,0.00734461121174174,-2.61286608440874
5,2,4,"4","skew_t_k5_thresh0","Skew-t, K=5","Skew-t, K=5 + prop(k=8)",8,0.995,"tail",0.00148907159090909,0.00217009858585859,0.000681026994949495,-45.7350069068017,0.157127252428809,0.160669475436284,0.003542223007475,-2.2543657785144
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.9,"bulk",0.0369849896227273,0.0486000628282828,0.0116150732055556,-31.4048302406934,1.53089559559696,1.54109347874165,0.0101978831446867,-0.666138381612506
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.91,"bulk",0.0324569290681818,0.043597935050505,0.0111410059823232,-34.3255086114878,1.43572728676219,1.44738437785266,0.0116570910904703,-0.811929340477958
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.92,"bulk",0.0282793823409091,0.037150942979798,0.00887156063888889,-31.3711259034652,1.33449743073302,1.34661696118325,0.012119530450226,-0.908171883371021
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.93,"bulk",0.0264194168363636,0.0358565335353535,0.0094371166989899,-35.7203823136651,1.22667612682162,1.23834976416717,0.0116736373455506,-0.951647879199997
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.94,"bulk",0.0222005879090909,0.0308265175757576,0.00862592966666667,-38.8545100786923,1.11159040328884,1.12316157081016,0.0115711675213255,-1.04095604703766
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.95,"bulk",0.0179161612409091,0.0266330527777778,0.00871689153686869,-48.6537903943668,0.982665643555205,0.995909793564204,0.0132441500089996,-1.34777786278182
5,2,5,"5","t_k5_thresh_q80","t, K=5, q(0.80)","t, K=5, q(0.80) + prop(k=4)",4,0.96,"other",0.0148042881681818,0.0222440650505051,0.00743977688232323,-50.2542020109633,0.84213343390387,0.855922899599824,0.0137894656959542,-1.63744427436285
