setting,method_id,method_key,family,baseline_label,proposal_label,prop_k,quantile,band,datasets_compared,baseline_brier,prop_brier,delta_brier,improve_brier_pct,baseline_quant,prop_quant,delta_quant,improve_quant_pct
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.9,bulk,3,0.030133865,0.057764232,0.027630366,-100.9568633,1.664124074,1.776087748,0.111963675,-6.550363519
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.91,bulk,3,0.027430788,0.052595054,0.025164266,-100.6163204,1.557310177,1.673065376,0.115755199,-7.177584624
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.92,bulk,3,0.024551657,0.046724142,0.022172485,-97.33275172,1.443789949,1.560236017,0.116446068,-7.719560648
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.93,bulk,3,0.021330673,0.041570296,0.020239623,-106.0126612,1.321792154,1.436761285,0.11496913,-8.242328763
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.94,bulk,3,0.017063255,0.036095294,0.019032039,-129.7447424,1.190742186,1.300773846,0.110031661,-8.681222148
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.95,bulk,3,0.013853811,0.030900023,0.017046212,-168.1513302,1.046580681,1.151900039,0.105319358,-9.345690851
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.96,other,3,0.011648897,0.025028924,0.013380026,-148.2051764,0.885922863,0.987616382,0.101693518,-10.49400741
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.97,other,3,0.009385465,0.019124141,0.009738676,-117.2825649,0.706476899,0.803582569,0.09710567,-12.38427754
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.98,tail,3,0.006918582,0.013054982,0.0061364,-96.91894546,0.506014399,0.585951544,0.079937145,-14.0531028
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.99,tail,3,0.004981752,0.007082439,0.002100686,-42.6303669,0.27731281,0.31127146,0.03395865,-11.18748429
4,3,3,t_k1_thresh_q80,"t, K=1, q(0.80)","t, K=1, q(0.80) + prop(k=4)",4,0.995,tail,3,0.003075863,0.004025089,0.000949226,-31.49058257,0.147837617,0.156220905,0.008383288,-5.720235143
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.9,bulk,3,0.030128699,0.03590406,0.00577536,-19.5228466,1.664880013,1.668182876,0.003302863,-0.210208431
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.91,bulk,3,0.027472962,0.032804739,0.005331777,-19.65003756,1.557901161,1.562623528,0.004722368,-0.318203047
4,4,4,skew_t_k5_thresh0,"Skew-t, K=5","Skew-t, K=5 + prop(k=4)",4,0.92,bulk,3,0.024651012,0.029009486,0.004358474,-17.38306997,1.444133681,1.449724498,0.005590817,-0.401316468
