"score","method","prop_k","quantile","mean","median"
"brier",1,40,0.98,0.0197255867634545,0.0197472874818182
"brier",1,40,0.99,0.00972951795163636,0.00996718358181818
"brier",1,40,0.995,0.00488079167981818,0.00498505619545455
"brier",2,40,0.9,0.0307447641349091,0.0317757903181818
"brier",2,40,0.91,0.028490569958,0.0290528258090909
"brier",2,40,0.92,0.0262384170865455,0.0262168680863636
"brier",2,40,0.93,0.0240163628013636,0.023358589875
"brier",2,40,0.94,0.021412495467,0.0208864398863636
"brier",2,40,0.95,0.0184897209300909,0.0188198836477273
"brier",2,40,0.96,0.0153966658145455,0.0155247932840909
"brier",2,40,0.97,0.0122058507707273,0.0117448204090909
"brier",2,40,0.98,0.00876414306563636,0.00957986940227273
"brier",2,40,0.99,0.00612721971063636,0.00590568179545455
"brier",2,40,0.995,0.00374543831709091,0.00352952743863636
"brier",3,40,0.9,0.0546356078199091,0.0545799196204545
"brier",3,40,0.91,0.0502650451411818,0.0506123196409091
"brier",3,40,0.92,0.0456539291645455,0.0455425561454545
"brier",3,40,0.93,0.0409738363084545,0.0405216282727273
"brier",3,40,0.94,0.0359790251511818,0.0362936908704545
"brier",3,40,0.95,0.0307472373809091,0.0304740043159091
"brier",3,40,0.96,0.0251610084156364,0.0249408779636364
"brier",3,40,0.97,0.0193741436135455,0.0192004673113636
"brier",3,40,0.98,0.0135690199874545,0.0133505650590909
"brier",3,40,0.99,0.00755216166790909,0.00726845580227273
"brier",3,40,0.995,0.00420444117281818,0.00406517234318182
"brier",4,40,0.9,0.0324622696711818,0.0309314362863636
"brier",4,40,0.91,0.0300449203875455,0.0288814732409091
"brier",4,40,0.92,0.0275118394700909,0.025478249775
"brier",4,40,0.93,0.0251242742731818,0.0231145546272727
"brier",4,40,0.94,0.0222764357641818,0.0200778249318182
"brier",4,40,0.95,0.019185858764,0.0179128756545455
"brier",4,40,0.96,0.0159102008034545,0.0142903048090909
"brier",4,40,0.97,0.0126879280973636,0.0113055035
"brier",4,40,0.98,0.00938652762836364,0.00912964574772727
"brier",4,40,0.99,0.00684974254909091,0.00594262955
"brier",4,40,0.995,0.00438451066827273,0.00357202066363636
"brier",5,40,0.9,0.0537312350184545,0.0538273299227273
"brier",5,40,0.91,0.0495306338409091,0.0493671606409091
"brier",5,40,0.92,0.0450781225097273,0.0450211846181818
"brier",5,40,0.93,0.0405269269024545,0.0400835169636364
"brier",5,40,0.94,0.0356383091419091,0.0359405843022727
"brier",5,40,0.95,0.0304797869992727,0.0300338151840909
"brier",5,40,0.96,0.024941543169,0.0248441257931818
"brier",5,40,0.97,0.0192220230385455,0.0192798451568182
"brier",5,40,0.98,0.0135011969508182,0.0131934846931818
"brier",5,40,0.99,0.00753963136072727,0.00731442099545455
"brier",5,40,0.995,0.00419278918509091,0.00397022511818182
"brier",1,50,0.9,0.0894036450753636,0.0896798019977273
"brier",1,50,0.91,0.0812594445956364,0.0812189474113636
"brier",1,50,0.92,0.0730385798952727,0.0724738821204546
"brier",1,50,0.93,0.0647250102286364,0.0641450862295455
