"score","method","prop_k","quantile","rel_mean","rel_median"
"brier",5,40,0.9,0.567256009477613,0.563450250781892
"brier",5,40,0.91,0.576980647711088,0.588343279194565
"brier",5,40,0.92,0.586452138805554,0.595595567886362
"brier",5,40,0.93,0.596685575352473,0.601106704850343
"brier",5,40,0.94,0.610996621696557,0.628223626048669
"brier",5,40,0.95,0.6177857273808,0.614696937357068
"brier",5,40,0.96,0.624681926830815,0.633844403982518
"brier",5,40,0.97,0.64636268942294,0.638696647025659
"brier",5,40,0.98,0.666618780257043,0.649165542822575
"brier",5,40,0.99,0.735688649357968,0.684615701002791
"brier",5,40,0.995,0.823266357199446,0.868924544288771
"quant",1,40,0.9,1,1
"quant",1,40,0.91,1,1
"quant",1,40,0.92,1,1
"quant",1,40,0.93,1,1
"quant",1,40,0.94,1,1
"quant",1,40,0.95,1,1
"quant",1,40,0.96,1,1
"quant",1,40,0.97,1,1
"quant",1,40,0.98,1,1
"quant",1,40,0.99,1,1
"quant",1,40,0.995,1,1
"quant",2,40,0.9,1.03794217474299,1.04975076262766
"quant",2,40,0.91,1.0474554661033,1.06174104241784
"quant",2,40,0.92,1.0565436133045,1.07523313229938
"quant",2,40,0.93,1.06379847615508,1.08988170760092
"quant",2,40,0.94,1.06819587232336,1.09444471997497
"quant",2,40,0.95,1.06882129120447,1.09742617461054
"quant",2,40,0.96,1.06354703899502,1.10889446087121
"quant",2,40,0.97,1.0389949537333,1.0679457049197
"quant",2,40,0.98,0.937045333359516,0.879566712851154
"quant",2,40,0.99,0.718775896849207,0.753952732248558
"quant",2,40,0.995,0.527024965547362,0.622666917471505
"quant",3,40,0.9,1.05775931389655,1.07916182303662
"quant",3,40,0.91,1.07075566415434,1.09345600702079
"quant",3,40,0.92,1.08323045165822,1.1067217603016
"quant",3,40,0.93,1.09423060345071,1.12161908532425
"quant",3,40,0.94,1.10171696290616,1.13421691683666
"quant",3,40,0.95,1.10383777559622,1.13790763490038
"quant",3,40,0.96,1.09160744117416,1.11054381576482
"quant",3,40,0.97,1.04756435297771,1.02473645028113
"quant",3,40,0.98,0.94651346541374,0.900122821773784
"quant",3,40,0.99,0.748717899877146,0.777311700632178
"quant",3,40,0.995,0.559448558734439,0.621047931651667
"quant",4,40,0.9,0.986911368051077,0.994623325120383
"quant",4,40,0.91,0.988787427907403,0.990025000706089
"quant",4,40,0.92,0.988928283775487,0.983230827990799
"quant",4,40,0.93,0.985253849042502,0.973013063661994
"quant",4,40,0.94,0.977855876229096,0.956690868439551
"quant",4,40,0.95,0.965411140663635,0.931398713416732
"quant",4,40,0.96,0.945926052062838,0.911063764626738
"quant",4,40,0.97,0.906382515713627,0.884725903884426
"quant",4,40,0.98,0.837681282844882,0.84310489657411
"quant",4,40,0.99,0.668450094688956,0.715124785209364
"quant",4,40,0.995,0.504706478772807,0.57359875698546
"quant",5,40,0.9,1.05644736336728,1.0687222794987
"quant",5,40,0.91,1.06921598846685,1.08425573340789
"quant",5,40,0.92,1.08165721265127,1.10081833502091
"quant",5,40,0.93,1.09217458736751,1.11616874063985
"quant",5,40,0.94,1.09959726309462,1.12688966843977
"quant",5,40,0.95,1.10247369704282,1.13394007008425
"quant",5,40,0.96,1.09235062881905,1.11025782441744
"quant",5,40,0.97,1.04952675041446,1.02633233952017
"quant",5,40,0.98,0.953104245726914,0.902772475401287
"quant",5,40,0.99,0.767944933165149,0.777704403214493
"quant",5,40,0.995,0.578525521307808,0.655728365874109
