"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","model_lane"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",2,2,1.03396216951455,4.54788388120492,0.064591949176565,1.03396216951455,1.03396216951455,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,7.25266802011456,0.00501449715588365,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",2,2,1.02827276856869,7.45772102455279,0.0762347889016128,1.02827276856869,1.02827276856869,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,9.20777060778707,0.00435545609984533,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",2,4,1.02620019586963,9.44901600123373,0.0429655519571019,1.02620019586963,1.02620019586963,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,10.416703891856,0.0215173947415437,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",2,4,1.02201323680274,10.6460092613314,0.0202919948567377,1.02201323680274,1.02201323680274,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,10.9146529849453,0.0527421207707865,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",2,4,1.01978133688178,11.1305594125882,0.0197040486873385,1.01978133688178,1.01978133688178,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,10.7066258618664,0.0639728740380745,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",2,4,1.02052257443443,10.9263533880581,0.0448937420616522,1.02052257443443,1.02052257443443,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,9.75149403596915,0.0451223632388178,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",2,4,1.02369239105227,9.98253024601317,0.0402796801906122,1.02369239105227,1.02369239105227,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"60",3,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,7.94179937205494,0.018979046955661,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",2,13,1.02867079301168,8.16949705799143,0.0335288865383454,1.02867079301168,1.02867079301168,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"140",12,"ozone_prop_us_all_results",FALSE,TRUE,"proposed"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",1,1,1,5.04130951317699,0.0152250584038081,1,1,NA,"lower_better","gaussian",1,0,"yes","no","",NA,1,"ozone_us_all_results",TRUE,FALSE,"gaussian_reference"
