"mrts_k","quantile","n_pairs","n_improved_rel_brier","mean_delta_rel_brier","mean_improve_rel_brier_pct","mean_delta_abs_brier","mean_improve_abs_brier_pct","mean_delta_rel_quant","mean_improve_rel_quant_pct","mean_delta_abs_quant","mean_improve_abs_quant_pct"
15,0.9,3,1,0.00281785861066823,-0.25845265588204,0.000126930107568602,-0.258452655882046,0.0870775377939489,-8.51507868952842,0.438984819664664,-8.51507868952843
15,0.95,3,2,0.000774360629269869,-0.0739042428526296,2.09310696893441e-05,-0.0739042428526257,0.110359096593615,-10.8792581787817,0.33122296700898,-10.8792581787817
15,0.98,3,2,-1.17610591829539e-05,0.000828708139306763,-1.51860394193709e-07,0.000828708139306235,0.144526709637306,-14.361238483903,0.208625595826438,-14.361238483903
15,0.99,3,2,-0.00118585898978781,0.118542083237247,-8.6135232064607e-06,0.118542083237247,0.175490002041011,-17.6566827663858,0.143926150430795,-17.6566827663858
15,0.995,3,3,-0.00207006808668027,0.211824895178657,-8.34276497636236e-06,0.211824895178655,0.208568801634719,-21.6573810625872,0.0977848329675065,-21.6573810625872
800,0,1,0,1758.47847173402,-185053.19620614,0.25144155374442,-185053.19620614,NA,NA,0,NA
800,0.1,1,0,5.84060881622996,-584.841254079286,0.225881559375618,-584.841254079286,34.3132703906192,-3432.65936790853,150.926962244847,-3432.65936790853
800,0.2,1,0,3.14834312117453,-316.13069151745,0.199153406684607,-316.13069151745,28.0862085027681,-2809.98810065039,203.699946214295,-2809.98810065039
800,0.3,1,0,2.26620020627227,-227.131880265622,0.178919861465996,-227.131880265622,21.675675139269,-2168.39096319228,199.584644451302,-2168.39096319228
800,0.4,1,0,1.82431208610547,-182.83087919579,0.162879718448925,-182.83087919579,13.9500391566951,-1395.3218532899,145.31342717509,-1395.3218532899
800,0.5,1,0,1.60048961475596,-160.415747098667,0.151378284455349,-160.415747098667,3.69097372619258,-369.184415331409,40.2856973979427,-369.184415331409
800,0.6,1,0,1.52309644576207,-152.681260056149,0.144058222777834,-152.681260056149,5.86095625425336,-586.109383791916,62.7510658070567,-586.109383791916
800,0.7,1,0,1.66234376578989,-166.789967238071,0.143789109269631,-166.789967238071,14.1179887373095,-1411.73877911307,137.671482971753,-1411.73877911307
800,0.8,1,0,2.08722255441985,-210.04260619249,0.149329225671325,-210.04260619249,20.4359712568945,-2043.9281039281,162.298383695338,-2043.9281039281
800,0.9,1,0,3.64412333056905,-367.262000019527,0.164149104071861,-367.262000019527,25.7657921910622,-2578.13090159241,129.893333287343,-2578.13090159241
800,0.95,1,0,6.44446265854941,-646.415712568364,0.174194673538174,-646.415712568364,28.3176809044291,-2836.16485447742,84.9904228784815,-2836.16485447742
800,0.98,1,0,13.9942456716435,-1406.31430556252,0.180695601567971,-1406.31430556252,29.8083106544252,-2994.22849976094,43.0285625851802,-2994.22849976094
800,0.99,1,0,25.0205150993066,-2531.44062168786,0.181737280150012,-2531.44062168786,29.8776135770926,-3011.55999254041,24.5037885702734,-3011.55999254041
800,0.995,1,0,44.9218607579023,-4527.89322229197,0.181043574854135,-4527.89322229197,28.9713887892362,-2936.85854532469,13.5828675784105,-2936.85854532469
