"setting","metric","quantile","target_type","target_level","threshold_value","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
2,"brier",0.98,"threshold_quantile",0.98,88.5,0.0147902457739024,0.00053843522765472,1.14545307748468,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.99,"threshold_quantile",0.99,94.75,0.00830351372232075,0.000562769737898723,1.14317871542446,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"brier",0.995,"threshold_quantile",0.995,100.52,0.00456167816408734,3.22230952275312e-05,1.13187707144314,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0,"score_quantile",0,NA,49.0504301906725,0.344356672710052,Inf,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.1,"score_quantile",0.1,NA,44.300952501229,0.302484224619089,10.0718290431804,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.2,"score_quantile",0.2,NA,39.5514748117856,0.260611776528133,5.45336898119334,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.3,"score_quantile",0.3,NA,34.8010525338111,0.217794739906111,3.77953079156638,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.4,"score_quantile",0.4,NA,30.048727808688,0.173075256135492,2.88466756093361,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.5,"score_quantile",0.5,NA,25.2960167192958,0.13020150345351,2.31761987799216,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.6,"score_quantile",0.6,NA,20.5258988124366,0.0949900745108518,1.91712114322994,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.7,"score_quantile",0.7,NA,15.735165655108,0.0641476442821842,1.61361588255785,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.8,"score_quantile",0.8,NA,10.9014169419425,0.0411012017815233,1.37266335136867,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.9,"score_quantile",0.9,NA,5.92970963270896,0.0250739318942896,1.17622407773414,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.95,"score_quantile",0.95,NA,3.2787672178682,0.0084607502109888,1.09244172097186,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.98,"score_quantile",0.98,NA,1.50965863480276,0.0115341805375592,1.04582562987673,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.99,"score_quantile",0.99,NA,0.838234287997099,0.0156376767680501,1.02206399928822,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
2,"quantile",0.995,"score_quantile",0.995,NA,0.463562409085353,0.0131321015191574,0.988749003416136,"max-stable",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0,"threshold_quantile",0,2,0.000136840590417875,8.10845747472904e-05,0.957006623311741,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.1,"threshold_quantile",0.1,28.875,0.0386130980797764,0.00102742628464799,0.998417054008693,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.2,"threshold_quantile",0.2,36,0.06297777102021,0.00174480447366347,0.995592470544007,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.3,"threshold_quantile",0.3,41.625,0.0787512318175602,0.00156073509083351,0.99746364840031,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.4,"threshold_quantile",0.4,46.5,0.089081672896555,0.000525419569894978,0.997747135513616,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.5,"threshold_quantile",0.5,50.875,0.0943852022050683,0.000730127937467351,0.997914175466898,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.6,"threshold_quantile",0.6,55.429,0.0943831691929802,0.000212268181060529,0.997892843362967,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.7,"threshold_quantile",0.7,60.125,0.0862084532251131,1.41239625171541e-05,0.996654652811205,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.8,"threshold_quantile",0.8,65.5,0.0710999593385458,0.00155595278023961,0.993786970250417,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
3,"brier",0.9,"threshold_quantile",0.9,73.25,0.0447061506777583,0.0013408806702564,0.992480145571999,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
