"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"above_threshold",0.95,79.75,0.378693822315892,0.0122312050926932,0.995926325734642,1198,599,0.0499478840942256,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.012833006120031,0.000698438771527216,0.993871675851858,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00228132218398942,0.000220697739356122,1.03027726496542,23508,11754,0.980112570356473,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.532667466126386,0.00514121986551663,0.98649014327747,477,238.5,0.0198874296435272,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00716202997168336,0.000581918980602258,0.986025976069817,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.000794665919569593,9.72290071116809e-05,1.05625763750068,23746,11873,0.990035438815927,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.639044118087432,0.035146331420765,0.977991981651708,239,119.5,0.00996456118407338,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00399145806710186,4.93266042361443e-05,0.990389875232073,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000254242577512097,4.94246523727467e-06,1.09788118399356,23865,11932.5,0.994996873045654,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.748344437363738,0.0335322709121246,0.983788122750378,120,60,0.00500312695434647,"lower_better",3,"skew-t",1,0,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.04497923967697,0.0012467169029432,0.998542743348431,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.9,73.25,0.0194500290808322,0.00072899080023079,1.07633058519652,21603,10801.5,0.900687929956223,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0.276580268927364,0.00171064778543889,0.954338636967767,2382,1191,0.0993120700437774,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0269937780348728,0.00209924515832036,0.998655073806182,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00961663875747023,0.000486575166290667,1.14053385610864,22787,11393.5,0.950052115905774,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.356770211793652,0.0152564258534064,0.938269454701668,1198,599,0.0499478840942256,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.0127191685494234,0.000751979768894927,0.985055352067979,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00289046293324186,0.000155898255753969,1.3053738162212,23508,11754,0.980112570356473,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.496661775478613,0.0123455092177434,0.919808280418028,477,238.5,0.0198874296435272,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00702447491398375,0.000662543544474707,0.967088208346441,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.00110283023088206,0.000106350180377005,1.46586486918518,23746,11873,0.990035438815927,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.594449008929522,0.0432874051688384,0.90974370591787,239,119.5,0.00996456118407338,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00392753665466667,9.57402422302274e-05,0.974529225158324,23985,11992.5,1,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000417942386676785,6.42760829387738e-06,1.80477670898365,23865,11932.5,0.994996873045654,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.703258603759733,0.0410225927919911,0.924517410776928,120,60,0.00500312695434647,"lower_better",4,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.0490600013015867,0.000279944283998926,1.08913598006964,23985,11992.5,1,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.9,73.25,0.0151239548617196,0.00036799294014369,0.836933205557134,21603,10801.5,0.900687929956223,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.9,73.25,0.356939936406972,0.00401693030583042,1.23161921026063,2382,1191,0.0993120700437774,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.95,79.75,0.0274888219991685,0.00108570778394799,1.01696959673299,23985,11992.5,1,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.95,79.75,0.00908400113829226,9.45747574732153e-05,1.0773630068098,22787,11393.5,0.950052115905774,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.95,79.75,0.377494251060489,0.00134838715890706,0.992771575056259,1198,599,0.0499478840942256,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.98,88.5,0.0128013332378803,0.000619954506530788,0.991418721324465,23985,11992.5,1,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.98,88.5,0.00348975189563792,0.000199397025237646,1.5760211616223,23508,11754,0.980112570356473,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.98,88.5,0.471543342152438,0.00448945136982926,0.873289413645406,477,238.5,0.0198874296435272,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.99,94.75,0.00698942508975968,0.000703806431761844,0.962262755607726,23985,11992.5,1,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.99,94.75,0.00155823916176939,0.00017963538399161,2.07118736960938,23746,11873,0.990035438815927,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.99,94.75,0.545730639679137,0.0411942793372566,0.83518520027256,239,119.5,0.00996456118407338,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.995,100.52,0.00388544895669488,0.000144758480742558,0.964086116589391,23985,11992.5,1,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"below_threshold",0.995,100.52,0.000725848862453827,2.79964921144886e-05,3.13439163616593,23865,11932.5,0.994996873045654,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"above_threshold",0.995,100.52,0.633715510144605,0.0442284843381535,0.833094710076573,120,60,0.00500312695434647,"lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"all",0.9,73.25,0.0590772940534533,0.0012969324530532,1.31152068592972,23985,11992.5,1,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"below_threshold",0.9,73.25,0.0121048031186124,0.00189493504576353,0.669858629526908,21603,10801.5,0.900687929956223,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"above_threshold",0.9,73.25,0.484540131340647,0.0161838712368408,1.6719029535012,2382,1191,0.0993120700437774,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"all",0.95,79.75,0.0308516517752949,0.00112347004986357,1.14138000767794,23985,11992.5,1,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"below_threshold",0.95,79.75,0.00696833752780134,0.000891059623056203,0.826445192721425,22787,11393.5,0.950052115905774,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"above_threshold",0.95,79.75,0.484304203287725,0.0153555116884278,1.27367091115589,1198,599,0.0499478840942256,"lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
