"event_quantile","event_threshold_value","probability_cutoff","n_obs_total","n_obs_mean_per_fold","actual_positive_share","predicted_positive_share","tp_total","tn_total","fp_total","fn_total","tp_mean_per_fold","tn_mean_per_fold","fp_mean_per_fold","fn_mean_per_fold","accuracy_mean","accuracy_se","accuracy_rel_to_gaussian","accuracy_delta_to_gaussian","precision_mean","precision_se","precision_rel_to_gaussian","precision_delta_to_gaussian","recall_mean","recall_se","recall_rel_to_gaussian","recall_delta_to_gaussian","specificity_mean","specificity_se","specificity_rel_to_gaussian","specificity_delta_to_gaussian","f1_mean","f1_se","f1_rel_to_gaussian","f1_delta_to_gaussian","accuracy_direction","precision_direction","recall_direction","specificity_direction","f1_direction","count_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
0.9,73.25,0.5,23985,11992.5,0.0993131791456373,0.0629983571969068,1157,21249,354,1225,578.5,10624.5,177,612.5,0.934167037755435,0.000399937321667765,0.99631008697695,-0.00345976133673054,0.765365733922435,0.0129847815414826,1.01815885375995,0.0136502908007419,0.485516378127875,0.00714267570572993,0.873841187436821,-0.0700953109388847,0.983614860686443,0.000402979863640684,1.00392472569666,0.00384532666696624,0.594136165262553,0.00926043813404997,0.929883970931378,-0.0447996416074832,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.95,79.75,0.5,23985,11992.5,0.0499488298000426,0.0318120696340251,539,22563,224,659,269.5,11281.5,112,329.5,0.96318477141808,0.00147305970636807,0.999394715356001,-0.000583354046719942,0.706098988091141,0.00746885110483925,0.976215321777981,-0.0172035173490759,0.449832495578386,0.00167783828488885,1.00891441534595,0.00397456279809227,0.990169211999644,0.000205306726292376,0.999160891331241,-0.000831557336296251,0.549552864937897,0.00351432104068095,0.996206038531357,-0.00209292286325657,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.98,88.5,0.5,23985,11992.5,0.0198876984010767,0.0096728699191815,157,23433,75,320,78.5,11716.5,37.5,160,0.983530855186269,0.00138203970412021,0.999957531399168,-4.17709532488653e-05,0.678542178542179,0.0421785421785422,0.927519776334006,-0.0530240865180625,0.32978348882239,0.0180425981341313,1.18220539517274,0.0508273191339553,0.996808981204461,0.000556532520362585,0.998934310634329,-0.00106342200840037,0.44384323600663,0.0253649751370649,1.09962037696836,0.040210086509802,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.99,94.75,0.5,23985,11992.5,0.00996464080985211,0.00362734577538278,60,23719,27,179,30,11859.5,13.5,89.5,0.99141107849535,0.000586921004525398,1.00033641832558,0.000333416687505195,0.693266171792153,0.062831389183457,0.963924882697308,-0.0259456508679459,0.251331091495026,0.013626173462239,1.46368829049368,0.0796202886366821,0.998862792200901,0.000295456957348061,0.999536277672211,-0.00046340987264637,0.368821579264617,0.023583484026522,1.33067423161369,0.0916526294929277,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.995,100.52,0.5,23985,11992.5,0.00500306508058446,0.00166767793049363,25,23850,15,95,12.5,11925,7.5,47.5,0.995413799646108,1.72090069566755e-06,0.999916237371409,-8.33854609799678e-05,0.62280701754386,0.043859649122807,0.769349845201238,-0.18671679197995,0.207730812013348,0.0180756395995551,1.57594936708861,0.0759176863181312,0.999371455681112,4.20340549588949e-05,0.999538970335473,-0.000460952399680914,0.311531841652324,0.0258175559380379,1.39786981346578,0.0886699995470604,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
0.9,73.25,0.5,23985,11992.5,0.0993131791456373,0.0423589693719726,765,21352,251,1617,382.5,10676,125.5,808.5,0.922117572686465,0.00111323501546057,0.983459062368186,-0.0155092264057005,0.754823479122545,0.0351973108982455,1.00413459112659,0.00310803600085152,0.321498021528926,0.0115469611700356,0.578637972986016,-0.234113667537834,0.988389382670265,0.00222574462949365,1.00879783291018,0.00861984865078802,0.450288702344713,0.00506316045836239,0.704747953555065,-0.188647104525324,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
0.95,79.75,0.5,23985,11992.5,0.0499488298000426,0.0225553135030504,389,22635,152,809,194.5,11317.5,76,404.5,0.959933082620004,0.000557039910628332,0.996020782651485,-0.0038350428447953,0.722005208333333,0.0553385416666667,0.99820642525482,-0.0012972971068832,0.325147177571451,0.0087719788433114,0.729261842542285,-0.120710755208843,0.993334518495447,0.00164743414122903,1.00235494182418,0.00233374915950657,0.447341192659337,0.00237632146495717,0.81092107028031,-0.104304595141817,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
0.98,88.5,0.5,23985,11992.5,0.0198876984010767,0.00775500431664473,132,23454,54,345,66,11727,27,172.5,0.98336417813162,0.00113194589938775,0.999788070547758,-0.000208448007897877,0.711734693877551,0.038265306122449,0.972891627006534,-0.01983157118269,0.277081499735962,0.00987502200316845,0.993279697113109,-0.00187466995247315,0.997702436356398,0.0004279282225087,0.999829670751575,-0.000169966856462977,0.398851517637408,0.0162428219852338,0.988153520429674,-0.00478163185942049,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
0.99,94.75,0.5,23985,11992.5,0.00996464080985211,0.00337722068154676,59,23724,22,180,29.5,11862,11,90,0.991578037151931,8.65456604391412e-05,1.00050488005468,0.000500375344086312,0.728501228501228,0.00122850122850121,1.01291609168321,0.00928940584112992,0.246532156368222,0.0157629255989912,1.43574051407589,0.0748213535098781,0.999073478194496,8.47709637529226e-05,0.999747105721308,-0.000252723879051175,0.368095759662025,0.0174464090126741,1.32805554144948,0.0909268098903353,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
0.995,100.52,0.5,23985,11992.5,0.00500306508058446,0.00145926121169932,23,23853,12,97,11.5,11926.5,6,48.5,0.995455445442942,0.000126783447613632,0.999958071539759,-4.17396641453349e-05,0.660130718954248,0.104575163398693,0.815455594002307,-0.149393090569561,0.191045606229144,0.0186318131256952,1.4493670886076,0.0592324805339266,0.999497136451954,0.000167714825800969,0.999664672172927,-0.00033527162883884,0.296135909393738,0.0329780146568954,1.32878695875566,0.0732740672884744,"higher_better","higher_better","higher_better","higher_better","higher_better","tp_tn_higher_better; fp_fn_lower_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
