"uncertainty_family","summary_draws_used","n_obs_total","pit_mean","pit_mean_se","pit_mean_target","pit_mean_gap","pit_variance","pit_variance_se","pit_variance_target","pit_variance_gap","pit_ks_stat","pit_ks_se","pit_uniformity_mae","pit_uniformity_mae_se","pit_uniformity_rmse","pit_uniformity_rmse_se","coverage_direction","pit_direction","coverage_80_target","coverage_80_mean","coverage_80_se","coverage_80_gap","coverage_90_target","coverage_90_mean","coverage_90_se","coverage_90_gap","coverage_95_target","coverage_95_mean","coverage_95_se","coverage_95_gap","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"coverage_pit",400,23985,0.466241544667323,0.00149431619353788,0.5,-0.033758455332677,0.094613433911111,0.00222289817628032,0.0833333333333333,0.0112801005777777,0.0698755629222621,0.00884703439373356,0.0135720228856013,0.00167012098369938,0.0222053337409372,0.00366834499305043,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.737590804107433,0.0128262796429838,-0.0624091958925668,0.9,0.841946879362483,0.0106557232401193,-0.0580531206375168,0.95,0.902442984369716,0.0105533452932803,-0.0475570156302838,21,"t",5,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.577192939063094,0.0235951746319963,0.5,0.0771929390630941,0.0867270397693829,0.00686449822344987,0.0833333333333333,0.0033937064360496,0.126036702493942,0.0288545203117596,0.0247801677646639,0.00529735161518107,0.0301058419422086,0.00538252442267923,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.754548027647552,0.0183952081613997,-0.0454519723524476,0.9,0.865535265197681,0.0151849148473305,-0.0344647348023192,0.95,0.927032746675157,0.0132856662614102,-0.0229672533248426,22,"t",5,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.47156617482699,0.0114218638493457,0.5,-0.02843382517301,0.0952585195792263,0.00112003410813194,0.0833333333333333,0.011925186245893,0.0692655521237667,0.0088075209493064,0.0147036258564141,0.00071846289900803,0.0220961617548256,0.000937823729649271,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.734126568428894,0.00286041855809294,-0.065873431571106,0.9,0.844862554477458,0.00315212687055649,-0.0551374455225419,0.95,0.908403370862736,0.00609446030176208,-0.0415966291372643,23,"t",10,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.580819059713627,0.000539196517097218,0.5,0.0808190597136271,0.0901509390287931,0.00289360598321788,0.0833333333333333,0.00681760569545976,0.13530912288883,0.00186805428834685,0.0264958419284501,0.000307628208353389,0.0327228632385491,0.00151405388544368,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.739289114070309,0.0167332248477535,-0.0607108859296908,0.9,0.862408044453556,0.0158948646070426,-0.0375919555464442,0.95,0.925782152495081,0.0127858228320843,-0.0242178475049193,24,"t",10,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.503023841076636,0.00853646923367479,0.5,0.00302384107663556,0.0929442078630288,0.00348745038445654,0.0833333333333333,0.00961087452969547,0.0404712085804233,0.00784024428279244,0.0111959558958809,0.00277753747746246,0.0137032425627061,0.00411845833175633,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.753184980429292,0.0157506218396441,-0.0468150195707084,0.9,0.866548249925344,0.0177527177089568,-0.0334517500746557,0.95,0.924499518272962,0.0134384196649763,-0.0255004817270383,25,"t",15,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.650947872494275,0.0658642472023161,0.5,0.150947872494275,0.0766459403175335,0.0164371891073138,0.0833333333333333,-0.00668739301579979,0.234381186012219,0.0905281663258658,0.0461262312575141,0.018038143169426,0.0595124435203647,0.0228156753756755,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.700152797208311,0.0183156712601574,-0.099847202791689,0.9,0.834441812405053,0.00965228168904086,-0.0655581875949468,0.95,0.908026962946943,0.0029673647140514,-0.0419730370530571,26,"t",15,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.499086939840566,0.0183053248922841,0.5,-0.000913060159434265,0.0708117620374241,0.00056479704891399,0.0833333333333333,-0.0125215712959092,0.0660156696456397,0.00101817214814215,0.0174315162874803,0.000564649420613416,0.0193149214310621,0.000714864069291818,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.841900540200115,0.00172703335994157,0.0419005402001151,0.9,0.913028432283246,0.00145018737166774,0.013028432283246,0.95,0.945548793354495,0.00135459916030062,-0.00445120664550513,27,"skew-t",2,0,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.582635170413599,0.00615973664649899,0.5,0.0826351704135995,0.0692764506383881,6.55526226006481e-05,0.0833333333333333,-0.0140568826949452,0.140663380309542,0.0104248084043033,0.0271202247508824,0.002378816676141,0.0310828869573533,0.00209274467408411,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.837649696458149,0.0031077276326088,0.0376496964581485,0.9,0.925704117470809,0.00147305970636802,0.0257041174708091,0.95,0.964977637051906,0.00126392333819192,0.0149776370519057,28,"skew-t",2,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.499036054840787,0.0186360715241373,0.5,-0.00096394515921272,0.0708974935060667,0.000598346327085636,0.0833333333333333,-0.0124358398272667,0.0665242724595063,0.000591673193573658,0.0175816163750647,0.000547916008031044,0.0193072428651313,0.000610394788055836,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.84102475819155,0.00235275285287789,0.0410247581915499,0.9,0.912528213384677,0.00120021872334952,0.0125282133846775,0.95,0.947133336136837,0.000770306440473989,-0.00286666386316292,29,"skew-t",3,0,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"coverage_pit",400,23985,0.586431277332596,0.00786813085278326,0.5,0.0864312773325964,0.0684711894198904,0.000780459257686515,0.0833333333333333,-0.0148621439134429,0.145876771995802,0.0122915200772165,0.0281558289972894,0.00249350000162703,0.0321916333675427,0.00271748888850038,"closer_to_target_better","pit_mean_to_0.5; pit_variance_to_1_over_12; ks_mae_rmse_lower_better",0.8,0.837148225995438,2.22778417326985e-05,0.0371482259954378,0.9,0.924869449344318,0.000695275170143894,0.024869449344318,0.95,0.962434490003882,0.000973028542420873,0.0124344900038824,30,"skew-t",3,75,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
