"pair_id","quantile","method","knots","thresh","baseline_setting","mrts_setting","mrts_k","baseline_rel_brier","mrts_rel_brier","delta_rel_brier","improve_rel_brier_pct","baseline_abs_brier","mrts_abs_brier","delta_abs_brier","improve_abs_brier_pct","baseline_rel_quant","mrts_rel_quant","delta_rel_quant","improve_rel_quant_pct","baseline_abs_quant","mrts_abs_quant","delta_abs_quant","improve_abs_quant_pct"
5,0.1,"skew-t",1,50,52,205,10,1.69271209177935,1.59809205990847,-0.0946200318708794,5.58984793281746,0.0654644847644306,0.0618051196160965,-0.00365936514833412,5.58984793281745,1.09505990090534,1.10492120930365,0.00986130839831345,-0.900526846993542,4.81662232828061,4.85999730546506,0.0433749771844525,-0.900526846993545
5,0.2,"skew-t",1,50,52,205,10,1.38133004704119,1.3383182118353,-0.0430118352058839,3.11379856667966,0.0873782094378049,0.0846574280047402,-0.00272078143306471,3.11379856667965,1.03781210506422,1.04807036544285,0.0102582603786285,-0.98845063847022,7.52690666528705,7.60130642227714,0.0743997569900863,-0.988450638470205
5,0.3,"skew-t",1,50,52,205,10,1.20234751315586,1.18359832906026,-0.0187491840955945,1.55938145090703,0.0949271162770272,0.0934468404339223,-0.00148027584310492,1.55938145090704,1.02044442298802,1.02672376622316,0.00627934323514445,-0.615353770738202,9.39601816486929,9.45383691694606,0.0578187520767699,-0.615353770738205
5,0.4,"skew-t",1,50,52,205,10,1.08484271143181,1.0763435401727,-0.00849917125910915,0.783447330156428,0.096857811086807,0.0960989811517995,-0.000758829935007532,0.783447330156414,1.01201752310971,1.01485812854827,0.00284060543855991,-0.280687376818472,10.5418868716034,10.5714766173305,0.0295897457270762,-0.280687376818489
5,0.5,"skew-t",1,50,52,205,10,1.02141901824232,1.01587053206322,-0.00554848617910064,0.543213517665708,0.0966083486365923,0.0960835590276048,-0.00052478960898758,0.543213517665704,1.00723366085067,1.00783425244929,0.00060059159861936,-0.0596278323454879,10.9936058829412,11.0001611318258,0.00655524888460413,-0.0596278323454901
5,0.6,"skew-t",1,50,52,205,10,1.00494113084247,1.00121127181442,-0.00372985902804901,0.371151992248755,0.0950498136269227,0.0946970343500177,-0.000352779276905052,0.371151992248755,1.00392994242712,1.00308547893757,-0.000844463489547698,0.0841157787869251,10.7487022850922,10.7396609304556,-0.00904135463659195,0.0841157787869121
5,0.7,"skew-t",1,50,52,205,10,1.00018497090302,0.998748894293809,-0.0014360766092113,0.143581102594927,0.0865138180385212,0.0863896005446845,-0.000124217493836676,0.143581102594925,1.00233007333454,1.00072165399242,-0.00160841934211642,0.160468031929397,9.77421573219429,9.75853124057231,-0.015684491621986,0.160468031929401
5,0.8,"skew-t",1,50,52,205,10,1.00005428308294,0.998302500150457,-0.00175178293248546,0.175168784546885,0.0715483508961875,0.0714230205195593,-0.000125330376628194,0.175168784546888,1.00121530627107,1.00013347544804,-0.00108183082303115,0.108051766313913,7.95145109063538,7.94285940728436,-0.00859168335101845,0.108051766313913
5,0.9,"skew-t",1,50,52,205,10,0.998753062533839,0.9971527050321,-0.00160035750173881,0.160235553889437,0.0449887134797814,0.0449166255655493,-7.20879142320635e-05,0.160235553889446,1.00121060384522,0.999849660828258,-0.00136094301695744,0.135929744624223,5.04741254185856,5.04055160688028,-0.00686093497827933,0.135929744624223
5,0.95,"skew-t",1,50,52,205,10,0.998690250354236,0.995666550929652,-0.00302369942458403,0.302766490762428,0.0269947288615948,0.0269129978683297,-8.17309932650834e-05,0.30276649076243,0.999734077181074,0.997845586720565,-0.00188849046050898,0.188899278679578,3.00052190970053,2.99485394545648,-0.00566796424404714,0.188899278679583
