"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.100229105074066,0.000546088724383297,0.000229105074066344,2404,1202,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.115487330291031,0.00404255217958644,0.0154873302910311,2770,1385,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.129372308041975,0.000576845913179996,0.0293723080419755,3103,1551.5,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.14367255477533,0.00153041263318833,0.0436725547753305,3446,1723,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.139503500750062,0.000948278861507168,0.0395035007500624,3346,1673,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.118033887851342,0.00475556827144724,0.0180338878513422,2831,1415.5,400,23985,"closer_to_expected_share_better",5,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0332659178308091,0.0129956475605388,-0.066734082169191,798,399,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0477768340984145,0.00807046105870812,-0.0522231659015855,1146,573,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0636220116090084,0.00289461754828097,-0.0363779883909917,1526,763,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.0782583658927745,0.00298954868847342,-0.0217416341072255,1877,938.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.0899327684774046,0.00416132561668946,-0.0100672315225953,2157,1078.5,400,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,FALSE,FALSE,"other_numeric"
