"metric","quantile","target_type","target_level","threshold_value","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_score","proposed_rel_score","delta_rel_score","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_is_prop","proposed_lane"
"brier",0.1,"threshold_quantile",0.1,28.875,54,104,0.967135774414172,0.962989116385658,-0.00414665802851388,0.967135774414172,0.962989116385658,-0.00414665802851388,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.2,"threshold_quantile",0.2,36,54,104,0.963937163979757,0.962317488077366,-0.00161967590239043,0.963937163979757,0.962317488077366,-0.00161967590239043,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.3,"threshold_quantile",0.3,41.625,54,104,0.970133895524215,0.969679371402454,-0.000454524121761168,0.970133895524215,0.969679371402454,-0.000454524121761168,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.4,"threshold_quantile",0.4,46.5,54,104,0.976433004334913,0.974331135384171,-0.00210186895074194,0.976433004334913,0.974331135384171,-0.00210186895074194,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.5,"threshold_quantile",0.5,50.875,54,104,0.983305686750503,0.982064831842479,-0.00124085490802406,0.983305686750503,0.982064831842479,-0.00124085490802406,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.6,"threshold_quantile",0.6,55.429,54,104,0.989791157214233,0.988394181178241,-0.00139697603599243,0.989791157214233,0.988394181178241,-0.00139697603599243,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.7,"threshold_quantile",0.7,60.125,54,104,0.990323288270798,0.990318929549491,-4.35872130732928e-06,0.990323288270798,0.990318929549491,-4.35872130732928e-06,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.8,"threshold_quantile",0.8,65.5,54,104,0.997821269141022,0.994313524962048,-0.00350774417897404,0.997821269141022,0.994313524962048,-0.00350774417897404,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.9,"threshold_quantile",0.9,73.25,54,104,0.997162491336309,0.997039603414571,-0.000122887921738091,0.997162491336309,0.997039603414571,-0.000122887921738091,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
"brier",0.95,"threshold_quantile",0.95,79.75,54,104,0.997760353534153,0.999689892761971,0.00192953922781858,0.997760353534153,0.999689892761971,0.00192953922781858,NA,NA,NA,"skew-t",5,0,"yes","yes",TRUE,FALSE,FALSE,"ar2"
