"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","is_ar2","is_mrts","is_prop","model_lane"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.126203723102948,0.000411263977155449,0.0262037231029479,3027,1513.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.145967328919317,0.00293156997958198,0.0459673289193169,3501,1750.5,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.161853682890192,0.00673156902839324,0.0618536828901921,3882,1941,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",10,0.9,1,0.95,0.1,0.146842015809258,0.000638798338223195,0.0468420158092576,3522,1761,5000,23985,"closer_to_expected_share_better",6,"skew-t",1,85,"yes","no","",FALSE,FALSE,NA,6,"ozone_us_all_results",FALSE,FALSE,FALSE,"other_numeric"
"pit_histogram",1,0,0.1,0.05,0.1,0.0861834890654596,0.0123316927830556,-0.0138165109345404,2067,1033.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0903504467207893,0.00616273312572387,-0.00964955327921069,2167,1083.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.101691151015982,0.00691745759262638,0.00169115101598219,2439,1219.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.111028664323238,0.00250153254029223,0.011028664323238,2663,1331.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.114696873667866,0.000501658197332118,0.0146968736678664,2751,1375.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.110735391555597,0.00129261544615383,0.0107353915555965,2656,1328,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.107150223491809,0.00020994988486861,0.00715022349180891,2570,1285,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0996850188523107,0.00609142525871708,-0.000314981147689297,2391,1195.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0893034194484557,0.00638716986553946,-0.0106965805515443,2142,1071,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",10,0.9,1,0.95,0.1,0.0891753218584926,0.0144339137837512,-0.0108246781415073,2139,1069.5,5000,23985,"closer_to_expected_share_better",7,"skew-t",5,0,"yes","no","",TRUE,FALSE,NA,7,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",1,0,0.1,0.05,0.1,0.0801807684153271,0.0150811601799349,-0.0198192315846729,1923,961.5,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0826395600401602,0.0122052848046847,-0.0173604399598398,1982,991,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0952704392314295,0.00683166287067263,-0.00472956076857056,2285,1142.5,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.102107077069568,0.00424927928678866,0.00210707706956773,2449,1224.5,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.109944622041396,0.00241774032096612,0.00994462204139626,2637,1318.5,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.11402972740182,0.00033463696254394,0.0140297274018203,2735,1367.5,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.111985359953602,0.00346016809507682,0.011985359953602,2686,1343,5000,23985,"closer_to_expected_share_better",8,"skew-t",5,50,"yes","no","",TRUE,FALSE,NA,8,"ozone_us_all_results",FALSE,FALSE,FALSE,"morris_baseline"
