"band_type","event_quantile","event_threshold_value","score_mean","score_se","rel_to_gaussian","n_obs_total","n_obs_mean_per_fold","obs_share","score_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"below_threshold",0.95,79.75,0.00945322076841429,0.00100719174121119,1.12115247411894,22787,11393.5,0.950052115905774,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"above_threshold",0.95,79.75,0.491050335792635,0.0259832380070467,1.29141255509781,1198,599,0.0499478840942256,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"all",0.98,88.5,0.015713654136661,0.000891305312788407,1.21696784249037,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"below_threshold",0.98,88.5,0.0019078983617436,0.000174968928134876,0.861633801557914,23508,11754,0.980112570356473,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"above_threshold",0.98,88.5,0.695061738810773,0.0284764368977293,1.28724128637403,477,238.5,0.0198874296435272,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"all",0.99,94.75,0.00863990065749545,0.000758270003165206,1.18949048141876,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"below_threshold",0.99,94.75,0.000511084437730584,2.05298821750285e-05,0.679325522167925,23746,11873,0.990035438815927,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"above_threshold",0.99,94.75,0.815069958336836,0.0567098314992294,1.24738161447181,239,119.5,0.00996456118407338,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"all",0.995,100.52,0.00463131233334485,9.21861417969606e-05,1.14915521267459,23985,11992.5,1,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"below_threshold",0.995,100.52,0.000134051131021589,2.75236604463055e-06,0.578865333579523,23865,11932.5,0.994996873045654,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"above_threshold",0.995,100.52,0.900602556351502,0.0475566505450501,1.18394960130717,120,60,0.00500312695434647,"lower_better",3,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"40",2,"ozone_prop_us_all_results","proposed"
"all",0.9,73.25,0.0532238467362849,0.000130983310428458,1.18157368406603,23985,11992.5,1,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"below_threshold",0.9,73.25,0.0258256792684959,0.00135016459092667,1.42914791359111,21603,10801.5,0.900687929956223,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"above_threshold",0.9,73.25,0.301502451143647,0.00535906079762582,1.04033248424686,2382,1191,0.0993120700437774,"lower_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
