"calibration_type","bin_id","bin_left","bin_right","bin_mid","expected_share","observed_share_mean","observed_share_se","share_gap","count_total","count_mean_per_fold","summary_draws_used","n_obs_total","bin_direction","setting","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","setting_orig","source","model_lane"
"pit_histogram",1,0,0.1,0.05,0.1,0.0893521678717978,0.0124162672299707,-0.0106478321282022,2143,1071.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",2,0.1,0.2,0.15,0.1,0.0859327694786559,0.0108306606181075,-0.0140672305213441,2061,1030.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",3,0.2,0.3,0.25,0.1,0.0983554822639594,0.00624912234064522,-0.00164451773604066,2359,1179.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",4,0.3,0.4,0.35,0.1,0.112487643933005,0.00179330368127568,0.0124876439330053,2698,1349,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",5,0.4,0.5,0.45,0.1,0.120283824709931,0.000837296411189889,0.0202838247099313,2885,1442.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",6,0.5,0.6,0.55,0.1,0.117990208262776,0.000539424145325616,0.0179902082627763,2830,1415,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",7,0.6,0.7,0.65,0.1,0.112068088343407,0.00521123148655031,0.0120680883434072,2688,1344,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",8,0.7,0.8,0.75,0.1,0.0973078604986582,0.00788510440923544,-0.00269213950134178,2334,1167,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",9,0.8,0.9,0.85,0.1,0.0786288601679949,0.0096432078490093,-0.021371139832005,1886,943,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
"pit_histogram",10,0.9,1,0.95,0.1,0.0875930944698136,0.00884768239106824,-0.0124069055301863,2101,1050.5,400,23985,"closer_to_expected_share_better",4,"skew-t",1,0,"yes",NA,NA,FALSE,TRUE,"60",3,"ozone_prop_us_all_results","proposed"
