"setting","fold","backend","param","mean","sd","rhat_bulk","rhat_tail","rhat","ess","geweke_z","degenerate","flag"
55,2,"legacy","tau.beta",49.1487,6.8141,1.0076,0.9997,1.0076,1327.3647,2.7067,FALSE,"pass"
55,2,"legacy","rho",0.5942,0.0621,1.0192,1.0409,1.0409,72.7036,-0.6785,FALSE,"fail"
55,2,"legacy","nu",0.2911,0.0202,1.063,1.0322,1.063,38.6972,-0.1189,FALSE,"fail"
55,2,"legacy","gamma",0.8787,0.0151,1.0295,1.0256,1.0295,64.9562,-0.0853,FALSE,"fail"
55,2,"legacy","lambda",-0.3921,19.8803,1.0002,0.9999,1.0002,4783.1762,1.1737,FALSE,"pass"
55,2,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
55,2,"legacy","phi.w",-0.0451,0.0635,1.0942,1.0008,1.0942,142.5182,-2.0645,FALSE,"fail"
55,2,"legacy","phi.tau",0.8765,0.0286,1.1132,1.0013,1.1132,158.2493,-1.6854,FALSE,"fail"
55,2,"legacy","mean.log.tau",-4.9041,0.0448,1.0661,1.0115,1.0661,80.2206,-1.9818,FALSE,"fail"
55,2,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
58,1,"legacy","beta[int]",48.9029,0.4918,1.0499,1.0026,1.0499,139.7227,1.5518,FALSE,"marginal"
58,1,"legacy","beta[cmaq]",8.4077,0.1911,1.0559,1.0009,1.0559,193.9556,-5.5372,FALSE,"fail"
58,1,"legacy","tau.alpha",0.8057,0.0758,1.0045,1.0004,1.0045,1339.5535,-0.2521,FALSE,"pass"
58,1,"legacy","tau.beta",53.4007,7.0406,1.0266,1.0036,1.0266,591.6992,-4.1123,FALSE,"marginal"
58,1,"legacy","rho",0.4743,0.0502,1.0689,1.0053,1.0689,47.1777,1.1212,FALSE,"fail"
58,1,"legacy","nu",0.3361,0.0255,1.1348,1.0246,1.1348,33.3174,-2.1838,FALSE,"fail"
58,1,"legacy","gamma",0.88,0.0143,1.1378,1.0217,1.1378,51.9504,3.9422,FALSE,"fail"
58,1,"legacy","lambda",-0.3261,19.819,1.0001,0.9997,1.0001,5000,-0.0477,FALSE,"pass"
58,1,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
58,1,"legacy","phi.w",-0.1913,0.062,1.2066,1.0165,1.2066,96.4497,9.5713,FALSE,"fail"
58,1,"legacy","phi.tau",0.8055,0.0405,1.226,1.0161,1.226,73.5592,-4.3989,FALSE,"fail"
58,1,"legacy","mean.log.tau",-4.9329,0.0468,1.2326,1.0363,1.2326,62.9734,4.2105,FALSE,"fail"
58,1,"legacy","mean.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
58,2,"legacy","beta[int]",49.7654,0.5061,1.0151,1.0008,1.0151,294.1449,4.2163,FALSE,"marginal"
58,2,"legacy","beta[cmaq]",8.3616,0.1699,1.0088,1.0005,1.0088,464.0693,-2.0878,FALSE,"pass"
58,2,"legacy","tau.alpha",0.8742,0.0821,1.0026,1.0011,1.0026,1242.65,1.3548,FALSE,"pass"
58,2,"legacy","tau.beta",56.4145,7.1773,1.0022,1.0013,1.0022,1015.5435,-0.4919,FALSE,"pass"
58,2,"legacy","rho",0.5726,0.0596,1.0208,1.0249,1.0249,56.1424,0.5492,FALSE,"fail"
58,2,"legacy","nu",0.2936,0.0217,1.0432,1.0036,1.0432,40.2937,0.2247,FALSE,"fail"
58,2,"legacy","gamma",0.8676,0.0157,1.0133,1.009,1.0133,77.2795,-0.7286,FALSE,"fail"
58,2,"legacy","lambda",-0.323,20.335,0.9999,1.0008,1.0008,4544.6115,-0.2467,FALSE,"pass"
58,2,"legacy","phi.z",0,0,NA,NA,NA,NA,NA,TRUE,"degenerate"
