"metric_family","metric","ranking_group","quantile","target_type","target_level","threshold_value","band_type","target_value","prediction_cutoff","ranking_basis","rank","setting","rank_value","score_value","score_se","rel_score_to_gaussian","rel_to_gaussian","gap_to_target","score_direction","method","knots","thresh","CMAQ","TS","ar2","mrts","setting_orig","source","is_baseline","is_proposed","is_ar2","is_mrts","is_prop","model_lane"
"score","brier","brier__q0.995",0.995,"threshold_quantile",0.995,100.52,NA,NA,NA,"rel_to_gaussian",2,68,0.955641233668561,0.00385141448511652,0.000118816168870796,0.955641233668561,0.955641233668561,NA,"lower_better","t",9,75,"yes","yes","",NA,68,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",1,72,0.992671725308634,4.36626781130553,0.0105075854511529,0.992671725308634,0.992671725308634,NA,"lower_better","skew-t",15,0,"yes","yes","",NA,72,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.1",0.1,"score_quantile",0.1,NA,NA,NA,NA,"rel_to_gaussian",2,122,0.992692946885003,4.36636115443543,0.0130384459592774,0.992692946885003,0.992692946885003,NA,"lower_better","skew-t",15,0,"yes","yes","yes",NA,122,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",1,11,0.995878256042267,7.22277437952521,0.0174133680394832,0.995878256042267,0.995878256042267,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.2",0.2,"score_quantile",0.2,NA,NA,NA,NA,"rel_to_gaussian",2,122,0.995896694368948,7.22290810658747,0.0209769283538375,0.995896694368948,0.995896694368948,NA,"lower_better","skew-t",15,0,"yes","yes","yes",NA,122,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",1,33,0.997492800271196,9.18468488781633,0.00920317542865678,0.997492800271196,0.997492800271196,NA,"lower_better","skew-t",6,0,"yes","no","",NA,33,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.3",0.3,"score_quantile",0.3,NA,NA,NA,NA,"rel_to_gaussian",2,11,0.997562791037258,9.1853293467349,0.0103705041185211,0.997562791037258,0.997562791037258,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",1,33,0.998211925830326,10.3980780526939,0.0135871799329514,0.998211925830326,0.998211925830326,NA,"lower_better","skew-t",6,0,"yes","no","",NA,33,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.4",0.4,"score_quantile",0.4,NA,NA,NA,NA,"rel_to_gaussian",2,37,0.998226716798345,10.398232125828,0.016033090363381,0.998226716798345,0.998226716798345,NA,"lower_better","skew-t",11,0,"yes","no","",NA,37,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",1,37,0.998329859111674,10.8964239767133,0.0301302681725488,0.998329859111674,0.998329859111674,NA,"lower_better","skew-t",11,0,"yes","no","",NA,37,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"score","quantile","quantile__q0.5",0.5,"score_quantile",0.5,NA,NA,NA,NA,"rel_to_gaussian",2,60,0.998383158189892,10.8970057176564,0.0321865313663938,0.998383158189892,0.998383158189892,NA,"lower_better","skew-t",7,0,"yes","yes","",NA,60,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",1,60,0.998824560960282,10.6940408758447,0.0377517344470375,0.998824560960282,0.998824560960282,NA,"lower_better","skew-t",7,0,"yes","yes","",NA,60,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.6",0.6,"score_quantile",0.6,NA,NA,NA,NA,"rel_to_gaussian",2,107,0.998958223034059,10.6954719456606,0.0395777186968624,0.998958223034059,0.998958223034059,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,107,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",1,107,0.9987773225792,9.7395711043923,0.0260419055937495,0.9987773225792,0.9987773225792,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,107,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.7",0.7,"score_quantile",0.7,NA,NA,NA,NA,"rel_to_gaussian",2,7,0.999162441406092,9.74332658833588,0.0260021282792176,0.999162441406092,0.999162441406092,NA,"lower_better","skew-t",5,0,"yes","no","",NA,7,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",1,204,0.999229031906477,7.93567649813392,0.0226465956142574,0.999229031906477,0.999229031906477,NA,"lower_better","skew-t",1,0,"yes","yes","","10",204,"ozone_us_all_results",FALSE,TRUE,FALSE,TRUE,FALSE,"mrts"
"score","quantile","quantile__q0.8",0.8,"score_quantile",0.8,NA,NA,NA,NA,"rel_to_gaussian",2,107,0.999278638268648,7.93607046190986,0.000530327933191188,0.999278638268648,0.999278638268648,NA,"lower_better","skew-t",6,0,"yes","yes","yes",NA,107,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",1,201,0.998274848854493,5.03261249229548,0.0188042620358648,0.998274848854493,0.998274848854493,NA,"lower_better","skew-t",1,0,"yes","yes","","5",201,"ozone_us_all_results",FALSE,TRUE,FALSE,TRUE,FALSE,"mrts"
"score","quantile","quantile__q0.9",0.9,"score_quantile",0.9,NA,NA,NA,NA,"rel_to_gaussian",2,7,0.998407840902254,5.03328294637103,0.000779784448782905,0.998407840902254,0.998407840902254,NA,"lower_better","skew-t",5,0,"yes","no","",NA,7,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",1,61,0.995674380996141,2.98833746222829,0.0098265233228203,0.995674380996141,0.995674380996141,NA,"lower_better","skew-t",7,50,"yes","yes","",NA,61,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.95",0.95,"score_quantile",0.95,NA,NA,NA,NA,"rel_to_gaussian",2,119,0.995718143734619,2.98846880821182,0.00442825611288233,0.995718143734619,0.995718143734619,NA,"lower_better","skew-t",10,0,"yes","yes","yes",NA,119,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",1,119,0.98613822609525,1.42349933450116,0.0174945079318245,0.98613822609525,0.98613822609525,NA,"lower_better","skew-t",10,0,"yes","yes","yes",NA,119,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.98",0.98,"score_quantile",0.98,NA,NA,NA,NA,"rel_to_gaussian",2,36,0.986331550877086,1.42377840054992,0.021841272551437,0.986331550877086,0.986331550877086,NA,"lower_better","skew-t",9,0,"yes","no","",NA,36,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",1,108,0.971766891136741,0.796983680726877,0.0148123198244147,0.971766891136741,0.971766891136741,NA,"lower_better","skew-t",6,50,"yes","yes","yes",NA,108,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.99",0.99,"score_quantile",0.99,NA,NA,NA,NA,"rel_to_gaussian",2,67,0.973176996561271,0.798140162823258,0.0173268957383748,0.973176996561271,0.973176996561271,NA,"lower_better","skew-t",9,50,"yes","yes","",NA,67,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",1,108,0.941222114214993,0.441280030869755,0.0126401672617275,0.941222114214993,0.941222114214993,NA,"lower_better","skew-t",6,50,"yes","yes","yes",NA,108,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"score","quantile","quantile__q0.995",0.995,"score_quantile",0.995,NA,NA,NA,NA,"rel_to_gaussian",2,114,0.942789565373732,0.442014910432473,0.0154074850123995,0.942789565373732,0.942789565373732,NA,"lower_better","skew-t",8,50,"yes","yes","yes",NA,114,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",1,35,0.976987265141322,4.0529210309693,0.0150577716024345,0.976987265141322,0.976987265141322,NA,"lower_better","skew-t",8,0,"yes","no","",NA,35,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"scalar","crps","crps",NA,"scalar",NA,NA,NA,NA,NA,"rel_to_gaussian",2,11,0.977109700020444,4.05342893820026,0.0108472356037805,0.977109700020444,0.977109700020444,NA,"lower_better","skew-t",10,0,"yes","no","",NA,11,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",1,204,0.99157015287026,0.044665160164224,0.00126021543470827,0.99157015287026,0.99157015287026,NA,"lower_better","skew-t",1,0,"yes","yes","","10",204,"ozone_us_all_results",FALSE,TRUE,FALSE,TRUE,FALSE,"mrts"
"split_score","brier_split","brier_split__all__q0.9",0.9,"threshold_quantile",0.9,73.25,"all",NA,NA,"rel_to_gaussian",2,51,0.992240779164545,0.0446953684462682,0.00130112263814953,0.992240779164545,0.992240779164545,NA,"lower_better","skew-t",1,0,"yes","yes","",NA,51,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",1,18,0.24501155274888,0.00442752616310303,0.00278823925968084,0.24501155274888,0.24501155274888,NA,"lower_better","skew-t",15,85,"yes","no","",NA,18,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__below_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"below_threshold",NA,NA,"rel_to_gaussian",2,14,0.440024702252306,0.00795154701799101,0.0040237421475916,0.440024702252306,0.440024702252306,NA,"lower_better","skew-t",10,85,"yes","no","",NA,14,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",1,2,0,0,0,0,0,NA,"lower_better","max-stable",1,75,"yes","no","",NA,2,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__above_threshold__q0.9",0.9,"threshold_quantile",0.9,73.25,"above_threshold",NA,NA,"rel_to_gaussian",2,310,0.85499550168786,0.247789282156562,0.00682876767042792,0.85499550168786,0.85499550168786,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"100",10,"ozone_prop_us_all_results",FALSE,TRUE,FALSE,FALSE,TRUE,"ozone_prop"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",1,111,0.985568316004244,0.0266400412497031,0.00199102379200531,0.985568316004244,0.985568316004244,NA,"lower_better","skew-t",7,50,"yes","yes","yes",NA,111,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"split_score","brier_split","brier_split__all__q0.95",0.95,"threshold_quantile",0.95,79.75,"all",NA,NA,"rel_to_gaussian",2,120,0.988640940047673,0.0267230946818524,0.0020421315810772,0.988640940047673,0.988640940047673,NA,"lower_better","skew-t",10,50,"yes","yes","yes",NA,120,"ozone_us_all_results",FALSE,TRUE,TRUE,FALSE,FALSE,"ar2"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",1,18,0.476071112854483,0.00401408856972354,0.00183377620710541,0.476071112854483,0.476071112854483,NA,"lower_better","skew-t",15,85,"yes","no","",NA,18,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__below_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"below_threshold",NA,NA,"rel_to_gaussian",2,14,0.623342386572323,0.00525583569639724,0.00135830280875286,0.623342386572323,0.623342386572323,NA,"lower_better","skew-t",10,85,"yes","no","",NA,14,"ozone_us_all_results",FALSE,FALSE,FALSE,FALSE,FALSE,"other_numeric"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",1,310,0.894355793623385,0.340072358010791,0.0106019910512125,0.894355793623385,0.894355793623385,NA,"lower_better","skew-t",1,50,"yes",NA,NA,"100",10,"ozone_prop_us_all_results",FALSE,TRUE,FALSE,FALSE,TRUE,"ozone_prop"
"split_score","brier_split","brier_split__above_threshold__q0.95",0.95,"threshold_quantile",0.95,79.75,"above_threshold",NA,NA,"rel_to_gaussian",2,16,0.931669499994428,0.354260626485369,0.0119811998421351,0.931669499994428,0.931669499994428,NA,"lower_better","skew-t",15,50,"yes","no","",NA,16,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",1,58,0.97343131219246,0.0125690773671446,0.000702658995885107,0.97343131219246,0.97343131219246,NA,"lower_better","skew-t",6,50,"yes","yes","",NA,58,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__all__q0.98",0.98,"threshold_quantile",0.98,88.5,"all",NA,NA,"rel_to_gaussian",2,55,0.973652178984649,0.0125719292291754,0.000688417974695125,0.973652178984649,0.973652178984649,NA,"lower_better","skew-t",5,50,"yes","yes","",NA,55,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",1,301,0.833322564580302,0.00184520936027818,7.53799454072132e-05,0.833322564580302,0.833322564580302,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"20",1,"ozone_prop_us_all_results",FALSE,TRUE,FALSE,FALSE,TRUE,"ozone_prop"
"split_score","brier_split","brier_split__below_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"below_threshold",NA,NA,"rel_to_gaussian",2,302,0.861633801557914,0.0019078983617436,0.000174968928134876,0.861633801557914,0.861633801557914,NA,"lower_better","skew-t",1,0,"yes",NA,NA,"40",2,"ozone_prop_us_all_results",FALSE,TRUE,FALSE,FALSE,TRUE,"ozone_prop"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",1,71,0.854107543039712,0.461185855581764,0.00767364514698116,0.854107543039712,0.854107543039712,NA,"lower_better","t",10,75,"yes","yes","",NA,71,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
"split_score","brier_split","brier_split__above_threshold__q0.98",0.98,"threshold_quantile",0.98,88.5,"above_threshold",NA,NA,"rel_to_gaussian",2,74,0.855860648778387,0.462132466552015,0.00353065733462418,0.855860648778387,0.855860648778387,NA,"lower_better","t",15,75,"yes","yes","",NA,74,"ozone_us_all_results",TRUE,FALSE,FALSE,FALSE,FALSE,"morris_baseline"
