"score","method","mrts_k","dataset","quantile","value"
"brier",3,0,4,0.995,0.00301965930909091
"brier",3,0,5,0.9,0.0258549182590909
"brier",3,0,5,0.91,0.0250099488227273
"brier",3,0,5,0.92,0.0216690972409091
"brier",3,0,5,0.93,0.0204831570727273
"brier",3,0,5,0.94,0.0185703679227273
"brier",3,0,5,0.95,0.0149561661363636
"brier",3,0,5,0.96,0.0136949592045455
"brier",3,0,5,0.97,0.01151688465
"brier",3,0,5,0.98,0.00832693655
"brier",3,0,5,0.99,0.00555767290454545
"brier",3,0,5,0.995,0.00308677429090909
"brier",3,0,6,0.9,0.0155566891227273
"brier",3,0,6,0.91,0.0135835528636364
"brier",3,0,6,0.92,0.0134232735590909
"brier",3,0,6,0.93,0.0101799011590909
"brier",3,0,6,0.94,0.00931275257272727
"brier",3,0,6,0.95,0.00853097254090909
"brier",3,0,6,0.96,0.00846881775909091
"brier",3,0,6,0.97,0.00912461281818182
"brier",3,0,6,0.98,0.00680964881363636
"brier",3,0,6,0.99,0.00553373401818182
"brier",3,0,6,0.995,0.00359052297272727
"brier",3,0,7,0.9,0.0181597335272727
"brier",3,0,7,0.91,0.0183110705954545
"brier",3,0,7,0.92,0.0168830389590909
"brier",3,0,7,0.93,0.0145993798727273
"brier",3,0,7,0.94,0.0136271882045455
"brier",3,0,7,0.95,0.0125308054318182
"brier",3,0,7,0.96,0.0102644253318182
"brier",3,0,7,0.97,0.00706929704545455
"brier",3,0,7,0.98,0.00307099204545455
"brier",3,0,7,0.99,0.00246219417727273
"brier",3,0,7,0.995,0.002709639
"brier",3,0,8,0.9,0.0182262195818182
"brier",3,0,8,0.91,0.0168434945363636
"brier",3,0,8,0.92,0.0185991892545455
"brier",3,0,8,0.93,0.0179829902090909
"brier",3,0,8,0.94,0.0187051430227273
"brier",3,0,8,0.95,0.0157844509863636
"brier",3,0,8,0.96,0.0130032618909091
"brier",3,0,8,0.97,0.0105898779954545
"brier",3,0,8,0.98,0.00826603558636364
"brier",3,0,8,0.99,0.00356296123181818
"brier",3,0,8,0.995,0.00320993872272727
"brier",3,0,9,0.9,0.026773177
"brier",3,0,9,0.91,0.0250560947727273
"brier",3,0,9,0.92,0.0206339931181818
