"score","method","mrts_k","quantile","mean","median"
"brier",5,3,0.99,0.00422454149227273,0.00395124298409091
"brier",5,3,0.995,0.00304676299454545,0.00322232054772727
"brier",1,5,0.9,0.0207395477554545,0.0200350380113636
"brier",1,5,0.91,0.0189598642368182,0.0190450832477273
"brier",1,5,0.92,0.0177166581263636,0.0189319130931818
"brier",1,5,0.93,0.0159084876254545,0.0171404737681818
"brier",1,5,0.94,0.01513667627,0.0156047142522727
"brier",1,5,0.95,0.0127513755577273,0.0138314219681818
"brier",1,5,0.96,0.0115299328859091,0.01243461305
"brier",1,5,0.97,0.00885979415454546,0.00888793205227273
"brier",1,5,0.98,0.00574900792954545,0.00663857860681818
"brier",1,5,0.99,0.00464876654318182,0.00387752276136364
"brier",1,5,0.995,0.00354046346863636,0.00355618238636364
"brier",2,5,0.9,0.0196024691131818,0.0190803703113636
"brier",2,5,0.91,0.0179814866609091,0.0178661071454545
"brier",2,5,0.92,0.0168808937509091,0.0177895110068182
"brier",2,5,0.93,0.01501625489,0.0161069589590909
"brier",2,5,0.94,0.0141086931686364,0.0148513023909091
"brier",2,5,0.95,0.0118914145222727,0.0130343430977273
"brier",2,5,0.96,0.0106532491931818,0.0112059980681818
"brier",2,5,0.97,0.00833100257909091,0.00855129898409091
"brier",2,5,0.98,0.00542597452045455,0.00611151033863636
"brier",2,5,0.99,0.00405827747590909,0.00363478102727273
"brier",2,5,0.995,0.00290846498181818,0.00302782798863636
"brier",3,5,0.9,0.0200144574436364,0.0194733803272727
"brier",3,5,0.91,0.0183396451490909,0.0179584051613636
"brier",3,5,0.92,0.0172264273095455,0.018078968425
"brier",3,5,0.93,0.0154230304063636,0.0164730779409091
"brier",3,5,0.94,0.0143027293631818,0.0150801774454545
"brier",3,5,0.95,0.0120777605481818,0.0130759352318182
"brier",3,5,0.96,0.0107844409931818,0.011264588575
"brier",3,5,0.97,0.00837785398863636,0.008472657325
"brier",3,5,0.98,0.00543586604863636,0.00605494194772727
"brier",3,5,0.99,0.00407505953818182,0.00367942999318182
"brier",3,5,0.995,0.00291592250090909,0.00306073479318182
"brier",4,5,0.9,0.02004132937,0.0195657671318182
"brier",4,5,0.91,0.0183710924936364,0.0180118384477273
"brier",4,5,0.92,0.0173454172272727,0.0181075663636364
"brier",4,5,0.93,0.0154705687722727,0.0165872671659091
"brier",4,5,0.94,0.0144671541872727,0.0151292537068182
