"score","method","mrts_k","quantile","mean","median"
"brier",4,0,0.93,0.0783129187275758,0.0772668823931818
"brier",4,0,0.94,0.0674104824509091,0.0659961356318182
"brier",4,0,0.95,0.056597599289697,0.055766502775
"brier",4,0,0.96,0.0454588358665152,0.0441317957772727
"brier",4,0,0.97,0.0347473860354545,0.0342119652840909
"brier",4,0,0.98,0.0233725029515152,0.0228305930159091
"brier",4,0,0.99,0.0114138909098485,0.0117584939363636
"brier",4,0,0.995,0.00584879787424242,0.00588080492954545
"brier",5,0,0.9,0.109251642303788,0.108346267225
"brier",5,0,0.91,0.0992979956665151,0.0984570716545455
"brier",5,0,0.92,0.0881334334310606,0.0864847810409091
"brier",5,0,0.93,0.0778414102431818,0.076632824775
"brier",5,0,0.94,0.0670405114822727,0.0658609176431818
"brier",5,0,0.95,0.0563282322890909,0.0555917062522727
"brier",5,0,0.96,0.0452732638440909,0.0440566404318182
"brier",5,0,0.97,0.0346237250936364,0.0343040461636364
"brier",5,0,0.98,0.023309987744697,0.0228467782409091
"brier",5,0,0.99,0.0113792743613636,0.0117356532931818
"brier",5,0,0.995,0.00582492826227273,0.00578427698181818
"quant",1,0,0.9,0.725700286424338,0.723465158812634
"quant",1,0,0.91,0.67633935665425,0.674726784436982
"quant",1,0,0.92,0.624439687981126,0.623211483263911
"quant",1,0,0.93,0.569713584817138,0.568447062100286
"quant",1,0,0.94,0.511587686520573,0.509743298922269
"quant",1,0,0.95,0.44946006330509,0.446709024150299
"quant",1,0,0.96,0.382572253238005,0.380209461128106
"quant",1,0,0.97,0.309962295067757,0.309046444496476
"quant",1,0,0.98,0.229888669766637,0.229358408073222
"quant",1,0,0.99,0.137570587316918,0.135591810442177
"quant",1,0,0.995,0.0826306527427879,0.0812355542930271
"quant",2,0,0.9,0.724702084160478,0.721813852734713
"quant",2,0,0.91,0.675560043337498,0.673439185473251
"quant",2,0,0.92,0.623851425300161,0.622153764540564
"quant",2,0,0.93,0.56935773090818,0.567794556706139
"quant",2,0,0.94,0.511505636541293,0.509490239354519
"quant",2,0,0.95,0.449572237398567,0.446994479986307
"quant",2,0,0.96,0.382797330841593,0.380915628276197
"quant",2,0,0.97,0.310119547280135,0.308774453901896
"quant",2,0,0.98,0.229547095650705,0.22871082973536
"quant",2,0,0.99,0.136576494009894,0.134834160845405
"quant",2,0,0.995,0.0808714795708674,0.0792634641937096
"quant",3,0,0.9,0.725126860512885,0.722289719625524
"quant",3,0,0.91,0.676093827953967,0.673902496320649
"quant",3,0,0.92,0.624432848804089,0.622513299017237
"quant",3,0,0.93,0.569923766592206,0.568524585410314
"quant",3,0,0.94,0.512154773832884,0.511977697155712
"quant",3,0,0.95,0.450214241000899,0.450456935951516
"quant",3,0,0.96,0.38332156919583,0.382296108101749
"quant",3,0,0.97,0.31047182716727,0.310483378696766
"quant",3,0,0.98,0.229333921635381,0.228860008003983
"quant",3,0,0.99,0.135712889268988,0.134712358067215
"quant",3,0,0.995,0.0795493574711817,0.0781114493123291
"quant",4,0,0.9,0.725170862507791,0.721073052380566
"quant",4,0,0.91,0.676289031868063,0.672960990281848
"quant",4,0,0.92,0.624664861776254,0.621292771263688
"quant",4,0,0.93,0.570280029776426,0.567520303086676
"quant",4,0,0.94,0.512597417550052,0.511654217883392
"quant",4,0,0.95,0.45085903412176,0.450874505254657
"quant",4,0,0.96,0.384217479062733,0.38350554515698
"quant",4,0,0.97,0.31131434427181,0.311965813099361
"quant",4,0,0.98,0.230259091619982,0.230614354310316
"quant",4,0,0.99,0.136573825961767,0.136055175342376
"quant",4,0,0.995,0.0800054335984697,0.0791292996575521
"quant",5,0,0.9,0.724951866385306,0.721012993710652
"quant",5,0,0.91,0.676020891220833,0.673466746556602
"quant",5,0,0.92,0.624418681811347,0.621737947506079
"quant",5,0,0.93,0.569958374443819,0.5675290059981
"quant",5,0,0.94,0.512336271370019,0.511439435043455
"quant",5,0,0.95,0.450679342869105,0.450753409733655
"quant",5,0,0.96,0.383967328116118,0.383785317598606
"quant",5,0,0.97,0.311226948435342,0.311272197726443
"quant",5,0,0.98,0.230166960720138,0.230136912346614
"quant",5,0,0.99,0.136336400670082,0.135524240678939
"quant",5,0,0.995,0.0796854605287601,0.0791323033930605
