"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",1,3,0.92,0.0275494758872727,0.0273280410772727,1,1
"brier",1,3,0.93,0.0248092138668182,0.0252235193068182,1,1
"brier",1,3,0.94,0.02178453051,0.0225374008931818,1,1
"brier",1,3,0.95,0.01891765249,0.0203125257681818,1,1
"brier",1,3,0.96,0.0160028888095455,0.0177111805727273,1,1
"brier",1,3,0.97,0.0131122745127273,0.0148011681840909,1,1
"brier",1,3,0.98,0.00896476710772727,0.00855578572954546,1,1
"brier",1,3,0.99,0.00442860901318182,0.00479939396363636,1,1
"brier",1,3,0.995,0.00271004266,0.00274879848181818,1,1
"brier",2,3,0.9,0.0338124749409091,0.0325704012681818,0.996577110720743,0.980986174105282
"brier",2,3,0.91,0.0308219578204545,0.0308315094818182,0.999153516416875,0.992235551728001
"brier",2,3,0.92,0.0274645018690909,0.0271126098,0.996915584945081,0.992116841574426
"brier",2,3,0.93,0.0246889458131818,0.0248211371863636,0.995152282765508,0.984047344244077
"brier",2,3,0.94,0.021750758305,0.0221506885,0.998449716188077,0.982841304770915
"brier",2,3,0.95,0.01875668956,0.01985121475,0.991491389849503,0.977289332530747
"brier",2,3,0.96,0.0158513125690909,0.0176638061522727,0.990528195111614,0.997325168683137
"brier",2,3,0.97,0.0129229805595455,0.0146738052704545,0.98556360660402,0.991395076925532
"brier",2,3,0.98,0.008788942205,0.00843277648863636,0.980387119864417,0.985622683316588
"brier",2,3,0.99,0.00431715592136364,0.00466419368863636,0.974833386400461,0.971829719330321
"brier",2,3,0.995,0.00264053650136364,0.00266849060227273,0.974352374720048,0.970784369943214
"brier",3,3,0.9,0.0325492385509091,0.0321617254318182,0.959344921302382,0.968677288443646
"brier",3,3,0.91,0.0297793229663636,0.0294722522704545,0.965354486294513,0.948491234575673
"brier",3,3,0.92,0.0266062937759091,0.0260160271727273,0.965764063344691,0.951990195680854
"brier",3,3,0.93,0.0239351995554545,0.0239841257613636,0.964770576123228,0.950863575761233
"brier",3,3,0.94,0.0209835996868182,0.0212271446545455,0.96323396444949,0.941863028268146
"brier",3,3,0.95,0.0180372467640909,0.0190751036704545,0.953461153471633,0.939080835547019
"brier",3,3,0.96,0.0151453433,0.0166685828727273,0.94641308080364,0.941133359477716
"brier",3,3,0.97,0.0123770454113636,0.0138867510022727,0.943928179611402,0.938219931667215
"brier",3,3,0.98,0.00847038712954546,0.00811809226590909,0.944853003737746,0.948842400046919
"brier",3,3,0.99,0.00423041787272727,0.00435192918863636,0.955247541640134,0.906766400426739
"brier",3,3,0.995,0.00256362655454545,0.00258286771363636,0.94597276728679,0.939635164498467
"brier",4,3,0.9,0.0318386831095455,0.030727752525,0.938402257684928,0.925487535144401
"brier",4,3,0.91,0.0291995510290909,0.0278491414454545,0.946560054960192,0.896255444242109
"brier",4,3,0.92,0.0261429246659091,0.0251918074613636,0.948944537924461,0.921829976401577
"brier",4,3,0.93,0.0231918220090909,0.0231006019454545,0.934806807405917,0.915835798504541
"brier",4,3,0.94,0.0198948853527273,0.0198812053022727,0.913257476152387,0.882142772207923
"brier",4,3,0.95,0.0167855167936364,0.0168555496113636,0.887293854378037,0.829810620487517
"brier",4,3,0.96,0.0139690410486364,0.0144000095863636,0.872907461576816,0.813046286058289
"brier",4,3,0.97,0.0113983338381818,0.0119682551477273,0.869287309926143,0.808602064301343
"brier",4,3,0.98,0.00766344926,0.0071313549,0.854840864007991,0.833512563945295
"brier",4,3,0.99,0.00373291484681818,0.00359814185,0.842909102092126,0.749707541673405
"brier",4,3,0.995,0.00219662023409091,0.00221885173636364,0.810548212584561,0.807207858648112
"brier",5,3,0.9,0.0316362109186364,0.0313179874068182,0.932434662843967,0.943264787987274
"brier",5,3,0.91,0.0288600661259091,0.0287456340363636,0.935554993673674,0.925106831524503
"brier",5,3,0.92,0.02573708574,0.0253288944659091,0.934213262180062,0.926846325877846
"brier",5,3,0.93,0.0231147225090909,0.0224793881204545,0.931699111192168,0.891207442031221
"brier",5,3,0.94,0.0200747446718182,0.0197737248340909,0.921513762373857,0.877373789808789
"brier",5,3,0.95,0.0171585786881818,0.0180020917,0.907014160306199,0.886255697861024
"brier",5,3,0.96,0.0143326917186364,0.0154576307295455,0.895631525608498,0.87276117286885
"brier",5,3,0.97,0.011628430795,0.0130219567545455,0.886835520695742,0.879792499658382
"brier",5,3,0.98,0.00787833085181818,0.00729685245909091,0.878810431676175,0.85285591408547
"brier",5,3,0.99,0.00389816579681818,0.0040828613,0.880223516055546,0.850703511929771
"brier",5,3,0.995,0.00237660828590909,0.00249308005909091,0.876963422379886,0.906970836742412
"brier",1,5,0.9,0.0339220055595455,0.0332430075272727,1,1
"brier",1,5,0.91,0.0308373836945455,0.0310959790227273,1,1
"brier",1,5,0.92,0.0275397976768182,0.0273207297386364,1,1
"brier",1,5,0.93,0.024805980935,0.0252386225772727,1,1
"brier",1,5,0.94,0.0217894069436364,0.0225191618977273,1,1
"brier",1,5,0.95,0.0189252632986364,0.0202988662545455,1,1
"brier",1,5,0.96,0.0160110986722727,0.0177174577,1,1
"brier",1,5,0.97,0.0131247050818182,0.0148383664068182,1,1
"brier",1,5,0.98,0.00897189360545455,0.00856352991363636,1,1
"brier",1,5,0.99,0.00442501122954545,0.00478606766818182,1,1
"brier",1,5,0.995,0.00271348891409091,0.00275621354772727,1,1
"brier",2,5,0.9,0.0338247957186364,0.0325796707931818,0.997134313278192,0.980045826673573
"brier",2,5,0.91,0.0308299855740909,0.0308562645590909,0.999760092473219,0.992291142740315
"brier",2,5,0.92,0.0274564933945455,0.0270955699227273,0.996975130926875,0.991758645612212
"brier",2,5,0.93,0.0246830267086364,0.0248042705681818,0.995043363667584,0.982790185646579
"brier",2,5,0.94,0.0217362750509091,0.0221760624340909,0.997561572333533,0.98476411044094
"brier",2,5,0.95,0.0187463965913636,0.0198486036590909,0.990548786325968,0.977818337743187
"brier",2,5,0.96,0.0158358677690909,0.0176598163318182,0.989055660278624,0.996746634355909
"brier",2,5,0.97,0.01292309397,0.0146901661113636,0.984638808219967,0.990012357735927
"brier",2,5,0.98,0.00878374895636364,0.00843404265227273,0.979029549684302,0.984879218888762
"brier",2,5,0.99,0.00432835366636364,0.00468720961818182,0.978156538330018,0.979344619246147
"brier",2,5,0.995,0.00263451349,0.00266417402727273,0.970895247192352,0.966606535066762
"brier",3,5,0.9,0.032539162775,0.0320920324181818,0.959234639528666,0.965376926015294
"brier",3,5,0.91,0.0297612666236364,0.0294287140045455,0.965103489920922,0.94638326013266
"brier",3,5,0.92,0.02659477596,0.0260428322886364,0.965685233860172,0.953226086483597
"brier",3,5,0.93,0.0239277455054545,0.0239735895045455,0.964595819377322,0.949877095358349
"brier",3,5,0.94,0.0209714255472727,0.021207335775,0.962459676003136,0.941746228004175
"brier",3,5,0.95,0.0180251329477273,0.0190896973795455,0.952437631291822,0.940431703926852
"brier",3,5,0.96,0.0151453878540909,0.0166631589795455,0.945930580036895,0.94049379215086
"brier",3,5,0.97,0.0123731776286364,0.0139010210795455,0.94273947883043,0.93682961442157
"brier",3,5,0.98,0.00846152800954545,0.008123645425,0.94311506373651,0.948632807607071
"brier",3,5,0.99,0.00422051189545455,0.00432520166590909,0.953785578503059,0.903706751716737
"brier",3,5,0.995,0.00256106842681818,0.00258083601363636,0.943828594072664,0.936370121162955
"brier",4,5,0.9,0.0312185024445455,0.0305075006090909,0.920302379814944,0.917711810041928
"brier",4,5,0.91,0.02863003654,0.0278779141931818,0.928419765554369,0.896511866463717
"brier",4,5,0.92,0.0255692591672727,0.0252081862022727,0.928447603984972,0.922676167270301
"brier",4,5,0.93,0.0226523509690909,0.0218731211272727,0.913181019869671,0.86665272878122
"brier",4,5,0.94,0.0193611074454545,0.0188425868272727,0.888555961873437,0.836735705922271
"brier",4,5,0.95,0.0163864284154545,0.0160925280795455,0.865849428717605,0.792779649747281
"brier",4,5,0.96,0.0137036352186364,0.0133732140409091,0.855883503008303,0.754804344243423
"brier",4,5,0.97,0.0111181218745455,0.0111760606568182,0.847114034581053,0.753186728943613
"brier",4,5,0.98,0.00751964485409091,0.00669049709545455,0.838133529528178,0.781277949972564
"brier",4,5,0.99,0.00374780617863636,0.00388105914318182,0.846959698907102,0.810907703830313
"brier",4,5,0.995,0.00215228736545455,0.00223803529090909,0.793180821295384,0.811996331980349
"brier",5,5,0.9,0.0315337220977273,0.0313100617954545,0.929594862614303,0.941854065693894
"brier",5,5,0.91,0.0287890225977273,0.0285807807113636,0.933575392870294,0.919114998452844
"brier",5,5,0.92,0.0257361023845455,0.0253044079659091,0.934505862626907,0.926198099684144
"brier",5,5,0.93,0.0230652280445455,0.0226574772,0.929825275000577,0.897730338913303
"brier",5,5,0.94,0.0200597288895455,0.0200934746159091,0.920618396885921,0.892283412107669
"brier",5,5,0.95,0.0171772668431818,0.0179975698409091,0.907636875224848,0.886629312948892
"brier",5,5,0.96,0.014336759615,0.0152157938295455,0.895426348213551,0.858802322950965
"brier",5,5,0.97,0.0116333180918182,0.0127565152477273,0.886367961740638,0.859698089263094
"brier",5,5,0.98,0.00785574510545455,0.00726438707272727,0.875594991527605,0.848293536192316
"brier",5,5,0.99,0.00390588394090909,0.00409703429545455,0.882683396333507,0.85603350798652
"brier",5,5,0.995,0.00238849303318182,0.00254495970909091,0.880229515874778,0.92335360269506
"brier",1,8,0.9,0.0339301409954545,0.0332543898659091,1,1
"brier",1,8,0.91,0.0308620196509091,0.0311105383931818,1,1
