"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"quant",2,0,0.92,2.59817906405326,2.47242435412191,0.999117807787732,0.998631027186466
"quant",2,0,0.93,2.40943383952051,2.26176612843722,0.99920010918244,0.999164955783929
"quant",2,0,0.94,2.19779805573247,2.02754733048981,0.999566392037569,0.999166316130727
"quant",2,0,0.95,1.96105970719689,1.77048922780636,0.998943228254037,0.998148492856366
"quant",2,0,0.96,1.69619772971677,1.50629116536048,0.998621139725805,0.998060295127824
"quant",2,0,0.97,1.38508985913795,1.22034498977229,0.99700209445908,0.998634982141323
"quant",2,0,0.98,1.02708147157023,0.901889108499436,0.997888501537923,1.00173818944438
"quant",2,0,0.99,0.568965886776935,0.496761226193957,0.993492052650966,1.00431290789821
"quant",2,0,0.995,0.304615971173048,0.26814324204669,0.956732520686192,0.986875961851597
"quant",3,0,0.9,2.91389024924908,2.83227932353126,0.999596600452774,0.998662800220907
"quant",3,0,0.91,2.7647719791374,2.66089008856451,0.999479126309019,0.99832030050529
"quant",3,0,0.92,2.59859873008533,2.47180067190879,0.999279188429955,0.998379117190479
"quant",3,0,0.93,2.40989627698495,2.26143437266783,0.999391883514395,0.999018398306353
"quant",3,0,0.94,2.19819590623268,2.02670591044007,0.999747335863607,0.998751668068622
"quant",3,0,0.95,1.96161603091867,1.7695365555673,0.999226613717797,0.997611404946049
"quant",3,0,0.96,1.69688221180642,1.50521822084371,0.999024122392571,0.997349367954059
"quant",3,0,0.97,1.38575377820389,1.21950741965994,0.997479990311772,0.997949580208919
"quant",3,0,0.98,1.02761954244104,0.901212774562092,0.998411278698116,1.00098697787361
"quant",3,0,0.99,0.569156874974378,0.495665735672459,0.993825544096972,1.00209813103318
"quant",3,0,0.995,0.304563356779081,0.267252776410014,0.956567270316782,0.983598686895931
"quant",4,0,0.9,2.91381273609166,2.83179137959143,0.999570009921895,0.998490750996365
"quant",4,0,0.91,2.76469113292089,2.66049149287262,0.999449899990737,0.99817075424157
"quant",4,0,0.92,2.5984781691435,2.47206075549911,0.999232827274341,0.998484166933467
"quant",4,0,0.93,2.40992228332468,2.26185622690804,0.999402668428703,0.99920475796926
"quant",4,0,0.94,2.19800763297211,2.02739515648923,0.999661708513406,0.999091325459348
"quant",4,0,0.95,1.96173890741673,1.77106309821677,0.999289205715992,0.998472023706627
"quant",4,0,0.96,1.69697063071438,1.50692523513931,0.999076178228453,0.998480426298441
"quant",4,0,0.97,1.3864002475136,1.22066498905299,0.997945325648343,0.998896844547976
"quant",4,0,0.98,1.02810084737448,0.90204724233294,0.99887890339208,1.00191383043901
"quant",4,0,0.99,0.569236834437603,0.496275108630561,0.993965164227272,1.00333011351344
"quant",4,0,0.995,0.304509850103596,0.266205949761234,0.95639921748517,0.979745939953583
"quant",5,0,0.9,2.92026806308772,2.83282236953886,1.00178448005224,0.998854278456156
"quant",5,0,0.91,2.77092612592184,2.6610268737084,1.00170388165872,0.998371619944051
"quant",5,0,0.92,2.60557085638651,2.47493539553331,1.00196028752818,0.999645255937204
"quant",5,0,0.93,2.41712004480067,2.2682351063041,1.00238760370051,1.00202271189897
"quant",5,0,0.94,2.20656701282837,2.03232904305449,1.00355454499066,1.00152272283759
"quant",5,0,0.95,1.98144945524984,1.7730985806582,1.00932955186701,0.999619567390735
"quant",5,0,0.96,1.71347151207574,1.50442845518229,1.00879092354551,0.996826073542427
"quant",5,0,0.97,1.40336487356988,1.2226613812979,1.01015664002498,1.00053053596356
"quant",5,0,0.98,1.04829267110337,0.903724354397455,1.01849681032728,1.00377661732398
"quant",5,0,0.99,0.714861331951368,0.502106190476683,1.24824540195959,1.01511893771363
"quant",5,0,0.995,0.565340937940789,0.272546734072566,1.7756129415024,1.00308259974921
"elapsed_sec",1,0,NA,371.715,374.19,1,1
"elapsed_sec",2,0,NA,478.212,484.54,1.2865017553771,1.29490365856918
"elapsed_sec",3,0,NA,481.356,490.015,1.29495984827085,1.30953526283439
"elapsed_sec",4,0,NA,847.32,814.935,2.27948831766273,2.17786418664315
"elapsed_sec",5,0,NA,869.772,851.83,2.33988943141923,2.2764638285363
