"score","method","mrts_k","dataset","quantile","value"
"brier",5,0,8,0.91,0.0273182202318182
"brier",5,0,8,0.92,0.0256124341636364
"brier",5,0,8,0.93,0.0221730437409091
"brier",5,0,8,0.94,0.0199842761636364
"brier",5,0,8,0.95,0.0171043969363636
"brier",5,0,8,0.96,0.0153383840318182
"brier",5,0,8,0.97,0.0114261931727273
"brier",5,0,8,0.98,0.00845602623181818
"brier",5,0,8,0.99,0.00660505980454545
"brier",5,0,8,0.995,0.00481342453636364
"brier",5,0,9,0.9,0.03786362515
"brier",5,0,9,0.91,0.0317121153772727
"brier",5,0,9,0.92,0.0282569709363636
"brier",5,0,9,0.93,0.0237718202045455
"brier",5,0,9,0.94,0.0183823130136364
"brier",5,0,9,0.95,0.0151959874318182
"brier",5,0,9,0.96,0.0125740247318182
"brier",5,0,9,0.97,0.0111822895545455
"brier",5,0,9,0.98,0.00895146903636364
"brier",5,0,9,0.99,0.0056196814
"brier",5,0,9,0.995,0.00365508264090909
"brier",5,0,10,0.9,0.0146002187409091
"brier",5,0,10,0.91,0.0132128792318182
"brier",5,0,10,0.92,0.0114960480409091
"brier",5,0,10,0.93,0.0104009280590909
"brier",5,0,10,0.94,0.0119936100318182
"brier",5,0,10,0.95,0.0104434606181818
"brier",5,0,10,0.96,0.0101741077409091
"brier",5,0,10,0.97,0.00789864565
"brier",5,0,10,0.98,0.00838876959545455
"brier",5,0,10,0.99,0.00797561427727273
"brier",5,0,10,0.995,0.00546571945
"brier",7,0,1,0.9,0.0221103505363636
"brier",7,0,1,0.91,0.02230040685
"brier",7,0,1,0.92,0.0211808301181818
"brier",7,0,1,0.93,0.0203477203090909
"brier",7,0,1,0.94,0.0197100549727273
"brier",7,0,1,0.95,0.0168658618136364
"brier",7,0,1,0.96,0.0131132233181818
"brier",7,0,1,0.97,0.0105731541590909
"brier",7,0,1,0.98,0.0105088115590909
"brier",7,0,1,0.99,0.00624194297727273
"brier",7,0,1,0.995,0.00405268841818182
"brier",7,0,2,0.9,0.0362004178454545
"brier",7,0,2,0.91,0.0325858020909091
"brier",7,0,2,0.92,0.0283705957318182
"brier",7,0,2,0.93,0.0249573913818182
"brier",7,0,2,0.94,0.0215877987090909
"brier",7,0,2,0.95,0.0182507570090909
"brier",7,0,2,0.96,0.0141402598363636
"brier",7,0,2,0.97,0.00781306691818182
"brier",7,0,2,0.98,0.00338224072727273
"brier",7,0,2,0.99,0.00340406182272727
"brier",7,0,2,0.995,0.00338504349545455
"brier",7,0,3,0.9,0.0287463943681818
"brier",7,0,3,0.91,0.0281490029772727
"brier",7,0,3,0.92,0.02665078905
"brier",7,0,3,0.93,0.0243856793636364
"brier",7,0,3,0.94,0.0217942763681818
"brier",7,0,3,0.95,0.0183110384681818
"brier",7,0,3,0.96,0.0163868180318182
"brier",7,0,3,0.97,0.0127288718727273
"brier",7,0,3,0.98,0.0103415121136364
"brier",7,0,3,0.99,0.00661926084090909
"brier",7,0,3,0.995,0.0023877045
"brier",7,0,4,0.9,0.0279866969954545
"brier",7,0,4,0.91,0.0246270005181818
"brier",7,0,4,0.92,0.0203404287636364
"brier",7,0,4,0.93,0.0157575529954545
"brier",7,0,4,0.94,0.0107785378045455
"brier",7,0,4,0.95,0.00537909481363636
"brier",7,0,4,0.96,0.00528340550454545
"brier",7,0,4,0.97,0.00740388065454545
"brier",7,0,4,0.98,0.00788246791363636
"brier",7,0,4,0.99,0.00547983675454545
"brier",7,0,4,0.995,0.00303240215454545
"brier",7,0,5,0.9,0.0251890312681818
"brier",7,0,5,0.91,0.0236464013954545
"brier",7,0,5,0.92,0.0206184468454545
"brier",7,0,5,0.93,0.0187846929909091
"brier",7,0,5,0.94,0.0165963908136364
"brier",7,0,5,0.95,0.0121933673727273
"brier",7,0,5,0.96,0.0105013995045455
"brier",7,0,5,0.97,0.0102170124590909
"brier",7,0,5,0.98,0.00816320868181818
"brier",7,0,5,0.99,0.004362801
"brier",7,0,5,0.995,0.00300281604545455
"brier",7,0,6,0.9,0.0360737409090909
"brier",7,0,6,0.91,0.0345726009
"brier",7,0,6,0.92,0.0324598545818182
"brier",7,0,6,0.93,0.0305205061454545
"brier",7,0,6,0.94,0.0269712237045455
