"score","method","mrts_k","dataset","quantile","value"
"brier",1,0,23,0.99,NA
"brier",1,0,23,0.995,NA
"brier",1,0,24,0.9,NA
"brier",1,0,24,0.91,NA
"brier",1,0,24,0.92,NA
"brier",1,0,24,0.93,NA
"brier",1,0,24,0.94,NA
"brier",1,0,24,0.95,NA
"brier",1,0,24,0.96,NA
"brier",1,0,24,0.97,NA
"brier",1,0,24,0.98,NA
"brier",1,0,24,0.99,NA
"brier",1,0,24,0.995,NA
"brier",1,0,25,0.9,NA
"brier",1,0,25,0.91,NA
"brier",1,0,25,0.92,NA
"brier",1,0,25,0.93,NA
"brier",1,0,25,0.94,NA
"brier",1,0,25,0.95,NA
"brier",1,0,25,0.96,NA
"brier",1,0,25,0.97,NA
"brier",1,0,25,0.98,NA
"brier",1,0,25,0.99,NA
"brier",1,0,25,0.995,NA
"brier",1,0,26,0.9,NA
"brier",1,0,26,0.91,NA
"brier",1,0,26,0.92,NA
"brier",1,0,26,0.93,NA
"brier",1,0,26,0.94,NA
"brier",1,0,26,0.95,NA
"brier",1,0,26,0.96,NA
"brier",1,0,26,0.97,NA
"brier",1,0,26,0.98,NA
"brier",1,0,26,0.99,NA
"brier",1,0,26,0.995,NA
"brier",1,0,27,0.9,NA
"brier",1,0,27,0.91,NA
"brier",1,0,27,0.92,NA
"brier",1,0,27,0.93,NA
"brier",1,0,27,0.94,NA
"brier",1,0,27,0.95,NA
"brier",1,0,27,0.96,NA
"brier",1,0,27,0.97,NA
"brier",1,0,27,0.98,NA
"brier",1,0,27,0.99,NA
"brier",1,0,27,0.995,NA
"brier",1,0,28,0.9,NA
"brier",1,0,28,0.91,NA
"brier",1,0,28,0.92,NA
"brier",1,0,28,0.93,NA
"brier",1,0,28,0.94,NA
"brier",1,0,28,0.95,NA
"brier",1,0,28,0.96,NA
"brier",1,0,28,0.97,NA
"brier",1,0,28,0.98,NA
"brier",1,0,28,0.99,NA
"brier",1,0,28,0.995,NA
"brier",1,0,29,0.9,NA
"brier",1,0,29,0.91,NA
"brier",1,0,29,0.92,NA
"brier",1,0,29,0.93,NA
"brier",1,0,29,0.94,NA
"brier",1,0,29,0.95,NA
"brier",1,0,29,0.96,NA
"brier",1,0,29,0.97,NA
"brier",1,0,29,0.98,NA
"brier",1,0,29,0.99,NA
"brier",1,0,29,0.995,NA
"brier",1,0,30,0.9,NA
"brier",1,0,30,0.91,NA
"brier",1,0,30,0.92,NA
"brier",1,0,30,0.93,NA
"brier",1,0,30,0.94,NA
"brier",1,0,30,0.95,NA
"brier",1,0,30,0.96,NA
"brier",1,0,30,0.97,NA
"brier",1,0,30,0.98,NA
"brier",1,0,30,0.99,NA
"brier",1,0,30,0.995,NA
"brier",1,0,31,0.9,NA
"brier",1,0,31,0.91,NA
"brier",1,0,31,0.92,NA
"brier",1,0,31,0.93,NA
"brier",1,0,31,0.94,NA
"brier",1,0,31,0.95,NA
"brier",1,0,31,0.96,NA
"brier",1,0,31,0.97,NA
"brier",1,0,31,0.98,NA
"brier",1,0,31,0.99,NA
"brier",1,0,31,0.995,NA
"brier",1,0,32,0.9,NA
"brier",1,0,32,0.91,NA
"brier",1,0,32,0.92,NA
"brier",1,0,32,0.93,NA
"brier",1,0,32,0.94,NA
"brier",1,0,32,0.95,NA
"brier",1,0,32,0.96,NA
"brier",1,0,32,0.97,NA
"brier",1,0,32,0.98,NA
"brier",1,0,32,0.99,NA
"brier",1,0,32,0.995,NA
"brier",1,0,33,0.9,NA
"brier",1,0,33,0.91,NA
"brier",1,0,33,0.92,NA
"brier",1,0,33,0.93,NA
"brier",1,0,33,0.94,NA
"brier",1,0,33,0.95,NA
"brier",1,0,33,0.96,NA
"brier",1,0,33,0.97,NA
"brier",1,0,33,0.98,NA
"brier",1,0,33,0.99,NA
"brier",1,0,33,0.995,NA
"brier",1,0,34,0.9,NA
"brier",1,0,34,0.91,NA
"brier",1,0,34,0.92,NA
"brier",1,0,34,0.93,NA
"brier",1,0,34,0.94,NA
"brier",1,0,34,0.95,NA
"brier",1,0,34,0.96,NA
"brier",1,0,34,0.97,NA
"brier",1,0,34,0.98,NA
"brier",1,0,34,0.99,NA
"brier",1,0,34,0.995,NA
"brier",1,0,35,0.9,NA
"brier",1,0,35,0.91,NA
"brier",1,0,35,0.92,NA
"brier",1,0,35,0.93,NA
"brier",1,0,35,0.94,NA
"brier",1,0,35,0.95,NA
"brier",1,0,35,0.96,NA
"brier",1,0,35,0.97,NA
"brier",1,0,35,0.98,NA
"brier",1,0,35,0.99,NA
"brier",1,0,35,0.995,NA
"brier",1,0,36,0.9,NA
"brier",1,0,36,0.91,NA
"brier",1,0,36,0.92,NA
"brier",1,0,36,0.93,NA
"brier",1,0,36,0.94,NA
"brier",1,0,36,0.95,NA
"brier",1,0,36,0.96,NA
"brier",1,0,36,0.97,NA
"brier",1,0,36,0.98,NA
"brier",1,0,36,0.99,NA
"brier",1,0,36,0.995,NA
"brier",1,0,37,0.9,NA
"brier",1,0,37,0.91,NA
"brier",1,0,37,0.92,NA
"brier",1,0,37,0.93,NA
"brier",1,0,37,0.94,NA
"brier",1,0,37,0.95,NA
"brier",1,0,37,0.96,NA
"brier",1,0,37,0.97,NA
"brier",1,0,37,0.98,NA
"brier",1,0,37,0.99,NA
"brier",1,0,37,0.995,NA
"brier",1,0,38,0.9,NA
"brier",1,0,38,0.91,NA
"brier",1,0,38,0.92,NA
"brier",1,0,38,0.93,NA
"brier",1,0,38,0.94,NA
"brier",1,0,38,0.95,NA
"brier",1,0,38,0.96,NA
"brier",1,0,38,0.97,NA
"brier",1,0,38,0.98,NA
"brier",1,0,38,0.99,NA
"brier",1,0,38,0.995,NA
"brier",1,0,39,0.9,NA
"brier",1,0,39,0.91,NA
"brier",1,0,39,0.92,NA
"brier",1,0,39,0.93,NA
"brier",1,0,39,0.94,NA
"brier",1,0,39,0.95,NA
"brier",1,0,39,0.96,NA
"brier",1,0,39,0.97,NA
"brier",1,0,39,0.98,NA
"brier",1,0,39,0.99,NA
"brier",1,0,39,0.995,NA
"brier",1,0,40,0.9,NA
"brier",1,0,40,0.91,NA
"brier",1,0,40,0.92,NA
"brier",1,0,40,0.93,NA
"brier",1,0,40,0.94,NA
"brier",1,0,40,0.95,NA
"brier",1,0,40,0.96,NA
"brier",1,0,40,0.97,NA
"brier",1,0,40,0.98,NA
"brier",1,0,40,0.99,NA
"brier",1,0,40,0.995,NA
"brier",1,0,41,0.9,NA
"brier",1,0,41,0.91,NA
"brier",1,0,41,0.92,NA
"brier",1,0,41,0.93,NA
"brier",1,0,41,0.94,NA
"brier",1,0,41,0.95,NA
"brier",1,0,41,0.96,NA
"brier",1,0,41,0.97,NA
"brier",1,0,41,0.98,NA
"brier",1,0,41,0.99,NA
"brier",1,0,41,0.995,NA
"brier",1,0,42,0.9,NA
"brier",1,0,42,0.91,NA
"brier",1,0,42,0.92,NA
"brier",1,0,42,0.93,NA
"brier",1,0,42,0.94,NA
"brier",1,0,42,0.95,NA
"brier",1,0,42,0.96,NA
"brier",1,0,42,0.97,NA
"brier",1,0,42,0.98,NA
"brier",1,0,42,0.99,NA
"brier",1,0,42,0.995,NA
"brier",1,0,43,0.9,NA
"brier",1,0,43,0.91,NA
"brier",1,0,43,0.92,NA
"brier",1,0,43,0.93,NA
"brier",1,0,43,0.94,NA
"brier",1,0,43,0.95,NA
"brier",1,0,43,0.96,NA
"brier",1,0,43,0.97,NA
"brier",1,0,43,0.98,NA
"brier",1,0,43,0.99,NA
"brier",1,0,43,0.995,NA
"brier",1,0,44,0.9,NA
"brier",1,0,44,0.91,NA
"brier",1,0,44,0.92,NA
"brier",1,0,44,0.93,NA
"brier",1,0,44,0.94,NA
"brier",1,0,44,0.95,NA
"brier",1,0,44,0.96,NA
"brier",1,0,44,0.97,NA
"brier",1,0,44,0.98,NA
"brier",1,0,44,0.99,NA
"brier",1,0,44,0.995,NA
"brier",1,0,45,0.9,NA
"brier",1,0,45,0.91,NA
"brier",1,0,45,0.92,NA
"brier",1,0,45,0.93,NA
"brier",1,0,45,0.94,NA
"brier",1,0,45,0.95,NA
"brier",1,0,45,0.96,NA
"brier",1,0,45,0.97,NA
"brier",1,0,45,0.98,NA
"brier",1,0,45,0.99,NA
"brier",1,0,45,0.995,NA
"brier",1,0,46,0.9,NA
"brier",1,0,46,0.91,NA
"brier",1,0,46,0.92,NA
"brier",1,0,46,0.93,NA
"brier",1,0,46,0.94,NA
"brier",1,0,46,0.95,NA
"brier",1,0,46,0.96,NA
"brier",1,0,46,0.97,NA
"brier",1,0,46,0.98,NA
"brier",1,0,46,0.99,NA
"brier",1,0,46,0.995,NA
"brier",1,0,47,0.9,NA
"brier",1,0,47,0.91,NA
"brier",1,0,47,0.92,NA
"brier",1,0,47,0.93,NA
"brier",1,0,47,0.94,NA
"brier",1,0,47,0.95,NA
"brier",1,0,47,0.96,NA
"brier",1,0,47,0.97,NA
"brier",1,0,47,0.98,NA
"brier",1,0,47,0.99,NA
"brier",1,0,47,0.995,NA
"brier",1,0,48,0.9,NA
"brier",1,0,48,0.91,NA
"brier",1,0,48,0.92,NA
"brier",1,0,48,0.93,NA
"brier",1,0,48,0.94,NA
"brier",1,0,48,0.95,NA
"brier",1,0,48,0.96,NA
"brier",1,0,48,0.97,NA
"brier",1,0,48,0.98,NA
"brier",1,0,48,0.99,NA
"brier",1,0,48,0.995,NA
"brier",1,0,49,0.9,NA
"brier",1,0,49,0.91,NA
"brier",1,0,49,0.92,NA
"brier",1,0,49,0.93,NA
"brier",1,0,49,0.94,NA
"brier",1,0,49,0.95,NA
"brier",1,0,49,0.96,NA
"brier",1,0,49,0.97,NA
"brier",1,0,49,0.98,NA
"brier",1,0,49,0.99,NA
"brier",1,0,49,0.995,NA
"brier",1,0,50,0.9,NA
"brier",1,0,50,0.91,NA
"brier",1,0,50,0.92,NA
"brier",1,0,50,0.93,NA
"brier",1,0,50,0.94,NA
"brier",1,0,50,0.95,NA
"brier",1,0,50,0.96,NA
"brier",1,0,50,0.97,NA
"brier",1,0,50,0.98,NA
"brier",1,0,50,0.99,NA
"brier",1,0,50,0.995,NA
"brier",2,0,1,0.9,0.0210499883727273
"brier",2,0,1,0.91,0.0194095434181818
"brier",2,0,1,0.92,0.0149265058545455
"brier",2,0,1,0.93,0.0116698205454545
"brier",2,0,1,0.94,0.0107683912727273
"brier",2,0,1,0.95,0.0108378830681818
"brier",2,0,1,0.96,0.0100439986863636
"brier",2,0,1,0.97,0.00877439851363636
"brier",2,0,1,0.98,0.00540084125909091
"brier",2,0,1,0.99,0.00423728441818182
"brier",2,0,1,0.995,0.00414727367727273
"brier",2,0,2,0.9,0.0372630810454545
"brier",2,0,2,0.91,0.0346284264863636
"brier",2,0,2,0.92,0.0319921319090909
"brier",2,0,2,0.93,0.0304775562954545
"brier",2,0,2,0.94,0.0272845314227273
"brier",2,0,2,0.95,0.02170312315
"brier",2,0,2,0.96,0.0156844499090909
"brier",2,0,2,0.97,0.0112795400636364
"brier",2,0,2,0.98,0.00794734221818182
"brier",2,0,2,0.99,0.00477778540909091
"brier",2,0,2,0.995,0.00213422349545455
"brier",2,0,3,0.9,0.0353281916136364
"brier",2,0,3,0.91,0.0322576667454545
"brier",2,0,3,0.92,0.0295048311863636
"brier",2,0,3,0.93,0.0235317811181818
"brier",2,0,3,0.94,0.0208322830318182
"brier",2,0,3,0.95,0.0163964965227273
"brier",2,0,3,0.96,0.0115533684545455
"brier",2,0,3,0.97,0.00816686104090909
"brier",2,0,3,0.98,0.00180964822727273
"brier",2,0,3,0.99,0.00331362878636364
"brier",2,0,3,0.995,0.00280717097727273
"brier",2,0,4,0.9,0.0107298101227273
"brier",2,0,4,0.91,0.00955025109090909
"brier",2,0,4,0.92,0.00873904210909091
"brier",2,0,4,0.93,0.00690604496818182
"brier",2,0,4,0.94,0.00514095877272727
"brier",2,0,4,0.95,0.00640496955
"brier",2,0,4,0.96,0.00648677602727273
"brier",2,0,4,0.97,0.00665739629545455
"brier",2,0,4,0.98,0.00608812439545455
"brier",2,0,4,0.99,0.00463422808181818
"brier",2,0,4,0.995,0.00360635445454545
"brier",2,0,5,0.9,0.03360218205
"brier",2,0,5,0.91,0.0316591825136364
"brier",2,0,5,0.92,0.0287420142181818
"brier",2,0,5,0.93,0.0278027789090909
"brier",2,0,5,0.94,0.0236746272409091
"brier",2,0,5,0.95,0.0186958263
"brier",2,0,5,0.96,0.0160196965454545
"brier",2,0,5,0.97,0.0140730745272727
"brier",2,0,5,0.98,0.0107511368045455
"brier",2,0,5,0.99,0.00673196499545455
"brier",2,0,5,0.995,0.00348942124090909
"brier",2,0,6,0.9,0.0150056670954545
"brier",2,0,6,0.91,0.0150458756818182
"brier",2,0,6,0.92,0.0131245234954545
"brier",2,0,6,0.93,0.0109124170636364
"brier",2,0,6,0.94,0.00711907905909091
"brier",2,0,6,0.95,0.00711201534090909
"brier",2,0,6,0.96,0.00935464744545455
"brier",2,0,6,0.97,0.0100801195772727
"brier",2,0,6,0.98,0.00886703628636364
"brier",2,0,6,0.99,0.0062580188
"brier",2,0,6,0.995,0.00354093317727273
"brier",2,0,7,0.9,0.0110177044954545
"brier",2,0,7,0.91,0.0130648258590909
"brier",2,0,7,0.92,0.0163681618545455
"brier",2,0,7,0.93,0.0175929057318182
"brier",2,0,7,0.94,0.0169850853272727
"brier",2,0,7,0.95,0.0148195482590909
"brier",2,0,7,0.96,0.0107974981545455
"brier",2,0,7,0.97,0.00737823974545455
"brier",2,0,7,0.98,0.00283972508636364
"brier",2,0,7,0.99,0.00327152717727273
"brier",2,0,7,0.995,0.00333019790454545
"brier",2,0,8,0.9,0.0378412366227273
"brier",2,0,8,0.91,0.0298757786909091
"brier",2,0,8,0.92,0.0245091013136364
"brier",2,0,8,0.93,0.0207545553545455
"brier",2,0,8,0.94,0.0162029482045455
"brier",2,0,8,0.95,0.0131856088590909
"brier",2,0,8,0.96,0.00879248544090909
"brier",2,0,8,0.97,0.00746688274545455
"brier",2,0,8,0.98,0.00734598911818182
"brier",2,0,8,0.99,0.00438976285
"brier",2,0,8,0.995,0.00368759041363636
"brier",2,0,9,0.9,0.0270576312727273
"brier",2,0,9,0.91,0.0237128622454545
"brier",2,0,9,0.92,0.0193383680727273
"brier",2,0,9,0.93,0.0187459321
"brier",2,0,9,0.94,0.0166432248954545
"brier",2,0,9,0.95,0.0168203731272727
"brier",2,0,9,0.96,0.0153804082454545
"brier",2,0,9,0.97,0.0123625393590909
"brier",2,0,9,0.98,0.00794791857272727
"brier",2,0,9,0.99,0.00509131358181818
"brier",2,0,9,0.995,0.00329605008181818
"brier",2,0,10,0.9,0.0243177619136364
"brier",2,0,10,0.91,0.0231434532318182
"brier",2,0,10,0.92,0.0219758008772727
"brier",2,0,10,0.93,0.0175306224181818
"brier",2,0,10,0.94,0.0151015807454545
"brier",2,0,10,0.95,0.0112938017409091
"brier",2,0,10,0.96,0.0075109824
"brier",2,0,10,0.97,0.00480832065
"brier",2,0,10,0.98,2.85554090909091e-06
"brier",2,0,10,0.99,0.00374495428636364
"brier",2,0,10,0.995,0.00419090876818182
"brier",2,0,11,0.9,NA
"brier",2,0,11,0.91,NA
"brier",2,0,11,0.92,NA
