"score","method","mrts_k","quantile","mean","median","rel_mean","rel_median"
"brier",3,5,0.96,0.0107806619045455,0.0112491548477273,0.934981800768265,0.905477957772101
"brier",3,5,0.97,0.00839052173045455,0.00847871390909091,0.947098070477436,0.956751571003589
"brier",3,5,0.98,0.00544397581681818,0.00607558295227273,0.945734938504033,0.914430256390895
"brier",3,5,0.99,0.00407836697590909,0.00369714646818182,0.878056594398,0.955170336540707
"brier",3,5,0.995,0.00291135503954545,0.00304771242272727,0.822863754042482,0.859549089324198
"brier",4,5,0.9,0.0200046271,0.0193991506886364,0.964590979108132,0.968973772467923
"brier",4,5,0.91,0.0183871447895455,0.0179800106159091,0.969482573277042,0.94508598101235
"brier",4,5,0.92,0.0173131805231818,0.0181793719909091,0.978152845319874,0.961009500992207
"brier",4,5,0.93,0.0154711511659091,0.0166549945863636,0.973117469738252,0.97235080910825
"brier",4,5,0.94,0.0144484732109091,0.0150731712431818,0.955258532076771,0.967342026895213
"brier",4,5,0.95,0.0121647171963636,0.0131426298568182,0.953672095265429,0.949870015776924
"brier",4,5,0.96,0.0107968449777273,0.0112422192136364,0.936385321167983,0.904919687939611
"brier",4,5,0.97,0.00842553278818182,0.00846077172727273,0.951050018435394,0.954726946653029
"brier",4,5,0.98,0.00544719412,0.00619767380909091,0.946294026542658,0.932806036028875
"brier",4,5,0.99,0.00408616141181818,0.00361013277045455,0.879734706223154,0.932690052446719
"brier",4,5,0.995,0.00294350843636364,0.00303729817272727,0.831951572069361,0.856611948983548
"brier",5,5,0.9,0.0220505897909091,0.0230653075545455,1.06324401299761,1.15209569908402
"brier",5,5,0.91,0.0202783614386364,0.0209440179363636,1.06919906567273,1.10088354009171
"brier",5,5,0.92,0.0190120523663636,0.0203836240113636,1.07413499747367,1.07753207038005
"brier",5,5,0.93,0.0171573339409091,0.0187883787931818,1.07917641117888,1.09690190691148
"brier",5,5,0.94,0.0159906014122727,0.0170459281477273,1.05721609537118,1.09394648403476
"brier",5,5,0.95,0.0136083026286364,0.0144561462477273,1.06684424071421,1.04480305798756
