"score","method","mrts_k","quantile","rel_mean","rel_median"
"brier",2,15,0.97,1.00010761430625,0.998443262005593
"brier",2,15,0.98,1.00008211925661,0.999591186034914
"brier",2,15,0.99,1.00006910111566,1.00382064060846
"brier",2,15,0.995,0.999960795771274,0.999783413856097
"brier",3,15,0.9,1.00005077893387,1.00095898083607
"brier",3,15,0.91,1.00010391346684,1.00169053255246
"brier",3,15,0.92,1.0001518856017,1.00009881872749
"brier",3,15,0.93,1.00018117337337,0.999680752867405
"brier",3,15,0.94,1.00022398968767,1.00184231110868
"brier",3,15,0.95,1.00018130919612,1.00108652467705
"brier",3,15,0.96,1.00031685563805,0.998967791200978
"brier",3,15,0.97,1.00034313655332,0.998585957805687
"brier",3,15,0.98,1.00017963769159,1.00150196540793
"brier",3,15,0.99,1.0002412747739,1.00186378378622
"brier",3,15,0.995,1.00082203761716,1.00364738598021
"brier",4,15,0.9,1.00004876294752,1.00379220371221
"brier",4,15,0.91,1.00022953107121,0.999036057537829
"brier",4,15,0.92,1.00040905278421,1.00342986003346
"brier",4,15,0.93,1.0005995666349,0.99829647893775
"brier",4,15,0.94,1.00071220895908,1.0078616006387
"brier",4,15,0.95,1.00127113405549,1.00444549637772
"brier",4,15,0.96,1.00173721404614,1.00664435651437
"brier",4,15,0.97,1.00042972966756,1.00310285713535
"brier",4,15,0.98,0.999072784030375,0.98319014759356
"brier",4,15,0.99,0.99852399461701,0.98785594979332
"brier",4,15,0.995,0.998790870394574,1.01071887652518
"brier",5,15,0.9,1.00118036466233,0.996763429083607
"brier",5,15,0.91,1.00231446497301,0.99510998090956
"brier",5,15,0.92,1.00340146338855,1.00386991832891
"brier",5,15,0.93,1.00467626220861,1.00694748375365
"brier",5,15,0.94,1.00579420926978,1.01041650124788
"brier",5,15,0.95,1.00725134870696,1.03007028990323
"brier",5,15,0.96,1.00668181776665,1.01665243494523
"brier",5,15,0.97,1.00285372018251,0.991872068595565
"brier",5,15,0.98,1.0019404552899,0.992363001376866
"brier",5,15,0.99,0.998672590199171,0.980541668213035
"brier",5,15,0.995,0.996936764091409,1.15231271267147
"brier",1,20,0.9,0.999980209344192,1.00009486679686
"brier",1,20,0.91,1.0000177348177,0.999837732870889
"brier",1,20,0.92,1.00008869420561,0.999746458571847
"brier",1,20,0.93,1.0001465232576,1.00032565068889
"brier",1,20,0.94,1.00017662225932,1.00086998904576
"brier",1,20,0.95,1.00009366470188,0.999936768624883
"brier",1,20,0.96,1.00008447558162,0.999616868356785
"brier",1,20,0.97,1.0001109023975,0.999524286240482
"brier",1,20,0.98,0.9999208606043,1.00000373395529
"brier",1,20,0.99,0.999940188629907,1.00410608594495
"brier",1,20,0.995,1.00031818226977,1.00073172670962
"brier",2,20,0.9,0.999977472354691,1.00055776382305
"brier",2,20,0.91,0.999977394771463,0.998665567940515
"brier",2,20,0.92,1.00000606889881,0.998818151678853
"brier",2,20,0.93,1.00003625277294,1.00010746098804
"brier",2,20,0.94,1.00015224121662,1.00125415348723
"brier",2,20,0.95,1.0001777807611,0.999657151609062
"brier",2,20,0.96,1.00007792305372,0.997833699716254
"brier",2,20,0.97,1.000066710311,0.998489913073938
"brier",2,20,0.98,1.00003753643094,0.999431346440327
"brier",2,20,0.99,0.999832641569783,1.00414561525932
"brier",2,20,0.995,0.999849065020151,0.99687792048986
"brier",3,20,0.9,0.999461675781496,0.999801270982662
"brier",3,20,0.91,0.999651504584057,0.998474324852194
"brier",3,20,0.92,0.999790989711134,1.00140681650932
"brier",3,20,0.93,0.999922096074047,1.00567774477213
"brier",3,20,0.94,0.999963546324203,1.00164182515585
"brier",3,20,0.95,0.999817239698794,0.998894777428021
"brier",3,20,0.96,0.999886788463063,0.999870830210813
"brier",3,20,0.97,1.00002365908236,0.998644635564289
