"setting","method","mrts_k","parameter","n_datasets","mean_post_mean","median_post_mean","sd_post_mean","mean_post_sd"
3,2,5,"tau.alpha",10,1.767784,1.73648,0.115044323072071,0.310510728410008
3,2,8,"tau.alpha",10,1.763453,1.7345,0.120797864867996,0.310793996687204
3,2,10,"tau.alpha",10,1.767783,1.745,0.115762907324506,0.310565241448855
3,2,12,"tau.alpha",10,1.747952,1.72689,0.110425347210985,0.308133028303393
3,2,15,"tau.alpha",10,1.759716,1.749105,0.108119640028998,0.309361005493013
3,2,20,"tau.alpha",10,1.75895,1.747605,0.11068580828433,0.309911193030639
3,2,25,"tau.alpha",10,1.757921,1.74487,0.112754742147134,0.309671740926488
3,3,0,"tau.alpha",10,1.48943,1.43524,0.141560207528654,0.292524235166341
3,3,3,"tau.alpha",10,1.496102,1.41174,0.179942075852821,0.288873464641418
3,3,5,"tau.alpha",10,1.525828,1.50918,0.13749236849933,0.298601357899379
3,3,8,"tau.alpha",10,1.45154,1.4196,0.177607606693958,0.283678593692409
3,3,10,"tau.alpha",10,1.482778,1.449855,0.161060926277398,0.298720854323405
3,3,12,"tau.alpha",10,1.491006,1.47164,0.268363870527395,0.282172126348494
3,3,15,"tau.alpha",10,1.492885,1.431145,0.214098597133294,0.289699801454878
3,3,20,"tau.alpha",10,1.51979,1.49799,0.160744560509317,0.292331066334162
3,3,25,"tau.alpha",10,1.45886,1.42632,0.213296314392287,0.283607945953135
3,4,0,"tau.alpha",10,2.832951,2.802285,0.303595175977265,0.257804458258906
3,4,3,"tau.alpha",10,2.887338,2.845475,0.214333536225928,0.262586518591965
3,4,5,"tau.alpha",10,2.866045,2.894465,0.215116759574888,0.260776652494039
3,4,8,"tau.alpha",10,2.926131,2.88379,0.237716527890305,0.267915589065121
3,4,10,"tau.alpha",10,2.889334,2.910155,0.230931290704977,0.262855460946025
3,4,12,"tau.alpha",10,2.879185,2.84976,0.233549578759819,0.262241802369442
3,4,15,"tau.alpha",10,2.832794,2.82634,0.190513443106896,0.259200367388634
3,4,20,"tau.alpha",10,2.883404,2.93458,0.214130568485679,0.264293654067611
3,4,25,"tau.alpha",10,2.83823,2.886345,0.199933235356206,0.262917355524198
3,5,0,"tau.alpha",10,2.60827,2.51035,0.921384287881856,0.307245579206252
3,5,3,"tau.alpha",10,3.009511,3.00448,0.785126285828521,0.365707163314056
3,5,5,"tau.alpha",10,2.519999,2.71986,1.24672869544839,0.274650675943924
3,5,8,"tau.alpha",10,2.677996,3.01636,1.17934505376878,0.290218413810068
3,5,10,"tau.alpha",10,2.777367,2.806055,0.881932520485553,0.318093497559328
3,5,12,"tau.alpha",10,2.823833,2.96248,1.05308076379154,0.327555829717005
3,5,15,"tau.alpha",10,2.987409,2.827725,0.550970484638999,0.465632291833612
3,5,20,"tau.alpha",10,2.613388,3.0909,1.20987611226935,0.284593028550998
3,5,25,"tau.alpha",10,2.338788,2.803015,1.45305156525309,0.282849383107078
3,1,0,"tau.beta",10,0.2,0.2,0,0
3,1,3,"tau.beta",10,0.2,0.2,0,0
3,1,5,"tau.beta",10,0.2,0.2,0,0
3,1,8,"tau.beta",10,0.2,0.2,0,0
3,1,10,"tau.beta",10,0.2,0.2,0,0
3,1,12,"tau.beta",10,0.2,0.2,0,0
