"score","method","mrts_k","quantile","mean","median"
"quant",2,0,0.95,1.96105970719689,1.77048922780636
"quant",2,0,0.96,1.69619772971677,1.50629116536048
"quant",2,0,0.97,1.38508985913795,1.22034498977229
"quant",2,0,0.98,1.02708147157023,0.901889108499436
"quant",2,0,0.99,0.568965886776935,0.496761226193957
"quant",2,0,0.995,0.304615971173048,0.26814324204669
"quant",3,0,0.9,2.91389024924908,2.83227932353126
"quant",3,0,0.91,2.7647719791374,2.66089008856451
"quant",3,0,0.92,2.59859873008533,2.47180067190879
"quant",3,0,0.93,2.40989627698495,2.26143437266783
"quant",3,0,0.94,2.19819590623268,2.02670591044007
"quant",3,0,0.95,1.96161603091867,1.7695365555673
"quant",3,0,0.96,1.69688221180642,1.50521822084371
"quant",3,0,0.97,1.38575377820389,1.21950741965994
"quant",3,0,0.98,1.02761954244104,0.901212774562092
"quant",3,0,0.99,0.569156874974378,0.495665735672459
"quant",3,0,0.995,0.304563356779081,0.267252776410014
"quant",4,0,0.9,2.91381273609166,2.83179137959143
"quant",4,0,0.91,2.76469113292089,2.66049149287262
"quant",4,0,0.92,2.5984781691435,2.47206075549911
"quant",4,0,0.93,2.40992228332468,2.26185622690804
"quant",4,0,0.94,2.19800763297211,2.02739515648923
"quant",4,0,0.95,1.96173890741673,1.77106309821677
"quant",4,0,0.96,1.69697063071438,1.50692523513931
"quant",4,0,0.97,1.3864002475136,1.22066498905299
"quant",4,0,0.98,1.02810084737448,0.90204724233294
"quant",4,0,0.99,0.569236834437603,0.496275108630561
"quant",4,0,0.995,0.304509850103596,0.266205949761234
"quant",5,0,0.9,2.92026806308772,2.83282236953886
"quant",5,0,0.91,2.77092612592184,2.6610268737084
"quant",5,0,0.92,2.60557085638651,2.47493539553331
"quant",5,0,0.93,2.41712004480067,2.2682351063041
"quant",5,0,0.94,2.20656701282837,2.03232904305449
"quant",5,0,0.95,1.98144945524984,1.7730985806582
"quant",5,0,0.96,1.71347151207574,1.50442845518229
"quant",5,0,0.97,1.40336487356988,1.2226613812979
"quant",5,0,0.98,1.04829267110337,0.903724354397455
"quant",5,0,0.99,0.714861331951368,0.502106190476683
"quant",5,0,0.995,0.565340937940789,0.272546734072566
