"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,1,3,2,80,1703,TRUE,FALSE,FALSE,3.50269,16.3048392664664,3.57583727782372,11.1302643316241,2.28944608976643,1.90628931918377,1.20099612725456,0.972366316537543,NA,NA,NA,NA,6.4644821962926,6.67936611216872,19.3169510049786,19.4517511657762,TRUE,TRUE,TRUE,TRUE
7,1,3,3,110,1703,TRUE,FALSE,FALSE,3.940405,18.8390870242762,3.2506803490157,11.3407953441092,2.21223121507203,1.91227203303984,1.15686009984436,0.982185656331794,NA,NA,NA,NA,5.95851282843437,6.01392436149857,18.532051882423,18.6632140610427,TRUE,TRUE,TRUE,TRUE
7,1,3,4,140,1703,TRUE,FALSE,FALSE,4.21458,20.5540465037639,3.1566819882348,11.2668426419675,2.18231018400802,1.91801399495153,1.13779679905994,0.960750600231336,NA,NA,NA,NA,5.72384949745175,5.91189043244764,18.155701892567,18.2073221402651,TRUE,TRUE,TRUE,TRUE
7,1,3,5,170,1703,TRUE,FALSE,FALSE,4.326465,21.0258968124137,3.2151565870191,11.4132726300895,2.20360517108327,1.9126598085908,1.15211558332835,0.900411432694855,NA,NA,NA,NA,5.69962463936129,5.85326994108892,18.4982083110872,18.5101955738565,TRUE,TRUE,TRUE,TRUE
7,1,4,1,50,1704,TRUE,FALSE,FALSE,4.54279,7.71838713028538,1.35656832415844,10.2147341328196,1.08183570998105,1.09639486196876,0.986720886340563,1.09952902210637,NA,NA,NA,NA,1.99509473093187,1.99509473093187,11.6823181889233,11.8062612400128,TRUE,TRUE,TRUE,TRUE
7,1,4,2,80,1704,TRUE,FALSE,FALSE,4.73295,9.07538503435745,1.301671197429,10.2228266085911,1.11956365341461,1.1594618217501,0.965589062453764,1.11418836038266,NA,NA,NA,NA,2.04511343201315,2.06106671587027,11.6801303699293,11.7203555751525,TRUE,TRUE,TRUE,TRUE
7,1,4,3,110,1704,TRUE,FALSE,FALSE,4.79357,8.31964430683904,1.21179173085077,10.0881132405529,1.10221585068809,1.10692723721594,0.995743725179535,1.17209798271668,NA,NA,NA,NA,1.8797891325654,1.90766987840241,11.4237692940294,11.4664432354342,TRUE,TRUE,TRUE,TRUE
7,1,4,4,140,1704,TRUE,FALSE,FALSE,4.85753,8.30467493371268,1.27312722019791,10.1055768102062,1.11949412219793,1.09351379515877,1.02375857273514,1.1056405941422,NA,NA,NA,NA,1.88765807729484,1.91076388256315,11.530835250028,11.5610957388455,TRUE,TRUE,TRUE,TRUE
7,1,4,5,170,1704,TRUE,FALSE,FALSE,4.89312,8.4294707939067,1.23514099829186,10.0722118134533,1.11071119368372,1.09524552404058,1.01412073302621,1.09098749403731,NA,NA,NA,NA,1.8856590760838,1.89957075509602,11.4440967460338,11.4793665917526,TRUE,TRUE,TRUE,TRUE
7,1,5,1,50,1705,TRUE,FALSE,FALSE,4.477135,7.78936953691989,2.70768295308798,14.3092751378908,1.18095642646806,1.11666143551376,1.05757787356981,0.966012269546579,NA,NA,NA,NA,3.03038429119269,3.08932690263199,17.506930722178,17.4613741667084,TRUE,TRUE,TRUE,TRUE
7,1,5,2,80,1705,TRUE,FALSE,FALSE,4.73829,8.21896785813464,4.15289778694204,14.2888316385979,1.1522405967652,1.10325763436002,1.04439848035458,0.932805169358306,NA,NA,NA,NA,4.21450561965859,4.32383584306893,19.0739690629289,19.0555409104497,TRUE,TRUE,TRUE,TRUE
7,1,5,3,110,1705,TRUE,FALSE,FALSE,4.3903,9.13121901226098,3.80062702790609,14.1053271137155,1.46668264412223,1.24794579594065,1.17527752318497,0.897758140910709,NA,NA,NA,NA,4.30309463937926,4.37711909516587,19.6796408123273,19.6822499526964,TRUE,TRUE,TRUE,TRUE
7,1,5,4,140,1705,TRUE,FALSE,FALSE,4.355375,9.83321352609411,3.61597917871772,14.0806960037161,1.52993139885976,1.30545262599109,1.17195474458389,0.878659781881744,NA,NA,NA,NA,4.3959820581869,4.4222179010071,19.6128960868595,19.6335938428233,TRUE,TRUE,TRUE,TRUE
7,1,5,5,170,1705,TRUE,FALSE,FALSE,4.549615,10.6574017947556,3.40619619156167,14.1049263871889,1.50372356139701,1.32050855352327,1.13874579409948,0.904486853685035,NA,NA,NA,NA,4.13963858552361,4.23863350387406,19.226903855181,19.2648743936643,TRUE,TRUE,TRUE,TRUE
7,1,6,1,50,1706,TRUE,FALSE,FALSE,4.249135,12.304004685622,3.74222548033599,12.0310027311695,1.75639562422453,1.45496161390617,1.20717660688593,0.871744866481908,NA,NA,NA,NA,5.15849911717192,5.27329204573836,18.6038311896931,18.3053309339927,TRUE,TRUE,TRUE,TRUE
7,1,6,2,80,1706,TRUE,FALSE,FALSE,4.59158,14.013610389071,3.48861921386518,12.1374052899636,1.71294773436642,1.48090971996304,1.15668613101491,0.881244758507934,NA,NA,NA,NA,4.87589581477328,4.95887945473315,18.1132276684212,17.9181724247229,TRUE,TRUE,TRUE,TRUE
