"quantile","baseline_setting","proposed_setting","baseline_rel_brier","proposed_rel_brier","delta_rel_brier","baseline_rel_quant","proposed_rel_quant","delta_rel_quant","method","knots","thresh","CMAQ","TS","proposed_is_ar2","proposed_is_mrts","proposed_lane"
0.995,58,108,0.967041174251396,0.97692317452701,0.00988200027561392,0.948842002878858,0.941222114214993,-0.00761988866386554,"skew-t",6,50,"yes","yes",TRUE,FALSE,"ar2"
0.9,59,109,1.08497989377088,1.0824676896265,-0.00251220414438125,1.02461966395491,1.02595584746098,0.00133618350607145,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.91,59,109,1.07117267632164,1.06982727331636,-0.00134540300528263,1.0232149342185,1.0242403702163,0.00102543599779592,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.92,59,109,1.05492447440852,1.05570881332852,0.000784338920003735,1.02173797544795,1.02259269056061,0.000854715112664772,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.93,59,109,1.03452702819507,1.03613491235541,0.00160788416033264,1.02059317307081,1.02133125375773,0.000738080686919718,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.94,59,109,1.01990768159962,1.02144491578465,0.0015372341850266,1.01959277064519,1.02005304363085,0.000460272985662868,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.95,59,109,1.00892682300947,1.01294700385922,0.00402018084975464,1.01697330910129,1.01767145791057,0.000698148809285204,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.96,59,109,0.999394806142595,1.00348522277498,0.00409041663238896,1.0137446517591,1.01453497653036,0.000790324771258177,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.97,59,109,1.00148300736913,1.00470620498796,0.00322319761882484,1.00966204016336,1.01077719234755,0.00111515218419433,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.98,59,109,0.983851780464571,0.983043708262704,-0.000808072201866961,1.00359019188267,1.00536503122197,0.00177483933929823,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.99,59,109,0.95301584613578,0.955806797126153,0.00279095099037296,0.98936061413594,0.991755752650059,0.0023951385141191,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.995,59,109,0.961610507176268,0.965951804407313,0.00434129723104493,0.958711680367846,0.963867843570646,0.00515616320280032,"t",6,75,"yes","yes",TRUE,FALSE,"ar2"
0.9,60,110,0.997399401882863,0.996969426964158,-0.000429974918705556,0.999906146965156,0.998488750864085,-0.0014173961010705,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.91,60,110,0.99631117556062,0.995481570748567,-0.000829604812052964,0.999862000412981,0.998561679545593,-0.00130032086738807,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.92,60,110,0.995627180239268,0.993847825842279,-0.00177935439698929,0.99971160597968,0.99852219532297,-0.00118941065671052,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.93,60,110,1.00020073809288,0.995705131781503,-0.00449560631137669,0.999582388908698,0.998604933721659,-0.000977455187039511,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.94,60,110,0.997759372607456,0.993769840272343,-0.00398953233511345,0.998735163264684,0.998092075207296,-0.000643088057387775,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.95,60,110,0.996646813434559,0.993740375800462,-0.00290643763409693,0.997459222966549,0.996802714069992,-0.000656508896557551,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.96,60,110,0.995652889171774,0.993854965157761,-0.00179792401401213,0.996343757750102,0.995414072551278,-0.00092968519882386,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.97,60,110,0.991875177124212,0.992984973529424,0.0011097964052118,0.993731927971633,0.993002218858418,-0.00072970911321546,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.98,60,110,0.985617240911025,0.987014588627328,0.00139734771630284,0.989372818619264,0.988645676873827,-0.000727141745436533,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.99,60,110,0.958019064557523,0.964447208880987,0.00642814432346417,0.976553484883064,0.977040781953184,0.000487297070120296,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.995,60,110,0.967092460336634,0.97279808578474,0.00570562544810604,0.951027332631804,0.955375950066734,0.00434861743492954,"skew-t",7,0,"yes","yes",TRUE,FALSE,"ar2"
0.9,61,111,0.996261127987651,0.992956358619354,-0.00330476936829704,0.998474048704327,0.998865916447539,0.000391867743212204,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.91,61,111,0.996474674798735,0.991987770597261,-0.00448690420147402,0.998334866116025,0.998794321583919,0.000459455467894609,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.92,61,111,0.995127508376995,0.98893985824375,-0.00618765013324507,0.997855663499944,0.998509701475883,0.000654037975939659,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.93,61,111,0.994077119082163,0.988978386545759,-0.00509873253640414,0.997615685328474,0.998394012449558,0.000778327121083611,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.94,61,111,0.992573226000023,0.986956682180714,-0.00561654381930921,0.997014193520513,0.997646236590747,0.000632043070233679,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.95,61,111,0.990087697251064,0.985568316004244,-0.00451938124682039,0.995674380996141,0.996355877285376,0.000681496289234862,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.96,61,111,0.985222218417565,0.982230269499209,-0.00299194891835619,0.993805756268835,0.994152194656286,0.000346438387451187,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.97,61,111,0.985555749949491,0.983684651349633,-0.00187109859985823,0.991044039655889,0.991516281371616,0.000472241715726129,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.98,61,111,0.977316539617106,0.979679136836305,0.00236259721919874,0.987076251227958,0.987749525262843,0.000673274034885152,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.99,61,111,0.959649533871033,0.951884275581174,-0.00776525828985886,0.973725360861624,0.97373791186656,1.25510049359123e-05,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.995,61,111,0.963428243474989,0.956431765339023,-0.00699647813596593,0.945815103823748,0.945712774309842,-0.000102329513905763,"skew-t",7,50,"yes","yes",TRUE,FALSE,"ar2"
0.9,62,112,1.08880962358663,1.08513144787414,-0.00367817571249573,1.02837262447383,1.02668346526696,-0.00168915920686197,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.91,62,112,1.0743095177144,1.07252646888435,-0.00178304883005298,1.02671580156134,1.02517048576013,-0.00154531580121398,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.92,62,112,1.05706682892211,1.05734009338739,0.000273264465275425,1.02489814365111,1.02355723288067,-0.00134091077044274,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.93,62,112,1.03549189228935,1.03795321495322,0.002461322663871,1.02353256657061,1.022492243807,-0.00104032276361599,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.94,62,112,1.02024878913944,1.02476654825313,0.00451775911368779,1.02189932109335,1.02145920417408,-0.000440116919271594,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.95,62,112,1.00964444409542,1.0126732232057,0.00302877911027855,1.01868556850354,1.01886445971143,0.000178891207891274,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.96,62,112,1.00220480814517,1.00527014607359,0.00306533792841934,1.01506279414508,1.01590751162942,0.00084471748434134,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.97,62,112,1.00330026346594,1.00556335507705,0.00226309161110816,1.01069271662813,1.01187838579907,0.00118566917094221,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.98,62,112,0.980776957587285,0.986106803916624,0.00532984632933908,1.00413450232059,1.00711342628527,0.00297892396467891,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.99,62,112,0.952879251611148,0.952999661553985,0.000120409942836575,0.987127985439993,0.992510782707492,0.00538279726749846,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.995,62,112,0.957387176178317,0.959551665882412,0.00216448970409422,0.95687658582751,0.962182265976213,0.00530568014870303,"t",7,75,"yes","yes",TRUE,FALSE,"ar2"
0.9,63,113,0.997400910093691,0.995851677409248,-0.00154923268444329,1.00037263136471,0.998634693140349,-0.0017379382243613,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.91,63,113,0.998185911382761,0.996442460697844,-0.00174345068491744,1.00039424932587,0.998664331035564,-0.00172991829031044,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.92,63,113,0.999462509090178,0.99617379014937,-0.00328871894080862,1.00043694284522,0.998646899563585,-0.00179004328163646,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.93,63,113,1.00341361621423,0.99758777146159,-0.00582584475264392,1.00060558125402,0.998470091893703,-0.0021354893603126,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.94,63,113,1.00302540783236,0.99666824082843,-0.00635716700392708,1.00015781166477,0.997921145225604,-0.00223666643916354,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.95,63,113,1.00242680650944,0.996946409679136,-0.00548039683029977,0.999306085064886,0.996718780610132,-0.00258730445475408,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
0.96,63,113,1.00230216364499,0.996377091419215,-0.00592507222577709,0.998729197718298,0.995173407034685,-0.00355579068361278,"skew-t",8,0,"yes","yes",TRUE,FALSE,"ar2"
