"setting","metric","quantile","score_mean","score_se","rel_to_gaussian","method","knots","thresh","CMAQ","TS","ar2","is_baseline","is_proposed","mrts","is_ar2","is_mrts","model_lane"
4,"brier",0.92,0.0382596319483875,0.00189767578601357,0.998300456210169,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.92,4.29179322081339,0.023738872243213,1.00112272637884,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.93,0.0344159850545482,0.00199332148198837,0.999423287493675,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.93,3.88427084392376,0.0242088124541928,1.00104237293976,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.94,0.0308979587735773,0.00238225602789086,1.00041254094332,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.94,3.45550865803674,0.0237899100663874,1.00087005669612,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.95,0.0269937780348728,0.00209924515832036,0.998655073806182,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.95,3.00104330043299,0.0243137478730717,0.999907797653196,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.96,0.0223588890433156,0.00113847376949718,0.996653589818185,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.96,2.5176441401731,0.0256135278054523,0.998740431830591,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.97,0.0181195206753866,0.00114256434963846,0.996386004100318,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.97,1.99853986436895,0.0293807704274669,0.996992369387998,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.98,0.0127191685494234,0.000751979768894927,0.985055352067979,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.98,1.43598905353813,0.0328620983018024,0.994790558468741,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.99,0.00702447491398375,0.000662543544474707,0.967088208346441,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.99,0.807937408398046,0.0329107073332144,0.985122835734832,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"brier",0.995,0.00392753665466667,9.57402422302274e-05,0.974529225158324,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
4,"quantile",0.995,0.452704396566666,0.0297574464782209,0.965589556389112,"skew-t",1,50,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.9,0.0490600013015867,0.000279944283998926,1.08913598006964,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.9,5.162587251727,0.0062404842377255,1.02405679282992,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.91,0.044859717227639,0.00081766499124656,1.07417912634567,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.91,4.77750126863855,0.00495612962379388,1.02225609202092,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.92,0.0405264980941206,0.00100448305369386,1.05744931343142,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.92,4.37562436416936,0.003658959186434,1.02067755077834,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.93,0.0357655331571632,0.00101710383983383,1.03861350097176,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.93,3.95491768391328,0.000955105080190366,1.01924925994262,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.94,0.031643372826132,0.00142391941944695,1.0245475193034,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.94,3.51626718483536,0.000398769367418783,1.01846844702868,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.95,0.0274888219991685,0.00108570778394799,1.01696959673299,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.95,3.05169755031426,0.00187047023096287,1.01678512142698,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.96,0.0226330890222931,0.000335364411140323,1.0088761288203,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.96,2.55702288604028,0.00591455283660758,1.01436183956839,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.97,0.0183642748467773,0.000675591105842026,1.00984494902429,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.97,2.02789099721755,0.011745907471211,1.01163448686819,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.98,0.0128013332378803,0.000619954506530788,0.991418721324465,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"quantile",0.98,1.45458585015011,0.0143742060042342,1.0076736077105,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
5,"brier",0.99,0.00698942508975968,0.000703806431761844,0.962262755607726,"t",1,75,"yes","no","",TRUE,FALSE,NA,FALSE,FALSE,"morris_baseline"
