"replicate","phase","setting","method_id","variant","trim_constant","injection_a","beta0_true","beta0_mean","beta0_sd","beta0_bias","beta0_ess","sigma_xi_mean","rank_kept","kept_cols","wall_sec","seed","bias_flag","variance_flag","absorption_flag"
7,"A_gaussian",1,1,"B_keep",FALSE,0,10,10.2310338422222,0.148532756029665,0.231033842222235,1375.9610127202,0.599062381739767,20,20,35.0099999999998,120107,"PASS",NA,NA
7,"A_gaussian",1,1,"B_keep",FALSE,2,12,12.231886926116,0.148281703081001,0.231886926115996,1236.15703351096,0.599180197074484,20,20,34.9300000000003,120127,"PASS",NA,NA
7,"A_gaussian",1,1,"B_keep",FALSE,5,15,15.2275028902801,0.147081734511301,0.227502890280086,1326.78941666579,0.599028111432042,20,20,35.29,120157,"PASS",NA,NA
7,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.73667875533111,0.228093029916642,-0.263321244668887,46.5673373022026,0.630492326827133,19,19,60.1399999999999,220407,"PASS",NA,NA
7,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.7348282772152,0.201870558172526,-0.265171722784826,74.0734579893651,0.630580900242037,19,19,58.0999999999999,220427,"PASS",NA,NA
7,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.7572170676364,0.181390606666652,-0.242782932363642,126.415705958858,0.629201553556252,19,19,58.5799999999999,220457,"PASS",NA,NA
7,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,10.8595427358415,0.515540801044119,0.859542735841504,829.279538058094,0.271032406309043,20,20,58.9200000000001,220407,"PASS","WARN_variance",NA
7,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,12.8524271670732,0.508634166297068,0.852427167073177,638.934759583782,0.271994560999546,20,20,58.77,220427,"PASS","WARN_variance",NA
7,"B_skewt_k1",4,2,"B_keep",FALSE,5,15,15.8651761875403,0.499502285847989,0.865176187540333,903.412767767185,0.273068088311444,20,20,60.8699999999999,220457,"PASS","WARN_variance",NA
8,"A_gaussian",1,1,"A_trim",TRUE,0,10,9.79027734358935,0.114010809933124,-0.209722656410651,2367.48898413068,0.663655849862238,19,19,34.96,120108,"PASS",NA,NA
8,"A_gaussian",1,1,"A_trim",TRUE,2,12,11.7873099714915,0.1170839904943,-0.212690028508456,1832.0083787571,0.663758378359112,19,19,34.8400000000001,120128,"PASS",NA,NA
8,"A_gaussian",1,1,"A_trim",TRUE,5,15,14.7859747328852,0.112802676791825,-0.214025267114847,1760.45169547801,0.663904425387879,19,19,34.9699999999993,120158,"PASS",NA,NA
8,"A_gaussian",1,1,"B_keep",FALSE,0,10,9.7317805243403,0.105260292630198,-0.268219475659697,2321.3991979784,0.618297965809015,20,20,34.9200000000001,120108,"PASS",NA,NA
8,"A_gaussian",1,1,"B_keep",FALSE,2,12,11.7291962328269,0.108209725332272,-0.270803767173094,1817.8993912131,0.61842253376543,20,20,35.0600000000004,120128,"PASS",NA,NA
8,"A_gaussian",1,1,"B_keep",FALSE,5,15,14.727681957508,0.104144176028581,-0.272318042491953,1743.42183172756,0.61850198686203,20,20,35.1400000000003,120158,"PASS",NA,NA
8,"B_skewt_k1",4,2,"A_trim",TRUE,0,10,9.63397197676622,0.150199753821638,-0.366028023233783,197.24588046296,0.636098348099479,19,19,60.1799999999994,220408,"PASS",NA,NA
8,"B_skewt_k1",4,2,"A_trim",TRUE,2,12,11.593157847258,0.194979561555557,-0.406842152741952,69.6367292558369,0.635970304846095,19,19,59.0300000000007,220428,"PASS",NA,NA
8,"B_skewt_k1",4,2,"A_trim",TRUE,5,15,14.6280909037509,0.175419694969046,-0.371909096249098,127.6310450963,0.63603851080613,19,19,59.2299999999996,220458,"PASS",NA,NA
8,"B_skewt_k1",4,2,"B_keep",FALSE,0,10,11.2592866187286,1.07947143191167,1.25928661872858,108.110625105255,0.212709562637779,20,20,59.3900000000003,220408,"WARN","WARN_variance",NA
8,"B_skewt_k1",4,2,"B_keep",FALSE,2,12,13.1833379814191,1.06102133287567,1.18333798141907,157.151590584596,0.21833374151976,20,20,58.9899999999998,220428,"WARN","WARN_variance",NA
