"setting","method","K","rel.brier","se","n"
8,"SymT-K1-T",10,1.00212069730084,0.00176054952281763,3
8,"SymT-K1-T",12,0.999819988253507,0.00204244286264275,3
8,"SymT-K1-T",15,1.00065147780455,0.00280958779169118,3
8,"SymT-K1-T",20,1.00341539237649,0.002110160985505,3
8,"SymT-K1-T",25,1.0082713724846,0.00658651646649153,3
8,"SymT-K1-T",30,1.00931717426905,0.00749008653623169,3
8,"SymT-K1-T",40,1.01215756879003,0.00664914623315675,3
8,"SymT-K1-T",50,1.01037133487577,0.00433779817358564,3
8,"SkewT-K5",3,0.998966439045476,0.00558331695052467,3
8,"SkewT-K5",5,0.999159079998055,0.00262471842797003,3
8,"SkewT-K5",8,1.00704673360558,0.00516159146911737,3
8,"SkewT-K5",10,1.01113810834188,0.00329046337119004,3
8,"SkewT-K5",12,0.996781846962773,0.00728985128733809,3
8,"SkewT-K5",15,1.00234391699443,0.00445037634832291,3
8,"SkewT-K5",20,1.01457738259799,0.00501654976671682,3
8,"SkewT-K5",25,1.00696763927126,0.00287466445516032,3
8,"SkewT-K5",30,1.00529592288239,0.00271169214547322,3
8,"SkewT-K5",40,1.01197160747977,0.00539079737025444,3
8,"SkewT-K5",50,1.00802972788531,0.0057619181348009,3
8,"SymT-K5-T",3,0.967319588931359,0.0166927193370487,3
8,"SymT-K5-T",5,1.00454248739726,0.0346689552245689,3
8,"SymT-K5-T",8,0.989627796737873,0.0136888743487031,3
8,"SymT-K5-T",10,0.999215861752425,0.0417453790708399,3
8,"SymT-K5-T",12,0.962111830660464,0.0388845276245857,3
8,"SymT-K5-T",15,1.01907004187816,0.0136629988246104,3
8,"SymT-K5-T",20,1.06305188098624,0.0205239609197901,3
8,"SymT-K5-T",25,1.04967198335493,0.0492115066924928,3
8,"SymT-K5-T",30,1.08375184985976,0.0573822857541332,3
8,"SymT-K5-T",40,0.988194266059583,0.0395395291346549,3
8,"SymT-K5-T",50,1.06312047737882,0.0387443915308234,3
9,"Gaussian",3,1.00003557999767,1.50851440451136e-05,3
9,"Gaussian",5,1.00018955735953,0.000237874343516494,3
9,"Gaussian",8,0.999980986072019,5.159499651706e-05,3
9,"Gaussian",10,1.00047766999115,0.000222641983743181,3
9,"Gaussian",12,0.999561010172067,0.000377618333776507,3
9,"Gaussian",15,1.00014825440187,0.0013229941080211,3
9,"Gaussian",20,1.00047823526754,0.00119534022490497,3
9,"Gaussian",25,1.000749655102,0.00172524322714638,3
9,"Gaussian",30,1.00123770804891,0.00267388535908147,3
9,"Gaussian",40,1.00161448024819,0.00251340061656889,3
9,"Gaussian",50,1.00138165328575,0.00198868074246457,3
9,"SkewT-K1",3,1.00137351467023,0.000766734306445425,3
9,"SkewT-K1",5,1.00145205048396,0.00119452490996128,3
9,"SkewT-K1",8,1.00106822139102,0.000442435490792188,3
9,"SkewT-K1",10,1.00081440586476,0.000543667503925858,3
9,"SkewT-K1",12,1.00078152412275,0.000571269548288344,3
9,"SkewT-K1",15,1.00041621156485,0.000444089517046191,3
9,"SkewT-K1",20,1.00072169014943,0.00203615069805588,3
9,"SkewT-K1",25,1.0014020847821,0.00135057108474109,3
9,"SkewT-K1",30,1.00078725943544,0.00258470780318962,3
9,"SkewT-K1",40,1.00140466081695,0.00291853467518349,3
9,"SkewT-K1",50,1.00104130426783,0.00222596437538554,3
9,"SymT-K1-T",3,1.00005098881203,0.000375372483763527,3
9,"SymT-K1-T",5,1.00064865964811,0.00108701635764784,3
9,"SymT-K1-T",8,1.00092684028531,0.000917430837404926,3
9,"SymT-K1-T",10,1.00037569926351,0.000912522449572378,3
9,"SymT-K1-T",12,1.00088941219529,0.00122238451648374,3
9,"SymT-K1-T",15,1.00126158951418,0.000114036711484141,3
9,"SymT-K1-T",20,1.00028301105211,0.000855454524292221,3
9,"SymT-K1-T",25,1.00122312545801,0.000412996648599051,3
9,"SymT-K1-T",30,1.00197842015028,0.0040398455279185,3
9,"SymT-K1-T",40,0.997918864359885,0.00306684356789546,3
9,"SymT-K1-T",50,1.0004287594628,0.00301854731588052,3
9,"SkewT-K5",3,1.00456936973752,0.00547948123692737,3
9,"SkewT-K5",5,1.00680408992886,0.00429619746634007,3
9,"SkewT-K5",8,0.999256737158882,0.00276079656011961,3
9,"SkewT-K5",10,0.99607932738859,0.00432530589664302,3
9,"SkewT-K5",12,1.00676363008447,0.00583126132583137,3
9,"SkewT-K5",15,1.00129868149924,0.00472251698524376,3
9,"SkewT-K5",20,1.00284995847768,0.00558844067499847,3
9,"SkewT-K5",25,1.00324446923191,0.00497293330202385,3
9,"SkewT-K5",30,1.00101768102278,0.00410021781596474,3
9,"SkewT-K5",40,1.0053149947988,0.00617971857763219,3
9,"SkewT-K5",50,1.00339835760252,0.00581364862942244,3
9,"SymT-K5-T",3,0.992370481099713,0.00870609146362194,3
9,"SymT-K5-T",5,0.981775352482599,0.0229332233854103,3
9,"SymT-K5-T",8,1.01508018990912,0.0278909283485823,3
