"setting","surf_type","set","K","mse","rel","rec.rmse"
8,"fuentes_cov",2,96,17.6862041702503,2.83048621008999,7.0819637878154
8,"fuentes_cov",3,96,14.6994816274945,1.30154290744986,5.22647935860808
8,"fuentes_cov",4,96,12.619949323946,2.62828888229475,6.54443948801518
8,"fuentes_cov",5,96,7.45693780335909,1.81356198342051,3.83672764484947
8,"fuentes_cov",6,96,11.3405641448524,2.09208660938626,5.06002395254229
8,"fuentes_cov",7,96,10.1169577899874,2.19689495379539,6.0918682007807
8,"fuentes_cov",8,96,9.57160003040161,1.65101826763568,5.21902056367547
8,"fuentes_cov",9,96,29.6556856096547,3.13902381852459,6.60458735959845
8,"fuentes_cov",10,96,21.3913347193711,4.35434957772564,6.03059970379852
9,"gh_marginal",1,96,15.2915287139213,0.912941384854183,4.3268204730215
9,"gh_marginal",2,96,24.8305825305598,1.25549152070023,6.93216233598601
9,"gh_marginal",3,96,19.7663230368169,1.3655100052517,4.46836743032782
9,"gh_marginal",4,96,15.8744224501892,1.32521223722062,4.76504910795052
9,"gh_marginal",5,96,17.2510941168473,1.35649491947727,5.4946929261809
9,"gh_marginal",6,96,22.9629885261896,1.31145695428761,6.25004184353153
9,"gh_marginal",7,96,26.3972026618603,1.68580700077199,6.15347041522454
9,"gh_marginal",8,96,18.6639218202593,1.39871822050671,4.71941733483449
9,"gh_marginal",9,96,18.7152604870987,0.960867098402016,4.61742486767632
9,"gh_marginal",10,96,33.8247334565141,1.94829008054021,6.37838575005876
10,"lambda_varying",1,96,7.87880895678766,0.412365874555356,1.22374625918159
10,"lambda_varying",2,96,12.3371091989635,0.487401335132151,1.0119332615623
10,"lambda_varying",3,96,10.5937070658722,0.407985761295958,1.25147794970503
10,"lambda_varying",4,96,13.5776297318538,0.402171917359338,1.14735181491997
10,"lambda_varying",5,96,16.3497878730666,0.432058341512842,1.27111827733809
10,"lambda_varying",6,96,10.2201361851908,0.406038395615151,1.35887696956185
10,"lambda_varying",7,96,20.690461407685,0.441934158917165,1.52669033464122
10,"lambda_varying",8,96,10.4869702249621,0.402229335989066,1.24067385505324
10,"lambda_varying",9,96,11.5412104248596,0.413270280437278,1.31863309053434
10,"lambda_varying",10,96,12.7100590750972,0.415456848640056,1.20337695857637
11,"invariant_strong",1,96,40.7040745788012,0.269362361056892,9.14718771131217
